Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
460,75,665,5937,117
63,59,218,2511,78
90,44,100,1942,62
131,59,18,1097,69
56,52,61,63,21
115,33,518,8161,251
327,49,580,8595,209
87,51,109,896,69
500,81,3011,28896,1322
86,39,42,1538,75
85,61,68,2759,71
104,54,81,1075,46
180,70,42,578,48
736,92,6726,85521,799
74,66,61,38,32
95,56,76,1922,74
628,65,493,6648,117
190,43,31,1416,122
161,82,595,5177,100
277,26,662,6053,71
64,83,267,2602,13
137,83,26,2083,70
97,52,22,1093,60
3,0,60,65,39
89,65,491,8385,307
262,23,582,8754,166
88,36,151,997,54
1173,34,3043,29905,1111
85,8,42,1599,55
10457,321,675,3521,323
141,41,95,1117,35
68,86,44,591,116
628,129,6846,86255,644
76,65,60,4,85
86,127,75,1946,57
590,59,499,6803,117
46,93,34,1462,98
174,95,636,5403,126
618,168,661,6280,194
46,80,266,2662,56
135,9,146,2147,69
127,59,60,1116,44
24,22,61,63,0
83,38,528,8701,312
281,62,580,8913,166
90,83,200,1035,86
664,38,3158,30547,1141
83,8,46,1664,59
349,81,729,3391,251
132,47,72,1149,86
41,90,54,602,31
605,52,7018,86945,529
95,69,60,44,35
194,10,86,1977,108
502,60,492,6841,89
184,40,41,1495,115
310,92,646,5503,41
1141,52,698,6719,47
41,57,258,2713,61
106,90,34,2201,63
171,55,59,1115,101
23,57,61,65,6
103,161,496,8781,390
335,38,639,9066,141
78,143,200,1054,99
1109,35,3092,30878,949
94,5,45,1710,67
548,55,738,3583,203
44,54,91,1174,14
107,78,66,600,100
713,137,6959,87895,434
86,64,60,44,48
106,235,88,2009,68
437,59,504,7044,75
75,55,41,1511,84
297,70,747,5601,163
894,227,769,7340,249
61,58,272,3008,100
34,10,111,2643,102
118,56,65,1220,61
66,39,61,64,0
143,41,704,9946,553
203,50,743,10135,354
95,20,120,1134,78
735,47,3572,34806,1123
38,22,46,2024,97
295,70,711,3643,222
85,71,80,1332,81
118,53,116,659,62
975,186,6591,82920,680
88,73,60,45,79
83,52,94,2202,106
597,87,564,7625,200
200,26,49,1670,115
277,26,785,6138,168
413,57,778,7378,359
63,95,259,3152,113
28,64,68,2759,100
126,53,62,1300,166
161,0,61,66,0
251,185,705,10083,586
233,61,832,10226,337
57,52,132,1097,94
443,114,3564,35579,1004
61,82,45,2078,88
90,52,638,3876,238
150,116,93,1344,25
155,21,63,667,152
961,176,6484,83263,556
76,70,60,45,62
168,145,99,2238,197
215,89,562,7791,223
93,45,46,1698,128
245,25,797,6300,263
329,253,785,7417,267
66,89,244,3100,141
12,9,177,2821,97
221,54,50,1346,105
92,28,61,65,1
247,38,739,10214,695
366,94,785,10322,405
21,25,213,1076,32
3809,167,3729,35796,1440
163,179,46,2136,131
295,37,715,3699,243
192,111,89,1356,89
127,62,78,683,61
932,189,6478,84968,463
83,58,60,45,17
59,16,99,2248,178
287,74,578,7882,338
190,53,44,1712,120
237,30,804,6393,376
