Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
767,46,661,5996,77
40,38,215,2516,65
65,85,34,2035,71
109,71,13,1029,69
41,37,51,61,53
110,57,493,8383,206
109,67,563,8719,56
44,65,137,864,97
495,82,2892,28735,999
43,66,59,1582,64
1768,137,601,2843,206
42,60,115,1030,65
46,60,97,592,60
364,13,4476,50365,517
69,62,73,44,70
148,104,71,1940,98
467,63,497,6710,11
97,53,97,1456,73
431,49,633,5144,146
1336,47,688,6571,170
37,39,233,2581,65
101,85,84,2113,86
139,76,15,1024,67
47,104,77,68,63
119,43,518,8502,180
102,47,588,8874,18
82,63,108,892,129
1169,93,2951,28931,1033
57,57,85,1626,73
1839,115,643,2883,195
37,100,113,1023,51
130,24,115,594,67
525,57,4319,51028,483
85,59,79,127,68
67,106,71,1955,34
437,46,446,6873,159
85,118,89,1465,55
211,14,725,5193,59
956,26,744,7276,149
47,101,235,2894,112
149,105,96,2486,157
96,69,15,1057,83
31,80,16,91,24
150,26,718,9542,417
259,68,674,9342,268
148,64,173,947,129
922,174,3368,33199,1197
108,85,14,1878,86
1742,133,628,3075,105
44,13,130,1151,100
132,4,126,643,87
816,86,5784,69968,966
73,63,100,8,68
35,93,76,2049,96
512,130,615,7464,180
77,17,35,1635,39
215,37,789,5660,201
329,37,763,7357,208
38,96,189,2992,68
120,86,67,2540,136
39,104,14,1016,132
49,72,122,152,87
236,54,736,9843,379
317,72,640,9445,306
189,70,152,1039,70
771,252,3450,33636,1156
142,38,100,1923,79
1656,122,640,3088,72
56,114,134,1166,143
192,4,126,650,90
970,129,5630,70443,850
94,60,117,45,67
157,159,80,2034,96
328,69,503,7579,161
58,14,103,1670,205
219,41,796,5770,164
256,32,720,7318,217
64,32,170,3036,87
116,95,107,2600,127
209,41,16,1019,133
9,49,4,202,71
283,21,732,9985,453
323,76,675,9511,315
78,69,151,983,37
3225,228,3513,34203,1552
352,89,50,1965,112
1712,121,654,3113,134
75,81,132,1188,204
146,4,126,662,94
1014,118,5310,67106,778
93,63,130,109,66
28,114,80,2199,177
352,181,626,7686,327
59,14,16,1667,51
251,38,803,5788,346
282,36,789,7566,202
82,106,187,3316,110
120,89,103,2733,120
105,84,18,1086,109
74,104,131,143,62
219,49,761,10248,499
434,73,709,9609,351
139,67,148,1053,62
669,198,3558,36229,728
152,15,91,2036,109
1894,124,663,3174,162
61,90,137,1255,141
59,16,130,681,81
952,127,5665,70207,848
106,61,131,45,70
34,151,84,2276,73
281,83,552,7813,237
64,25,112,1700,118
210,29,810,5897,180
886,30,715,7532,214
108,113,217,3313,111
138,131,75,2820,66
87,39,16,1061,103
6,75,4,80,65
114,30,744,10271,496
296,59,664,9622,283
97,65,179,993,68
921,186,3657,37103,1460
288,15,31,2088,90
1878,112,680,3227,150
63,29,137,1308,28
55,29,129,678,89
867,124,5782,71246,866
114,64,109,22,68
49,100,87,2413,64
841,180,644,7938,241
76,80,51,1784,68
244,110,808,5933,260
