Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
277,41,713,5678,277
32,48,285,2512,37
48,48,84,1685,131
36,51,44,971,43
11,57,43,45,19
204,36,312,7160,606
245,15,514,8650,1739
26,64,91,876,5
993,161,2528,24112,947
43,51,48,1298,76
39,43,81,2814,81
49,45,117,1014,34
55,77,64,628,75
1112,116,1288,11340,987
48,51,21,30,67
35,155,97,1863,111
472,35,440,6417,209
29,57,18,1298,152
350,36,668,5028,517
251,40,701,5834,254
131,51,276,2641,155
58,35,87,1839,143
65,57,79,1015,212
104,57,56,43,26
255,42,817,8393,675
243,20,533,8885,388
38,48,82,901,36
931,195,2675,26468,3095
30,53,49,1399,120
33,39,98,2929,130
92,52,156,1089,58
96,56,89,702,78
1261,116,1337,11801,874
79,64,4,31,90
51,86,98,2021,264
735,58,511,6881,230
60,47,26,1374,66
233,37,682,5439,336
226,29,741,6085,165
43,51,278,2722,168
60,40,80,2011,155
85,61,41,1045,105
8,57,34,35,4
272,35,800,8767,1145
247,21,530,10211,787
163,76,79,959,32
681,222,2826,27005,1157
22,61,47,1542,128
105,33,64,3010,70
60,58,135,1171,79
126,71,67,721,75
1023,141,1309,12106,944
36,1,0,33,100
40,84,88,2045,118
722,26,587,7276,205
75,50,28,1423,25
264,42,704,5645,329
235,60,732,6225,219
107,52,274,2811,150
73,39,95,2111,131
69,59,10,1077,32
19,57,73,54,4
279,49,890,9206,885
211,28,627,10245,657
84,55,81,923,24
961,200,2871,27406,2110
158,58,48,1639,115
142,36,130,3350,58
82,51,146,1173,108
161,62,44,709,86
1176,128,1286,12128,979
54,126,3,35,76
224,78,60,2066,161
243,70,580,7477,385
161,50,28,1517,100
358,83,735,5883,356
272,117,786,6346,184
121,114,263,2899,112
16,75,97,2172,146
55,54,43,1113,32
45,57,4,71,3
339,57,930,9875,865
460,11,635,10262,598
52,82,111,953,24
948,219,2941,28678,2488
57,45,54,1684,182
91,29,159,3437,175
111,45,160,1276,114
126,67,64,710,80
1310,143,1316,12311,1214
93,0,1,35,66
58,50,77,2192,171
275,65,615,7798,360
76,36,34,1515,111
465,72,735,5975,356
201,28,811,6486,171
901,100,255,2952,118
30,33,110,2311,123
71,69,72,1132,66
10,57,88,64,4
269,57,891,9584,879
272,30,638,10488,730
46,53,87,957,29
969,225,2997,30149,1213
271,31,60,1751,214
121,31,155,3505,182
78,57,138,1297,80
55,52,95,763,67
1219,113,1393,12610,1268
5,147,1,35,69
206,7,111,2266,116
568,82,618,7816,308
119,67,34,1576,113
239,87,723,5949,362
384,31,841,6735,180
310,59,243,3112,125
32,50,118,2465,193
300,56,66,1184,95
123,57,5,89,3
258,59,923,10016,666
288,25,698,10665,723
61,83,99,1004,26
914,214,3085,31169,1576
439,26,64,1839,111
84,32,87,3564,181
60,49,172,1384,40
179,66,124,770,88
1170,182,1428,13136,1249
56,0,3,35,68
233,12,113,2308,131
877,18,625,8305,308
83,46,37,1618,64
559,33,730,6015,405
