Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
248,69,699,6152,79
166,94,156,2551,52
77,72,64,2072,83
26,55,10,964,42
71,45,55,101,101
160,35,472,8387,281
128,15,584,8721,95
40,48,116,931,46
939,46,2985,29483,865
87,59,37,1608,53
10541,320,651,3722,344
49,64,113,1073,101
97,69,34,596,68
551,57,4930,66810,573
55,69,61,17,61
36,70,135,1976,42
845,50,517,6798,86
10,60,41,1455,83
240,23,641,5144,91
729,72,713,6377,174
141,88,199,2624,49
117,69,59,2171,68
88,53,9,930,63
79,0,36,71,39
133,70,479,8630,201
95,42,603,8842,108
23,33,144,915,77
660,46,3033,30025,1027
120,68,33,1669,66
411,85,655,3833,287
40,65,102,1062,86
68,70,38,605,70
418,16,5232,67494,490
61,69,55,84,8
178,58,72,2001,98
646,60,565,6732,50
93,59,55,1491,80
244,26,653,5235,99
1325,69,703,6928,67
46,76,174,2673,95
89,102,70,2191,97
172,33,12,940,64
81,0,15,102,85
140,37,481,8729,300
149,46,632,8963,113
17,91,75,996,88
1225,28,3028,30506,998
131,52,30,1688,72
583,61,697,3740,212
46,65,121,1061,102
138,67,48,601,73
489,91,5019,66266,461
74,72,53,45,3
70,46,118,1990,36
550,50,571,7013,119
97,37,41,1505,88
365,14,762,5272,114
1013,71,823,7533,138
89,81,206,3013,59
81,79,100,2523,127
78,16,10,983,66
83,23,2,103,1
161,24,634,9712,395
201,92,712,9372,304
98,59,135,1050,82
705,58,3380,34298,905
81,118,33,1972,87
345,80,654,4118,276
43,67,139,1201,122
154,71,43,631,79
728,68,6254,79954,810
83,71,61,85,4
42,50,111,2139,70
692,89,467,7366,135
98,58,31,1665,63
204,41,872,5752,98
219,100,799,7511,160
88,105,175,3015,78
87,103,106,2567,184
49,8,14,1006,124
95,69,4,107,57
144,50,664,9785,412
262,67,702,9466,305
114,78,76,1060,71
519,131,3486,34834,861
100,29,53,2010,81
148,68,699,4025,260
48,73,136,1208,121
201,67,55,601,85
742,152,5972,79390,635
66,78,63,46,3
170,44,152,2219,162
265,88,603,7678,143
42,37,60,1722,67
287,91,846,5820,196
143,86,834,7569,189
36,102,211,3131,81
94,84,104,2629,158
187,11,11,989,116
81,74,4,107,1
135,23,642,9928,489
323,86,723,9541,350
43,62,148,1031,87
3577,209,3486,35325,1180
126,98,112,2059,120
345,69,715,4156,255
66,75,136,1222,137
168,71,37,619,87
820,139,5791,77120,669
44,66,62,84,3
39,44,27,2289,142
231,66,626,7528,245
41,46,106,1732,65
225,187,846,5910,251
227,92,768,7617,253
45,86,186,3229,102
80,102,102,2757,157
78,13,14,1006,69
115,48,27,107,1
106,74,689,10084,414
405,81,737,9653,371
110,40,153,1073,73
856,116,3560,37092,881
113,14,55,2110,105
853,73,699,4115,283
73,67,134,1256,130
67,67,59,645,81
789,143,6138,83053,770
52,93,58,46,122
37,45,156,2315,116
245,84,622,7843,244
44,46,99,1822,63
213,166,802,5939,104
