Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
875,94,713,5936,171
270,84,217,2491,48
47,46,87,2091,69
55,64,20,1056,79
90,49,44,54,29
161,20,471,8055,372
566,65,510,8597,143
97,88,98,863,58
769,16,2622,29304,1147
196,55,45,1623,34
87,58,36,2782,176
50,34,73,1063,88
104,61,51,572,45
711,40,975,7657,725
109,73,67,12,72
96,38,33,2030,122
1116,69,528,6674,108
36,49,6,1460,40
327,60,597,5258,78
205,38,728,6012,151
185,52,205,2509,59
79,50,74,2267,55
95,74,25,1070,70
131,68,85,55,93
174,34,501,8403,317
224,73,533,8664,245
109,115,91,887,83
1330,174,3038,29592,1190
209,62,47,1627,21
113,56,42,2827,179
78,99,129,1048,93
80,64,53,566,51
1051,116,7807,102290,1020
119,77,59,20,73
86,31,21,2023,76
434,92,504,6775,178
86,60,12,1477,48
441,94,634,5499,142
206,136,733,6069,156
237,60,224,2563,97
46,24,139,2361,24
106,48,34,1134,78
81,34,67,57,0
159,28,533,8641,322
380,98,579,8743,308
154,105,106,917,64
657,93,3114,31108,1315
207,45,46,1732,13
76,40,42,2853,181
61,81,126,1073,74
217,56,62,584,39
1025,134,7909,102777,673
130,72,77,9,89
195,47,75,2080,78
428,77,568,6840,170
37,66,31,1503,82
341,52,632,5445,120
206,24,735,6202,123
194,87,188,2621,46
43,33,100,2469,28
32,126,45,1105,74
63,0,85,61,132
85,19,493,8693,348
190,73,594,8898,222
50,80,165,941,104
957,44,3174,32059,1079
219,58,44,1801,5
10489,306,650,3544,412
54,6,142,1076,79
44,67,76,551,12
865,148,7943,103388,627
142,48,42,37,88
142,35,135,2071,89
752,55,546,6956,291
38,51,29,1594,44
439,43,724,5621,105
828,125,730,6376,235
184,87,259,2682,7
37,30,107,2593,28
94,10,46,1125,58
68,0,6,70,0
68,38,529,8952,305
181,116,590,8985,228
168,68,199,949,54
549,56,3230,32665,1523
179,46,48,1854,26
369,19,659,3551,351
40,55,120,1076,95
41,57,83,609,8
816,110,8065,104144,819
147,0,104,13,84
236,53,143,2169,126
597,26,587,7069,101
139,85,21,1552,60
384,31,693,5680,88
1390,16,751,6844,111
139,61,165,2755,76
36,52,92,2645,51
178,193,52,1095,116
121,0,150,86,131
75,24,524,9070,440
212,95,614,9141,276
59,80,203,962,151
1140,46,3250,33018,1258
186,64,50,1912,41
555,12,682,3588,210
41,85,129,1093,72
78,65,99,612,34
819,175,8045,104908,734
144,0,4,16,79
235,51,143,2163,118
472,36,593,7187,58
95,78,17,1565,55
329,85,844,5903,152
1016,136,856,7797,249
191,61,232,3237,148
16,35,175,3176,206
82,9,45,1306,102
160,30,33,113,4
149,52,713,10608,582
273,110,733,12140,458
242,100,214,1088,48
846,60,3734,38044,1489
117,52,51,2285,89
324,47,629,3953,289
44,24,126,1310,97
105,55,94,679,82
1291,155,7814,101145,1360
138,16,121,11,85
180,89,96,2346,174
699,79,661,8040,304
46,72,44,1840,101
254,67,874,6627,195
