Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
209,50,689,5800,154
53,39,211,2335,64
31,34,72,1841,86
56,53,30,960,178
53,72,41,44,48
254,33,760,8006,1108
311,11,507,10181,1182
141,56,130,816,62
645,172,2641,24674,1406
9,71,72,1380,150
86,46,88,2825,89
56,41,129,1010,84
122,55,84,644,58
1090,143,1148,10456,942
40,53,36,26,61
30,112,78,1925,86
645,12,541,7303,282
81,60,22,1326,59
351,58,635,5208,46
234,68,736,6031,111
130,77,205,2430,96
108,111,82,1908,95
125,56,30,1006,110
56,67,74,64,46
267,24,774,8384,908
225,26,542,10255,1014
80,59,135,828,23
892,161,2634,25017,1661
127,71,110,1455,160
146,62,55,2888,83
98,38,173,1050,91
154,47,44,628,69
1462,138,1193,10311,1086
66,50,36,43,61
265,110,79,1987,131
427,45,564,7634,365
144,51,17,1376,58
490,109,631,5364,80
171,96,743,6168,48
44,53,207,2520,126
60,14,94,2014,78
114,53,30,990,92
65,98,46,32,58
283,32,795,8501,792
494,10,547,10221,915
56,56,133,869,9
945,207,2720,26475,2188
54,65,113,1559,138
81,54,140,3044,178
99,24,181,1105,50
101,30,127,645,61
1372,123,1164,10604,893
6,51,46,47,59
48,124,80,2091,113
399,49,583,7883,330
77,50,20,1373,97
462,149,698,5442,75
247,39,746,6287,113
943,69,207,2716,25
48,103,135,2101,100
42,62,30,1104,129
59,53,89,115,30
69,24,768,8821,869
419,49,554,10151,968
19,44,130,876,32
1027,237,2787,27964,1378
290,61,25,1606,207
88,54,88,3176,188
56,23,178,1169,36
35,39,27,689,60
1177,123,1222,11158,1040
61,54,58,26,61
182,145,81,2156,79
377,50,598,7999,275
81,63,50,1439,96
231,124,627,5496,33
253,40,789,6492,119
356,28,207,2777,28
35,21,154,2286,132
222,61,31,1060,124
78,134,43,12,27
254,35,756,9078,613
226,95,575,10384,997
23,23,140,913,25
826,197,2833,28809,1256
396,73,82,1715,96
58,57,151,3218,166
51,23,133,1206,42
128,71,130,683,78
1280,129,1212,11313,793
9,54,55,18,60
248,134,84,2190,98
750,33,589,7974,399
77,60,62,1496,65
433,70,671,5626,99
215,47,852,6625,81
222,67,209,2954,142
112,98,119,2302,126
18,75,31,1175,101
64,42,66,166,1
104,31,784,9384,808
325,36,594,10519,914
50,7,155,960,40
847,242,3117,30215,1331
207,71,123,1824,240
45,58,84,3261,89
52,24,113,1283,43
55,59,73,682,60
1181,140,1189,11758,1088
57,53,29,26,60
148,135,83,2214,205
343,23,603,8281,302
106,62,39,1558,79
542,57,688,5681,62
359,48,883,6832,151
364,37,216,2922,88
36,12,140,2527,84
229,69,33,1143,148
36,133,52,15,60
323,36,783,9628,648
363,66,620,10798,909
68,13,162,1001,39
768,173,3134,30355,1330
344,68,124,1941,188
57,64,155,3349,196
68,32,115,1334,17
41,64,133,697,112
1076,131,1248,12291,888
42,53,19,43,60
411,123,85,2323,105
729,51,626,8519,351
86,63,97,1595,69
346,63,716,5873,149
