Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
364,40,722,5921,102
308,42,234,2578,55
44,41,75,1907,39
227,63,17,953,89
74,51,62,55,71
189,31,485,8012,642
276,21,488,8725,314
42,63,128,838,39
634,110,2557,25616,1412
337,65,33,1495,61
37,39,69,2872,148
61,66,117,1056,59
96,61,95,587,57
562,53,1154,8938,730
29,54,53,19,58
133,60,62,1991,27
829,38,500,6650,167
35,51,41,1344,33
680,37,617,5044,54
196,23,803,6118,97
250,41,264,2600,68
36,67,99,1978,51
40,70,17,989,38
51,49,83,64,72
193,20,477,8250,129
252,43,555,8802,105
66,63,147,883,24
964,146,2825,27055,1359
145,65,27,1516,55
51,75,71,2905,99
58,71,112,1125,99
34,63,93,590,61
623,109,1121,9433,793
77,54,55,24,60
72,59,53,2025,108
419,9,518,6816,115
94,80,37,1387,47
811,39,638,5232,12
536,43,827,6237,170
291,30,274,2643,36
47,75,62,2053,42
236,76,21,1047,79
54,37,88,77,78
88,31,496,8421,448
212,41,470,8914,226
192,57,131,907,8
764,63,2837,26843,1407
218,56,30,1671,83
48,36,80,2953,208
54,87,109,1168,66
51,63,111,587,64
783,145,1179,9696,728
46,53,54,29,58
301,55,55,2260,62
957,18,540,6975,217
75,61,37,1413,37
265,49,648,5318,192
1002,27,832,6440,126
266,61,225,2707,102
49,35,159,2176,98
73,82,23,1111,77
49,31,70,81,74
226,28,487,8661,277
545,52,598,9037,187
128,58,85,911,19
491,34,2849,31645,1397
127,60,32,1772,69
98,117,50,2976,155
36,89,108,1179,109
111,66,114,593,92
687,139,1208,9939,744
73,54,56,29,62
69,86,66,2241,167
1559,37,552,7116,141
63,91,41,1478,36
281,46,659,5385,73
136,20,843,6466,87
249,44,91,2731,133
67,49,55,2279,100
187,75,25,1123,53
67,49,58,79,85
104,41,517,8804,194
255,92,578,9108,262
73,63,92,914,23
1614,149,3281,31873,1239
94,55,32,1784,44
68,55,71,3001,164
62,56,106,1172,134
124,61,122,592,47
1008,208,7633,101220,754
17,53,53,32,56
50,102,86,2291,59
317,34,573,7206,48
110,76,46,1490,36
160,71,684,5508,108
164,20,859,6539,137
236,44,174,2822,117
32,39,165,2459,49
51,76,27,1143,103
65,45,37,74,74
151,48,532,9087,184
323,118,669,9264,391
61,59,147,974,53
690,117,3343,33433,1773
128,65,35,1853,63
58,152,86,3063,137
37,47,108,1225,127
198,65,122,603,132
1021,154,7729,101410,735
65,53,56,31,64
73,124,89,2241,51
222,66,569,7341,66
82,90,52,1549,96
103,62,694,5888,140
335,28,839,6724,102
253,72,283,2909,46
55,55,113,2585,25
95,68,29,1162,51
67,34,10,62,91
139,32,517,9332,207
196,96,619,9427,332
49,59,98,992,81
935,124,3453,34246,1688
110,54,32,1937,67
10498,328,628,3626,417
56,27,104,1240,141
38,63,122,622,29
797,205,7763,102089,855
31,53,53,32,55
68,98,112,2337,40
1061,29,592,7454,149
46,77,50,1581,72
212,41,690,6063,78
