Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
162,47,677,5795,68
99,57,191,2485,52
93,67,63,1848,64
99,45,30,863,141
74,74,45,34,40
198,44,634,7834,612
256,54,548,8909,645
27,49,148,786,40
689,77,2547,24001,1855
150,35,68,1451,81
121,53,45,2850,113
85,78,144,964,115
130,61,45,576,56
1147,83,1095,9576,836
70,28,46,15,62
229,60,68,1881,42
372,30,505,6984,331
101,50,29,1420,54
359,72,647,5351,110
267,105,688,5897,162
144,95,205,2518,110
67,89,108,1802,132
125,69,6,816,137
57,32,62,71,19
258,32,659,8152,478
342,133,547,8946,666
70,74,165,824,47
1110,144,2673,25256,1561
55,53,117,1507,133
93,50,61,2935,243
161,77,124,1126,48
73,58,38,606,34
1382,93,1092,9852,988
58,70,65,49,58
28,125,60,2010,43
491,119,527,7091,360
76,50,33,1409,74
409,107,590,5420,146
238,23,689,6142,72
883,57,198,2690,43
50,92,130,2057,32
39,59,73,915,161
124,88,99,46,4
212,35,609,8348,590
258,95,554,8861,787
36,72,175,842,65
1192,191,2737,26849,1705
257,15,121,1555,187
115,53,48,2989,304
126,97,94,936,138
70,58,13,633,44
1026,85,1142,10327,1031
92,0,3,45,60
181,72,57,2092,95
362,60,553,7343,269
78,62,34,1467,71
277,61,649,5347,94
343,12,783,6248,159
290,29,199,2812,21
59,90,123,2140,110
209,80,21,1070,164
25,1,67,73,14
177,31,626,8740,708
345,103,573,9057,597
69,56,192,865,45
648,194,2770,27761,1638
420,83,73,1632,76
82,56,63,3045,181
85,111,63,1232,47
182,62,14,640,106
1084,92,1177,10648,1043
21,69,82,23,56
222,149,56,2154,84
651,95,542,7518,348
75,60,37,1492,27
514,127,591,5404,129
215,20,846,6388,67
140,66,211,2926,113
58,96,114,2221,45
16,50,81,1132,113
87,91,47,14,18
199,28,644,9005,500
215,95,583,9300,745
35,70,181,875,20
830,221,3007,29065,1395
225,54,30,1724,231
80,60,62,3075,184
91,119,91,1047,239
73,59,34,639,19
962,117,1118,10922,959
83,0,3,10,57
156,69,53,2196,153
317,46,551,7675,290
132,61,36,1510,36
651,42,642,5542,97
563,35,858,6483,222
300,85,219,2885,70
40,97,111,2272,176
244,109,24,1186,151
20,0,50,109,2
254,30,644,9236,585
327,134,623,9445,454
56,60,168,882,42
778,143,2998,28901,1715
328,65,34,1807,148
62,48,61,3122,233
103,127,103,1323,48
47,65,86,632,101
1092,113,1152,11213,759
42,69,70,56,58
391,93,46,2307,100
714,121,571,7822,282
102,58,39,1561,41
266,151,622,5633,114
1023,53,883,6620,133
104,175,234,3040,119
45,93,126,2516,74
96,67,89,1313,163
89,99,54,20,22
168,30,644,9472,479
490,73,652,9454,489
59,50,97,886,51
583,90,3070,33840,1463
96,15,122,1970,190
139,48,68,3259,136
104,126,105,1090,193
108,61,24,640,8
970,124,1134,11877,944
81,0,4,22,58
108,63,53,2339,125
1361,43,594,8092,354
93,57,43,1647,25
271,91,696,6036,130
