Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
371,60,684,5864,122
107,44,190,2470,61
31,66,43,1979,74
61,60,16,1099,43
66,85,50,52,65
137,63,473,8048,240
222,65,628,8563,185
75,88,93,856,64
1669,178,2995,29002,1085
164,32,41,1541,43
127,45,41,2792,143
86,47,168,1018,76
47,75,41,572,93
989,125,7815,103235,510
76,43,72,37,59
120,115,110,1939,113
508,87,507,6630,115
81,20,30,1420,50
271,66,622,5241,179
286,35,704,5923,187
195,23,174,2534,105
66,61,18,2117,65
159,62,16,1105,68
39,97,23,54,66
213,95,507,8298,299
395,93,653,8641,295
25,85,91,896,75
751,118,3071,30021,1177
113,40,31,1595,42
102,8,42,2795,126
25,86,16,1046,68
185,67,24,582,66
1041,183,7885,103622,791
86,83,68,7,49
150,69,77,1942,84
716,91,500,6728,145
78,14,41,1428,123
393,54,683,5208,170
294,32,733,6034,175
206,27,181,2642,46
43,68,15,2226,56
51,59,35,1118,53
14,76,4,52,68
48,62,506,8467,383
270,60,630,8816,229
54,42,101,980,21
1031,61,3133,30971,1084
116,25,14,1660,65
10442,266,642,3367,425
158,6,167,1048,75
36,91,29,595,103
885,187,7960,104270,681
129,1,81,8,43
124,20,127,1960,54
525,89,484,6818,199
41,21,44,1463,100
457,41,672,5507,151
560,32,727,6372,304
125,29,169,2778,36
14,69,62,2295,66
45,74,89,1115,62
43,64,11,54,68
176,105,538,8789,307
207,37,498,8936,286
79,71,100,980,114
692,108,3185,31620,1249
161,118,38,1760,67
354,19,662,3375,339
41,211,97,1038,88
46,103,30,597,48
901,170,8073,104985,602
159,143,69,27,73
249,144,101,2002,106
464,78,548,6929,110
80,38,52,1509,120
301,37,693,5683,46
1277,44,748,7014,166
80,17,188,2849,78
75,89,141,2262,61
221,69,12,1085,82
17,35,8,52,69
70,97,566,8861,349
261,56,614,9066,235
70,72,102,1004,32
989,11,3207,31668,1223
110,8,98,1839,55
533,84,670,3401,164
139,9,143,1067,65
50,98,41,600,118
782,248,8160,105784,503
160,0,103,23,32
145,13,121,2047,77
538,96,522,7059,40
61,10,55,1572,92
415,68,774,5827,220
769,47,830,7842,301
73,15,202,3239,149
69,84,163,2695,99
111,66,91,1221,72
57,17,24,55,71
190,119,736,10263,479
276,59,815,12689,426
97,70,123,1114,47
713,60,3662,36571,1238
80,119,113,2178,100
285,23,635,3747,268
45,212,189,1284,75
106,79,123,676,74
1374,294,7889,102386,932
113,148,63,107,108
87,73,93,2239,106
683,128,656,7861,335
40,75,69,1807,171
192,49,864,6508,193
470,70,840,7840,301
68,148,192,3284,122
36,104,144,2852,105
83,61,29,1198,108
13,37,23,53,72
387,125,779,10378,519
275,67,812,12784,396
38,72,125,1143,29
530,92,3763,37077,1174
145,19,113,2218,173
86,195,642,3751,251
179,9,155,1304,81
94,72,136,681,141
1472,344,7905,102877,896
67,0,129,46,32
141,28,152,2321,203
500,133,565,7950,374
110,21,68,1916,188
324,94,909,6591,280
