Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
143,28,746,5871,103
249,48,207,2461,119
57,51,96,1805,65
57,69,13,995,51
48,61,51,22,48
128,33,468,8000,228
267,27,531,8531,306
53,63,128,833,54
854,132,2780,25892,912
107,63,49,1490,103
56,72,64,2765,114
70,83,105,1081,54
67,46,34,563,47
741,112,1050,8484,803
69,65,54,33,51
49,74,103,1910,135
320,62,489,6525,85
55,58,17,1371,67
646,35,601,5226,37
506,40,665,6018,156
199,45,213,2561,90
74,43,55,1936,55
143,67,21,1034,67
43,64,75,13,90
155,44,476,8188,372
240,64,538,8628,208
95,53,148,910,53
709,40,2824,26008,991
146,56,48,1600,134
50,46,70,2782,202
65,50,104,1141,46
55,55,12,594,14
744,107,1107,8969,673
97,74,59,66,28
264,71,131,2015,37
788,65,507,6749,236
29,57,20,1449,52
242,50,604,5367,174
907,64,799,6121,192
377,81,227,2669,139
107,40,132,2128,95
165,72,19,1133,83
60,58,53,13,54
198,42,487,8464,324
572,57,588,8728,131
97,44,156,767,61
446,50,2828,30612,1206
147,43,49,1705,99
47,73,94,2854,161
58,90,100,1170,69
114,43,31,600,29
708,140,1126,9191,722
93,79,49,67,17
65,79,73,2073,129
1360,84,512,6869,71
30,56,23,1526,48
137,34,620,5639,102
190,62,733,6179,111
320,47,219,2691,98
139,72,117,2187,120
138,67,31,1144,76
111,78,87,13,96
160,52,518,8622,249
198,71,522,8816,215
114,62,149,979,69
1660,98,3281,31101,1136
192,31,47,1735,101
53,17,116,2868,204
67,11,102,1173,75
98,45,20,595,80
907,203,7669,101447,595
104,74,64,67,2
75,90,135,2053,70
228,85,526,6970,120
89,54,28,1562,43
212,84,649,5836,129
114,59,829,6251,186
290,61,228,2737,94
122,49,161,2274,121
112,71,24,1119,127
103,48,24,13,59
182,61,527,8796,240
312,77,676,8962,349
66,55,158,731,70
584,45,3338,32171,1656
163,18,49,1768,125
59,77,127,2928,208
75,61,97,1200,53
242,37,41,614,40
1120,206,7791,102009,513
112,71,32,65,20
82,75,44,2047,56
351,92,524,7037,133
88,52,32,1585,87
217,30,660,5967,89
351,48,706,6356,119
248,86,227,2839,102
114,34,91,2456,96
41,70,41,1119,95
101,64,82,112,97
126,48,512,9022,322
276,54,556,9119,288
69,45,151,1036,54
998,41,3386,33125,1287
159,23,46,1830,117
10543,386,683,3432,580
70,6,102,1219,64
58,33,47,607,11
775,198,7807,102676,464
93,69,65,65,35
59,73,137,2062,19
836,67,524,7146,116
52,57,32,1621,35
264,50,668,5903,99
826,55,827,6487,228
263,85,229,2920,98
111,23,161,2529,32
110,78,41,1146,89
107,39,5,126,75
166,75,535,9352,256
184,89,705,9192,286
71,60,152,724,86
682,109,3448,33865,1413
172,34,53,1904,116
455,168,663,3571,338
61,25,96,1235,83
53,20,71,673,84
1033,127,7906,103302,635
55,69,65,66,7
180,48,88,2135,77
711,80,527,7273,145
69,65,35,1660,57
330,8,677,6133,117
