Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
332,49,655,5808,133
169,79,248,2464,61
40,52,66,1759,66
107,53,26,956,214
45,61,53,49,54
179,47,829,8095,659
278,23,502,8576,711
22,46,124,875,103
735,176,2597,25709,2954
57,55,50,1389,163
57,56,60,2718,174
69,68,114,1088,92
156,40,50,666,57
1429,111,1274,11100,868
53,36,69,15,60
32,80,86,1972,260
660,66,481,6412,389
74,56,47,1322,70
311,50,617,5179,187
301,48,683,6068,158
37,44,246,2495,70
50,31,83,1940,84
52,61,25,1007,117
53,67,54,53,51
209,31,848,8553,1180
374,16,555,9390,965
140,37,100,933,168
590,214,2728,26065,1174
54,71,38,1504,171
116,59,37,2859,132
41,51,113,1139,42
60,81,56,695,59
1069,133,1242,11476,1088
64,1,44,19,61
43,86,113,2017,64
680,23,557,7003,341
103,89,14,1365,91
201,53,646,5422,208
338,47,691,6219,100
71,74,240,2651,92
71,8,34,1989,94
123,53,29,1041,80
50,69,53,53,39
207,36,852,8851,901
289,5,623,9467,836
73,46,174,907,66
776,165,2776,26486,2051
130,61,13,1562,131
138,66,28,2904,81
75,76,98,1143,58
90,64,38,696,55
1197,128,1184,11411,1072
45,0,99,20,60
225,84,136,2074,171
371,79,577,7162,428
109,160,46,1528,88
486,89,675,5710,232
258,112,699,6466,86
138,77,234,2725,120
61,10,71,2085,79
100,60,17,1083,66
72,68,55,53,36
271,40,892,9081,883
499,16,634,9413,727
68,56,93,886,69
876,190,2830,27701,2456
35,50,18,1625,136
79,59,57,3084,185
109,37,75,1199,51
69,45,107,700,77
1122,142,1243,11554,1167
62,0,67,20,52
39,90,136,2180,182
430,71,599,7173,415
114,197,23,1505,77
492,103,678,5712,192
287,22,707,6423,154
928,88,235,2792,56
28,15,105,2177,42
32,70,36,1122,74
54,67,51,53,24
154,76,864,9348,893
410,26,641,9552,847
17,68,188,989,90
826,189,2895,28962,1148
241,36,22,1686,89
88,60,71,3140,176
78,103,92,1223,26
41,73,71,719,14
1118,133,1300,12068,1180
42,79,118,20,49
189,106,82,2258,112
512,86,614,7335,350
160,74,81,1577,72
324,84,668,5739,234
368,50,743,6562,66
264,25,241,2889,56
57,36,56,2354,59
218,69,27,1125,53
77,67,55,53,27
197,77,869,9705,687
301,38,666,9748,872
24,62,67,1029,65
677,147,2942,30036,1535
415,29,23,1758,53
58,64,65,3193,163
55,36,83,1222,26
105,66,129,722,52
1066,144,1309,12272,1070
54,95,29,20,38
226,100,67,2292,138
840,19,621,7467,342
129,14,15,1612,75
342,78,672,5822,301
309,54,786,6841,176
189,86,227,2995,163
32,48,100,2444,53
24,53,36,1192,22
23,67,44,54,39
156,22,884,10094,903
318,38,688,9993,749
39,40,210,1090,67
782,239,3235,31665,1050
224,76,24,1884,85
47,63,86,3250,75
54,117,95,1303,44
35,43,78,733,13
1154,170,1345,13051,1222
45,34,3,24,30
155,106,23,2329,267
388,62,630,7680,402
108,15,87,1635,50
629,63,667,5960,280
