Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
574,81,728,6800,142
54,57,205,2746,161
50,78,99,2398,97
97,75,13,1038,42
82,65,48,52,51
148,50,647,9285,515
194,20,604,9202,497
136,39,137,985,92
639,77,3199,32320,759
47,67,33,1862,81
327,84,444,2921,172
83,44,111,1189,72
58,71,48,622,122
856,75,5365,69293,834
101,73,60,45,51
78,117,65,2081,63
509,96,531,7315,234
18,90,72,1564,113
285,81,783,5744,95
653,122,740,6746,190
14,50,201,2867,159
54,126,97,2443,79
37,72,9,1053,104
82,59,48,80,84
200,59,663,9350,452
266,160,588,9282,510
114,59,172,980,83
767,187,3277,32798,735
90,83,25,1831,59
395,75,495,2931,159
72,99,112,1195,69
112,68,46,621,104
1035,133,5356,69816,815
139,81,45,128,120
137,118,44,2094,149
384,101,538,7411,259
137,105,22,1615,134
201,145,791,5834,285
538,91,737,6892,215
93,26,200,2897,170
64,135,112,2498,75
196,74,30,1082,95
83,64,44,10,22
191,46,666,9461,607
414,55,601,9350,574
59,59,158,969,89
3951,253,3311,33182,1010
194,86,18,1965,110
324,69,448,2965,161
213,96,108,1204,95
98,71,50,659,123
1093,116,5373,70235,722
137,90,3,45,4
67,120,32,2091,105
413,83,536,7485,363
153,115,100,1637,130
285,158,723,5901,352
431,152,727,6881,227
148,15,204,3008,173
48,143,95,2594,77
34,72,34,1107,81
74,65,47,122,109
196,56,691,9572,549
354,107,643,9413,513
38,67,182,974,85
1253,193,3329,34468,826
62,88,15,2071,94
454,97,435,3046,182
21,68,121,1239,101
149,68,61,647,146
1051,121,5342,69684,793
129,91,3,162,77
15,98,30,2110,125
476,93,549,7523,359
94,132,33,1687,141
169,92,680,5952,147
529,85,745,6987,197
110,23,205,3031,164
52,135,132,2701,52
76,76,14,1122,99
70,67,48,11,24
134,56,701,9843,583
322,49,661,9518,414
64,63,148,998,99
680,117,3383,35442,1106
93,82,16,2093,64
690,87,450,3121,183
250,86,101,1275,72
127,72,63,708,125
918,116,5404,70211,738
107,92,3,45,2
3,103,30,2137,81
807,91,554,7708,280
17,132,111,1760,113
205,49,803,5982,132
469,142,721,6978,179
173,72,182,3080,160
43,135,85,2821,80
43,71,9,1130,81
88,68,45,153,88
152,50,735,10017,490
325,174,698,9640,473
61,45,83,1023,86
676,194,3439,36000,799
51,91,18,2069,68
324,82,474,3187,210
32,68,170,1306,70
70,68,58,631,113
910,144,5479,70723,671
71,92,3,191,109
128,107,30,2223,293
319,80,563,7675,312
36,149,68,1767,119
368,27,812,6059,149
417,102,817,7003,214
82,147,221,3129,190
54,144,121,2887,61
123,76,30,1135,54
71,67,47,14,0
159,68,744,10205,571
217,51,705,9749,529
95,64,197,1040,95
753,104,3628,37126,794
63,53,23,2067,55
320,77,467,3253,175
207,81,50,1310,78
247,71,49,751,118
929,111,5546,71817,683
16,94,84,45,2
88,123,30,2259,81
618,97,579,7778,232
83,141,111,1787,104
271,84,773,6152,144
