Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
221,51,663,5822,101
78,74,222,2430,74
44,55,72,1762,41
100,42,66,962,92
47,31,26,57,69
254,35,559,7729,122
473,19,527,8455,304
65,61,114,819,40
630,140,2559,24982,1975
29,13,87,1435,89
53,81,112,2782,244
98,53,133,1049,64
77,46,44,591,37
931,95,1119,9636,1025
68,57,59,26,61
57,86,78,2046,69
363,65,511,6743,123
75,50,36,1345,80
329,75,633,5120,73
159,46,668,5984,95
876,45,212,2541,46
33,8,92,1984,147
41,89,81,1015,122
100,23,75,57,69
80,42,498,8082,205
450,47,557,8548,345
93,59,118,831,74
1096,40,2598,26379,1210
244,46,113,1519,63
49,97,113,2840,227
74,84,126,1105,45
71,29,30,617,29
1084,62,1188,10119,985
47,53,59,15,67
142,140,71,2094,16
497,69,535,6942,114
78,60,29,1416,81
420,56,640,5237,25
383,38,709,6158,114
351,30,210,2710,54
36,21,98,2087,96
206,9,64,962,126
19,44,4,57,64
190,25,519,8562,604
222,37,533,8673,378
94,59,132,872,35
690,33,2623,27328,1084
415,32,116,1509,29
79,108,139,2884,263
21,38,139,1142,42
157,32,30,616,8
975,89,1148,10369,1136
21,53,59,33,87
157,115,84,2154,27
720,37,541,6916,152
93,55,45,1450,26
661,48,638,5288,77
149,11,751,6343,81
117,65,209,2735,132
31,11,99,2162,45
40,29,56,1102,75
94,51,48,58,63
67,158,510,8761,144
244,50,549,8782,332
51,52,141,932,57
987,104,2931,28599,1177
229,51,118,1751,51
87,104,80,2859,107
43,112,132,1218,55
43,27,39,634,9
1003,98,1217,10675,697
12,55,59,10,98
70,158,81,2223,161
415,51,550,7259,78
94,57,17,1475,21
761,22,638,5637,15
530,43,765,6498,187
367,94,218,2773,104
34,8,102,2234,99
223,9,82,1008,112
10,78,48,58,67
248,10,531,8845,500
267,44,633,8941,315
115,51,146,949,49
947,52,2962,28378,1402
320,53,118,1677,47
94,92,140,2927,345
11,123,128,1228,46
79,41,72,623,22
1125,95,1130,10871,808
35,57,60,40,99
303,94,70,2273,8
803,77,576,7304,180
87,47,93,1496,47
250,20,647,5769,185
971,92,781,6652,138
102,106,234,2914,128
40,71,111,2387,113
57,54,87,1183,113
153,72,53,58,70
82,158,579,8999,252
560,61,667,8970,345
104,54,146,966,67
546,47,2930,32774,1298
116,25,45,1913,47
30,64,116,2954,149
34,12,132,1290,62
162,9,45,633,5
851,116,1214,10939,774
11,58,60,28,96
64,196,101,2280,119
1339,82,600,7538,177
84,103,43,1554,22
167,42,658,5767,96
96,45,798,6757,140
73,38,220,2866,121
52,112,121,2450,43
160,7,89,1076,87
15,0,40,58,68
256,13,664,9133,146
245,44,716,9100,386
137,58,148,972,56
1566,153,3343,33375,1382
113,62,14,1818,46
151,17,143,3038,153
137,71,126,1184,67
141,3,65,632,28
1139,144,7519,100094,843
79,56,60,42,98
78,105,138,2325,89
375,107,619,7596,160
142,52,100,1620,54
269,64,709,5957,140
