Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
413,80,788,5917,188
137,82,200,2472,29
42,82,88,1974,50
142,69,24,1036,83
97,71,52,91,62
158,76,466,8211,254
251,72,505,8582,129
96,45,135,921,55
709,81,2727,25491,1340
127,62,45,1577,95
23,52,47,2767,228
52,63,99,1110,57
38,63,33,616,50
823,59,998,8239,676
60,36,38,37,63
237,22,56,1995,57
709,59,519,6750,163
36,48,40,1375,34
414,52,635,5202,221
933,125,786,6027,139
301,160,163,2544,85
54,47,95,2039,82
34,84,40,1162,80
83,54,61,121,62
86,17,469,8351,302
523,54,602,8693,144
105,33,74,958,68
638,36,2753,30123,1607
190,64,43,1633,86
81,33,64,2850,162
36,70,100,1111,93
166,65,41,568,107
627,68,961,8476,804
21,38,10,33,61
45,24,59,1905,120
1275,29,531,6874,105
36,39,53,1442,24
285,66,644,5407,90
143,98,778,6060,164
247,136,158,2565,86
74,96,109,2111,92
93,84,56,1232,41
39,117,51,126,61
246,56,488,8658,336
342,97,509,8769,260
130,5,176,862,63
1641,167,3184,30463,1291
201,67,42,1759,114
97,6,46,2892,164
105,57,100,1111,102
161,64,25,637,34
1134,131,7628,101659,674
10,32,4,50,71
74,96,46,2080,103
301,46,538,6961,129
89,40,95,1453,36
276,92,696,5518,110
203,46,696,6125,154
228,102,163,2621,175
48,42,110,2179,78
113,92,70,1293,40
72,87,62,129,57
183,39,516,8841,312
400,53,680,8784,324
86,4,128,1085,96
560,85,3186,31720,1492
201,66,41,1704,137
74,4,92,2903,188
55,63,99,1145,80
288,64,42,566,219
1121,135,7727,102198,632
8,30,1,23,36
106,20,76,2023,64
379,41,552,7031,135
85,56,132,1518,99
296,62,710,5489,155
338,9,813,6269,156
189,104,168,2701,82
60,96,114,2310,35
52,93,37,1274,26
56,65,51,133,51
162,11,494,9092,371
283,70,501,8950,181
65,4,162,1030,34
1078,79,3285,32677,1294
194,70,43,1858,123
10493,382,660,3479,447
99,54,99,1153,61
67,67,117,636,21
919,151,7777,102776,572
8,36,50,67,68
39,86,103,2177,75
809,120,551,7158,149
47,35,98,1529,79
436,46,730,5550,96
947,80,827,6374,191
133,96,168,2762,133
32,39,112,2380,54
84,115,17,1287,50
77,85,63,133,31
128,42,519,9369,338
292,86,695,9087,288
79,20,67,1119,92
589,44,3328,33291,1667
215,68,60,1846,124
396,22,608,3505,352
25,61,101,1155,33
102,70,123,608,205
981,122,7859,103577,715
113,35,51,52,29
217,18,86,2111,109
640,46,542,7285,104
74,93,132,1633,104
379,45,738,5874,86
1451,20,840,7232,143
137,81,175,2892,104
82,113,123,2468,98
203,106,58,1323,150
86,94,51,135,29
179,40,516,9617,396
309,64,530,9277,256
89,5,187,1072,76
1093,64,3425,34086,1580
214,67,108,2004,124
573,3,667,3561,157
7,54,102,1185,32
30,60,126,595,26
911,184,7884,104037,811
218,31,56,69,85
98,48,114,2256,80
603,142,564,7491,66
58,11,103,1584,74
298,57,835,5996,100
