Recuperados,Fallecidos,UCI,Hospitalizados,CASOS
1239,79,670,6659,91
42,65,219,2531,64
81,84,62,2045,99
140,3,14,948,103
32,91,73,60,71
66,54,514,8347,107
103,51,565,8769,72
63,55,111,883,75
1253,19,2813,28157,665
29,60,46,1607,34
2579,165,447,2822,244
120,63,100,1068,131
147,69,52,579,60
520,56,3762,43602,541
78,53,64,31,69
33,52,63,1977,53
478,96,504,6751,158
47,74,43,1420,52
183,67,695,5299,61
752,91,628,7172,175
42,64,175,2782,120
90,73,68,2450,166
119,14,12,1033,125
15,53,88,61,67
158,36,663,9285,392
233,83,618,9150,309
85,75,122,948,58
1067,155,3239,32342,881
56,38,70,1863,45
745,116,537,3082,92
151,61,109,1140,36
75,60,18,631,22
982,71,5614,69140,893
82,44,68,30,72
72,60,79,2136,67
575,48,526,7274,205
15,78,45,1640,96
233,64,759,5973,193
517,127,610,7185,211
53,91,286,2860,83
125,107,47,2508,160
53,53,21,1058,189
16,10,74,61,73
244,40,707,9487,521
278,110,633,9230,333
30,50,123,948,40
841,175,3305,32837,749
91,38,109,1921,50
904,139,582,3163,81
145,70,114,1268,130
150,4,125,636,27
1070,142,5569,68648,931
78,48,57,58,68
202,56,86,2128,156
376,163,525,7365,238
124,95,100,1693,107
209,80,743,6062,203
410,113,678,7248,245
47,89,165,2940,110
127,105,69,2563,121
230,114,13,982,199
18,48,4,61,63
214,34,688,9504,590
407,132,650,9275,384
25,81,123,948,33
3329,256,3319,33264,1437
204,63,111,1865,66
729,55,554,3071,94
132,70,130,1254,44
115,2,59,648,26
1060,129,5568,68874,883
76,50,82,42,66
51,63,72,2234,134
305,41,583,7443,352
137,14,85,1700,93
224,78,759,6130,363
333,122,744,7375,287
20,73,297,3145,124
124,119,175,2659,109
74,10,27,1120,202
32,96,4,61,76
264,38,728,9793,507
261,139,676,9450,375
34,34,130,951,16
872,255,3390,34872,888
94,90,107,2033,67
761,135,530,3240,115
129,68,176,1266,76
118,10,128,664,86
1116,139,5456,67869,960
81,54,3,89,70
12,6,141,2199,130
389,233,529,7561,358
78,121,107,1776,98
249,77,744,6183,200
706,93,798,7458,257
32,62,164,3188,117
126,95,177,2746,93
114,25,25,1091,189
126,50,73,61,47
182,39,686,9976,503
259,110,696,9602,274
24,86,141,991,24
997,135,3431,35928,1519
124,80,67,1942,49
624,48,570,3102,114
173,68,120,1331,36
94,19,74,664,210
1030,133,5689,68760,973
73,51,57,41,73
17,36,32,2291,96
845,52,565,7695,258
33,12,75,1820,81
274,74,759,6220,262
469,99,821,7516,226
40,70,314,3227,101
124,97,180,2832,158
35,74,22,1158,179
145,15,32,61,202
161,103,722,10201,555
395,99,681,9712,367
104,47,148,999,23
887,288,3483,36318,1021
51,11,56,2125,137
883,138,561,3361,149
125,65,97,1340,38
62,23,128,670,171
953,153,5568,69924,976
72,59,3,91,74
121,12,155,2294,135
416,117,589,7730,298
7,79,110,1841,112
322,78,749,6289,207
