CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,28/04/2020,130.0,5655.0,712.0,23.0,270.0,78,137,9,12,121
AR,28/04/2020,43.0,2345.0,254.0,11.0,184.0,24,80,4,2,113
AS,28/04/2020,12.0,1725.0,133.0,6.0,24.0,4,118,4,2,3
CB,28/04/2020,19.0,973.0,78.0,3.0,97.0,8,101,88,1,67
CE,28/04/2020,0.0,10.0,4.0,0.0,5.0,9,890,170,2,23
CL,28/04/2020,208.0,7470.0,509.0,30.0,96.0,197,6470,431,28,47
CM,28/04/2020,134.0,8336.0,558.0,43.0,163.0,92,128,26,12,139
CN,28/04/2020,12.0,866.0,169.0,3.0,39.0,173,6911,353,17,12
CT,28/04/2020,790.0,24690.0,2583.0,88.0,675.0,387,1540,167,21,253
EX,28/04/2020,7.0,1420.0,107.0,6.0,109.0,7,1410,103,6,106
GA,28/04/2020,98.0,2706.0,91.0,8.0,23.0,74,2340,568,3,83
IB,28/04/2020,14.0,1033.0,166.0,3.0,14.0,12,472,59,2,67
MC,28/04/2020,5.0,624.0,105.0,2.0,60.0,85,2134,32,5,35
MD,28/04/2020,483.0,23597.0,2269.0,78.0,439.0,97,16037,1069,16,163
ML,28/04/2020,1.0,44.0,3.0,0.0,8.0,3,0,0,0,3
NC,28/04/2020,45.0,1916.0,129.0,6.0,119.0,44,1287,23,4,4
PV,28/04/2020,101.0,6341.0,523.0,17.0,404.0,75,4396,393,17,344
RI,28/04/2020,29.0,1349.0,83.0,6.0,26.0,22,5133,456,8,108
VC,28/04/2020,58.0,4959.0,652.0,12.0,228.0,53,3559,565,6,213
AN,29/04/2020,130.0,5668.0,713.0,26.0,270.0,48,163,9,6,37
AR,29/04/2020,43.0,2352.0,254.0,11.0,185.0,5,102,4,10,77
AS,29/04/2020,10.0,1738.0,133.0,6.0,24.0,7,148,4,1,5
CB,29/04/2020,19.0,976.0,78.0,3.0,99.0,10,103,88,1,69
CE,29/04/2020,0.0,10.0,4.0,0.0,6.0,15,896,171,1,26
CL,29/04/2020,208.0,7498.0,510.0,30.0,104.0,177,6492,431,27,22
CM,29/04/2020,136.0,8347.0,559.0,43.0,158.0,57,176,29,3,82
CN,29/04/2020,12.0,868.0,169.0,3.0,34.0,89,6986,355,23,91
CT,29/04/2020,748.0,24715.0,2591.0,88.0,684.0,252,1831,177,9,57
EX,29/04/2020,7.0,1426.0,107.0,6.0,109.0,6,1416,103,6,105
GA,29/04/2020,96.0,2710.0,90.0,8.0,24.0,64,2362,572,10,152
IB,29/04/2020,14.0,1036.0,166.0,3.0,19.0,1,490,59,4,45
MC,29/04/2020,5.0,624.0,105.0,2.0,54.0,5,2112,203,133,3498
MD,29/04/2020,464.0,23560.0,2268.0,77.0,440.0,2,16290,1087,20,33
ML,29/04/2020,1.0,44.0,3.0,0.0,8.0,1,0,0,0,5
NC,29/04/2020,44.0,1920.0,129.0,8.0,119.0,39,1285,23,8,79
PV,29/04/2020,104.0,6349.0,524.0,17.0,425.0,69,4398,394,1,321
RI,29/04/2020,31.0,1353.0,83.0,5.0,26.0,24,5169,457,14,474
VC,29/04/2020,60.0,4964.0,652.0,13.0,263.0,47,3551,565,9,236
AN,30/04/2020,126.0,5713.0,715.0,24.0,270.0,86,160,6,5,168
AR,30/04/2020,42.0,2375.0,255.0,11.0,94.0,7,102,3,8,8
AS,30/04/2020,8.0,1762.0,133.0,6.0,24.0,9,153,4,1,2
CB,30/04/2020,23.0,985.0,78.0,3.0,100.0,19,97,89,0,77
CE,30/04/2020,0.0,10.0,4.0,0.0,8.0,3,899,171,1,16
CL,30/04/2020,215.0,7580.0,512.0,28.0,103.0,188,6573,433,28,8
CM,30/04/2020,148.0,8382.0,563.0,43.0,182.0,101,185,29,16,52
CN,30/04/2020,15.0,873.0,170.0,4.0,33.0,180,7084,358,12,88
CT,30/04/2020,758.0,24831.0,2619.0,86.0,689.0,496,1932,165,16,134
EX,30/04/2020,8.0,1452.0,107.0,5.0,108.0,8,1442,103,5,96
GA,30/04/2020,91.0,2724.0,87.0,8.0,26.0,4,2372,576,10,261
IB,30/04/2020,14.0,1049.0,166.0,3.0,26.0,7,501,58,3,64
MC,30/04/2020,3.0,626.0,105.0,1.0,48.0,19,2121,205,1,132
MD,30/04/2020,427.0,23472.0,2262.0,76.0,427.0,88,16604,1115,5,34
ML,30/04/2020,1.0,44.0,3.0,0.0,8.0,1,0,0,0,7
