CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,23/04/2020,120.0,5523.0,692.0,28.0,181.0,12,152,22,0,36
AR,23/04/2020,67.0,2273.0,251.0,14.0,232.0,33,86,3,0,131
AS,23/04/2020,25.0,1633.0,125.0,7.0,24.0,21,95,6,1,1
CB,23/04/2020,20.0,945.0,78.0,4.0,63.0,12,33,0,1,0
CE,23/04/2020,0.0,9.0,4.0,0.0,4.0,0,1,0,0,4
CL,23/04/2020,177.0,7148.0,500.0,32.0,159.0,5,358,10,2,7
CM,23/04/2020,219.0,8191.0,531.0,60.0,126.0,18,151,22,7,79
CN,23/04/2020,14.0,835.0,164.0,2.0,59.0,13,33,5,5,11
CT,23/04/2020,848.0,22927.0,2437.0,111.0,698.0,196,1203,132,61,37
EX,23/04/2020,17.0,1326.0,107.0,8.0,109.0,14,87,0,4,12
GA,23/04/2020,139.0,2642.0,102.0,9.0,40.0,12,65,15,2,14
IB,23/04/2020,22.0,990.0,163.0,3.0,13.0,8,50,3,1,21
MC,23/04/2020,7.0,616.0,103.0,2.0,45.0,1,9,2,1,20
MD,23/04/2020,666.0,7810.0,1074.0,115.0,736.0,243,1209,125,34,169
ML,23/04/2020,0.0,44.0,3.0,0.0,4.0,1,0,0,0,2
NC,23/04/2020,50.0,1877.0,128.0,28.0,103.0,46,38,1,20,4
PV,23/04/2020,111.0,6149.0,507.0,24.0,317.0,1,166,11,2,6
RI,23/04/2020,20.0,1299.0,81.0,6.0,38.0,29,45,1,2,11
VC,23/04/2020,64.0,4864.0,647.0,17.0,250.0,6,81,4,6,171
AN,24/04/2020,121.0,5506.0,691.0,27.0,169.0,42,209,26,3,134
AR,24/04/2020,65.0,2266.0,250.0,14.0,231.0,10,106,5,0,83
AS,24/04/2020,25.0,1620.0,125.0,7.0,22.0,12,140,7,1,6
CB,24/04/2020,19.0,941.0,78.0,4.0,60.0,3,41,0,0,73
CE,24/04/2020,0.0,9.0,4.0,0.0,5.0,0,1,0,0,9
CL,24/04/2020,157.0,7103.0,499.0,32.0,155.0,141,452,12,5,65
CM,24/04/2020,200.0,8196.0,531.0,60.0,123.0,56,189,28,23,29
CN,24/04/2020,14.0,832.0,163.0,2.0,45.0,1,46,8,0,26
CT,24/04/2020,821.0,22795.0,2427.0,97.0,639.0,104,1335,149,8,24
EX,24/04/2020,20.0,1316.0,107.0,7.0,107.0,20,131,0,2,45
GA,24/04/2020,127.0,2632.0,103.0,8.0,36.0,57,90,13,2,17
IB,24/04/2020,20.0,980.0,163.0,4.0,14.0,6,78,3,2,7
MC,24/04/2020,7.0,616.0,103.0,2.0,45.0,7,9,2,1,6
MD,24/04/2020,623.0,7863.0,1078.0,114.0,722.0,114,1680,186,31,32
ML,24/04/2020,0.0,44.0,3.0,0.0,5.0,1,0,0,0,11
NC,24/04/2020,51.0,1870.0,128.0,28.0,106.0,5,67,1,16,79
PV,24/04/2020,101.0,6141.0,505.0,24.0,307.0,61,234,20,5,175
RI,24/04/2020,20.0,1295.0,80.0,6.0,36.0,11,65,3,2,1
VC,24/04/2020,64.0,4840.0,646.0,16.0,240.0,63,138,7,9,16
AN,25/04/2020,129.0,5513.0,689.0,25.0,168.0,61,234,27,11,278
AR,25/04/2020,54.0,2270.0,251.0,14.0,232.0,21,125,6,11,201
AS,25/04/2020,24.0,1625.0,125.0,8.0,19.0,22,165,9,2,14
CB,25/04/2020,16.0,942.0,78.0,3.0,50.0,4,49,0,2,31
CE,25/04/2020,0.0,9.0,4.0,0.0,6.0,0,1,0,0,0
CL,25/04/2020,156.0,7125.0,499.0,32.0,133.0,76,528,16,5,42
CM,25/04/2020,130.0,8189.0,530.0,59.0,120.0,30,228,35,21,200
CN,25/04/2020,14.0,833.0,163.0,1.0,18.0,2,47,8,0,6
