CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,20/04/2020,146.0,5292.0,673.0,29.0,204.0,19.0,66.0,2.0,18.0,206.0
AR,20/04/2020,64.0,2141.0,269.0,32.0,36.0,9.0,33.0,22.0,3.0,39.0
AS,20/04/2020,35.0,1491.0,117.0,8.0,28.0,13.0,59.0,1.0,6.0,7.0
CB,20/04/2020,42.0,900.0,77.0,4.0,61.0,11.0,28.0,75.0,2.0,24.0
CE,20/04/2020,1.0,9.0,4.0,0.0,8.0,12.0,793.0,152.0,3.0,43.0
CL,20/04/2020,196.0,6734.0,470.0,31.0,171.0,174.0,5844.0,393.0,26.0,92.0
CM,20/04/2020,187.0,8034.0,508.0,52.0,359.0,284.0,47.0,5.0,11.0,21.0
CN,20/04/2020,17.0,813.0,158.0,5.0,94.0,666.0,5636.0,149.0,30.0,110.0
CT,20/04/2020,854.0,21361.0,2301.0,95.0,505.0,5.0,808.0,49.0,70.0,24.0
EX,20/04/2020,17.0,1222.0,107.0,13.0,53.0,17.0,1213.0,103.0,13.0,42.0
GA,20/04/2020,97.0,2523.0,119.0,8.0,63.0,94.0,2001.0,506.0,19.0,279.0
IB,20/04/2020,36.0,911.0,155.0,8.0,26.0,36.0,275.0,48.0,9.0,8.0
MC,20/04/2020,4.0,594.0,100.0,3.0,91.0,161.0,1900.0,23.0,8.0,6.0
MD,20/04/2020,847.0,9085.0,1154.0,122.0,953.0,46.0,568.0,52.0,31.0,105.0
ML,20/04/2020,0.0,44.0,3.0,0.0,10.0,1.0,1.0,0.0,0.0,7.0
NC,20/04/2020,48.0,1801.0,127.0,38.0,41.0,32.0,1226.0,30.0,36.0,38.0
PV,20/04/2020,106.0,5939.0,489.0,40.0,362.0,4.0,4187.0,365.0,31.0,325.0
RI,20/04/2020,40.0,1230.0,77.0,9.0,65.0,149.0,4633.0,401.0,45.0,320.0
VC,20/04/2020,81.0,4638.0,630.0,29.0,290.0,1.0,3431.0,555.0,18.0,221.0
AN,21/04/2020,146.0,5292.0,673.0,29.0,204.0,67.0,6.0,2.0,1.0,48.0
AR,21/04/2020,64.0,2141.0,269.0,32.0,36.0,14.0,10.0,29.0,13.0,2.0
AS,21/04/2020,35.0,1491.0,117.0,8.0,28.0,15.0,17.0,1.0,2.0,5.0
CB,21/04/2020,42.0,900.0,77.0,4.0,61.0,11.0,5.0,75.0,1.0,41.0
CE,21/04/2020,1.0,9.0,4.0,0.0,8.0,20.0,802.0,155.0,4.0,49.0
CL,21/04/2020,196.0,6734.0,470.0,31.0,171.0,157.0,5831.0,392.0,24.0,103.0
CM,21/04/2020,187.0,8034.0,508.0,52.0,359.0,659.0,16.0,3.0,4.0,137.0
CN,21/04/2020,17.0,813.0,158.0,5.0,94.0,506.0,5705.0,139.0,24.0,105.0
CT,21/04/2020,854.0,21361.0,2301.0,95.0,505.0,108.0,119.0,4.0,39.0,321.0
EX,21/04/2020,17.0,1222.0,107.0,13.0,53.0,17.0,1213.0,103.0,13.0,50.0
GA,21/04/2020,97.0,2523.0,119.0,8.0,63.0,97.0,2082.0,513.0,19.0,259.0
IB,21/04/2020,36.0,911.0,155.0,8.0,26.0,39.0,301.0,48.0,5.0,32.0
MC,21/04/2020,4.0,594.0,100.0,3.0,91.0,136.0,1941.0,17.0,7.0,18.0
MD,21/04/2020,847.0,9085.0,1154.0,122.0,953.0,13.0,56.0,0.0,8.0,8.0
ML,21/04/2020,0.0,44.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,7.0
NC,21/04/2020,48.0,1801.0,127.0,38.0,41.0,40.0,1216.0,28.0,37.0,12.0
PV,21/04/2020,106.0,5939.0,489.0,40.0,362.0,21.0,4158.0,365.0,37.0,315.0
RI,21/04/2020,40.0,1230.0,77.0,9.0,65.0,160.0,4709.0,407.0,27.0,266.0
VC,21/04/2020,81.0,4638.0,630.0,29.0,290.0,73.0,3412.0,554.0,24.0,215.0
AN,22/04/2020,151.0,5321.0,677.0,34.0,291.0,51.0,20.0,0.0,7.0,133.0
AR,22/04/2020,67.0,2160.0,267.0,32.0,50.0,5.0,20.0,24.0,7.0,50.0
AS,22/04/2020,17.0,1505.0,118.0,8.0,30.0,5.0,15.0,1.0,5.0,0.0
CB,22/04/2020,42.0,906.0,78.0,5.0,67.0,14.0,31.0,79.0,9.0,47.0
CE,22/04/2020,0.0,9.0,4.0,0.0,8.0,26.0,813.0,156.0,4.0,47.0
CL,22/04/2020,198.0,6752.0,470.0,31.0,186.0,92.0,5841.0,392.0,26.0,162.0
CM,22/04/2020,233.0,8053.0,510.0,51.0,300.0,119.0,40.0,4.0,10.0,62.0
CN,22/04/2020,17.0,815.0,159.0,4.0,70.0,373.0,6016.0,336.0,24.0,109.0
CT,22/04/2020,1018.0,21526.0,2322.0,108.0,623.0,609.0,487.0,27.0,19.0,135.0
EX,22/04/2020,16.0,1227.0,107.0,13.0,44.0,14.0,1218.0,103.0,13.0,35.0
GA,22/04/2020,105.0,2535.0,117.0,12.0,74.0,7.0,2173.0,519.0,31.0,208.0
IB,22/04/2020,40.0,914.0,155.0,8.0,31.0,33.0,326.0,48.0,0.0,2.0
MC,22/04/2020,4.0,595.0,100.0,2.0,51.0,67.0,1959.0,15.0,12.0,0.0
MD,22/04/2020,854.0,8940.0,1146.0,122.0,988.0,49.0,343.0,52.0,3.0,51.0
ML,22/04/2020,0.0,44.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
NC,22/04/2020,56.0,1805.0,127.0,38.0,42.0,50.0,1194.0,25.0,35.0,51.0
PV,22/04/2020,125.0,5964.0,489.0,48.0,391.0,125.0,4135.0,362.0,32.0,329.0
RI,22/04/2020,41.0,1235.0,77.0,9.0,69.0,109.0,4795.0,413.0,19.0,343.0
VC,22/04/2020,80.0,4650.0,633.0,29.0,312.0,44.0,3401.0,555.0,19.0,264.0
AN,23/04/2020,140.0,5333.0,678.0,29.0,204.0,24.0,91.0,9.0,3.0,36.0
AR,23/04/2020,68.0,2169.0,250.0,28.0,46.0,11.0,47.0,4.0,10.0,8.0
AS,23/04/2020,26.0,1511.0,118.0,10.0,26.0,14.0,60.0,2.0,1.0,5.0
CB,23/04/2020,42.0,909.0,78.0,5.0,66.0,26.0,46.0,82.0,2.0,31.0
