CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,26/04/2020,130.0,5651.0,712.0,23.0,216.0,54,116,8,11,67
AR,26/04/2020,49.0,2331.0,252.0,16.0,119.0,19,72,5,2,69
AS,26/04/2020,10.0,1714.0,129.0,7.0,10.0,8,100,8,3,0
CB,26/04/2020,18.0,967.0,78.0,4.0,103.0,3,28,0,1,11
CE,26/04/2020,0.0,10.0,4.0,0.0,13.0,0,0,0,0,10
CL,26/04/2020,243.0,7431.0,508.0,30.0,106.0,61,272,10,6,42
CM,26/04/2020,154.0,8322.0,551.0,47.0,138.0,99,122,28,12,52
CN,26/04/2020,18.0,868.0,169.0,3.0,19.0,7,13,2,3,19
CT,26/04/2020,915.0,23613.0,2552.0,84.0,410.0,29,2186,172,49,481
EX,26/04/2020,8.0,1411.0,107.0,5.0,142.0,5,79,0,1,72
GA,26/04/2020,148.0,2693.0,94.0,7.0,32.0,86,53,11,4,19
IB,26/04/2020,17.0,1026.0,164.0,3.0,24.0,12,36,2,1,11
MC,26/04/2020,2.0,622.0,104.0,1.0,38.0,2,5,2,0,32
MD,26/04/2020,323.0,6625.0,944.0,90.0,593.0,191,32847,2365,26,395
ML,26/04/2020,0.0,44.0,3.0,0.0,12.0,0,0,0,0,6
NC,26/04/2020,39.0,1908.0,129.0,14.0,159.0,18,34,1,13,76
PV,26/04/2020,109.0,6318.0,516.0,21.0,317.0,51,139,22,10,79
RI,26/04/2020,35.0,1336.0,82.0,6.0,26.0,4,56,3,1,14
VC,26/04/2020,103.0,4916.0,650.0,19.0,152.0,83,116,6,16,78
AN,27/04/2020,140.0,5649.0,710.0,30.0,239.0,88,143,11,19,90
AR,27/04/2020,67.0,2338.0,255.0,17.0,234.0,48,87,3,8,163
AS,27/04/2020,17.0,1715.0,130.0,9.0,26.0,9,128,7,1,5
CB,27/04/2020,18.0,969.0,78.0,5.0,113.0,7,31,0,3,64
CE,27/04/2020,0.0,10.0,4.0,0.0,9.0,0,0,0,0,6
CL,27/04/2020,291.0,7432.0,507.0,30.0,154.0,106,345,15,10,103
CM,27/04/2020,167.0,8307.0,549.0,47.0,112.0,125,157,35,16,88
CN,27/04/2020,16.0,864.0,169.0,4.0,36.0,7,36,5,2,8
CT,27/04/2020,839.0,23784.0,2544.0,124.0,730.0,436,2446,206,15,308
EX,27/04/2020,7.0,1407.0,107.0,6.0,150.0,5,98,0,1,69
GA,27/04/2020,167.0,2692.0,91.0,7.0,49.0,77,66,18,0,24
IB,27/04/2020,24.0,1032.0,166.0,4.0,19.0,13,42,0,2,11
MC,27/04/2020,6.0,623.0,104.0,2.0,49.0,5,6,2,0,74
MD,27/04/2020,621.0,6700.0,956.0,91.0,658.0,41,32934,2382,29,382
ML,27/04/2020,1.0,44.0,3.0,0.0,11.0,3,0,0,0,6
NC,27/04/2020,32.0,1916.0,129.0,6.0,153.0,6,29,1,6,93
PV,27/04/2020,136.0,6299.0,519.0,28.0,423.0,85,183,20,14,289
RI,27/04/2020,34.0,1340.0,82.0,4.0,32.0,29,60,5,2,17
VC,27/04/2020,105.0,4926.0,648.0,23.0,339.0,81,120,11,12,233
AN,28/04/2020,140.0,5649.0,710.0,30.0,239.0,58,182,12,10,6
AR,28/04/2020,67.0,2338.0,255.0,17.0,234.0,29,116,3,16,126
AS,28/04/2020,17.0,1715.0,130.0,9.0,26.0,0,171,7,4,3
CB,28/04/2020,18.0,969.0,78.0,5.0,113.0,13,37,1,2,31
CE,28/04/2020,0.0,10.0,4.0,0.0,9.0,1,0,0,0,5
CL,28/04/2020,291.0,7432.0,507.0,30.0,154.0,190,422,17,4,29
CM,28/04/2020,167.0,8307.0,549.0,47.0,112.0,88,216,39,7,36
CN,28/04/2020,16.0,864.0,169.0,4.0,36.0,1,42,6,3,4
CT,28/04/2020,839.0,23784.0,2544.0,124.0,730.0,343,2762,224,27,11
EX,28/04/2020,7.0,1407.0,107.0,6.0,150.0,6,119,0,1,86
GA,28/04/2020,167.0,2692.0,91.0,7.0,49.0,167,44,217,128,3503
IB,28/04/2020,24.0,1032.0,166.0,4.0,19.0,15,47,0,0,11
MC,28/04/2020,6.0,623.0,104.0,2.0,49.0,1,12,2,2,9
MD,28/04/2020,621.0,6700.0,956.0,91.0,658.0,155,33150,2399,34,185
ML,28/04/2020,1.0,44.0,3.0,0.0,11.0,1,0,0,0,8
