CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,18/04/2020,157.0,5189.0,665.0,43.0,238.0,7,235,22,17,70
AR,18/04/2020,93.0,2105.0,255.0,22.0,48.0,36,111,9,4,6
AS,18/04/2020,45.0,1386.0,115.0,8.0,23.0,33,185,5,1,2
CB,18/04/2020,36.0,870.0,77.0,6.0,62.0,36,54,1,2,14
CE,18/04/2020,0.0,9.0,4.0,0.0,4.0,0,0,0,0,2
CL,18/04/2020,566.0,6343.0,306.0,33.0,210.0,566,638,192,4,51
CM,18/04/2020,583.0,7731.0,502.0,53.0,245.0,583,406,16,3,120
CN,18/04/2020,20.0,801.0,156.0,1.0,42.0,8,24,6,3,38
CT,18/04/2020,964.0,20735.0,2241.0,135.0,640.0,459,1500,154,81,224
EX,18/04/2020,94.0,1187.0,106.0,12.0,36.0,84,91,1,8,5
GA,18/04/2020,153.0,2460.0,122.0,12.0,72.0,52,130,10,0,43
IB,18/04/2020,28.0,880.0,150.0,8.0,54.0,12,75,10,1,19
MC,18/04/2020,4.0,576.0,97.0,2.0,50.0,4,36,5,1,36
MD,18/04/2020,687.0,9672.0,1182.0,161.0,1004.0,203,1381,59,54,166
ML,18/04/2020,1.0,44.0,3.0,0.0,3.0,1,0,0,0,11
NC,18/04/2020,112.0,1752.0,124.0,53.0,48.0,48,91,3,38,10
PV,18/04/2020,298.0,5814.0,477.0,40.0,221.0,120,272,22,2,195
RI,18/04/2020,32.0,1194.0,75.0,8.0,79.0,21,74,4,3,40
VC,18/04/2020,90.0,4451.0,623.0,25.0,321.0,17,330,20,2,80
AN,19/04/2020,157.0,5189.0,665.0,43.0,238.0,63,284,25,23,125
AR,19/04/2020,93.0,2105.0,255.0,22.0,48.0,47,139,7,4,45
AS,19/04/2020,45.0,1386.0,115.0,8.0,23.0,36,213,7,4,20
CB,19/04/2020,36.0,870.0,77.0,6.0,62.0,12,64,1,1,46
CE,19/04/2020,0.0,9.0,4.0,0.0,4.0,0,0,0,0,11
CL,19/04/2020,566.0,6343.0,306.0,33.0,210.0,429,737,195,2,106
CM,19/04/2020,583.0,7731.0,502.0,53.0,245.0,446,442,29,5,30
CN,19/04/2020,20.0,801.0,156.0,1.0,42.0,0,25,7,1,18
CT,19/04/2020,964.0,20735.0,2241.0,135.0,640.0,264,1640,168,59,397
EX,19/04/2020,94.0,1187.0,106.0,12.0,36.0,75,119,1,7,55
GA,19/04/2020,153.0,2460.0,122.0,12.0,72.0,39,149,14,6,60
IB,19/04/2020,28.0,880.0,150.0,8.0,54.0,19,83,11,6,42
MC,19/04/2020,4.0,576.0,97.0,2.0,50.0,2,36,6,1,40
MD,19/04/2020,687.0,9672.0,1182.0,161.0,1004.0,481,1481,71,49,555
ML,19/04/2020,1.0,44.0,3.0,0.0,3.0,1,0,0,0,1
NC,19/04/2020,112.0,1752.0,124.0,53.0,48.0,76,104,4,37,83
PV,19/04/2020,298.0,5814.0,477.0,40.0,221.0,240,295,24,21,69
RI,19/04/2020,32.0,1194.0,75.0,8.0,79.0,4,88,4,0,62
VC,19/04/2020,90.0,4451.0,623.0,25.0,321.0,39,376,23,11,239
AN,20/04/2020,109.0,5175.0,664.0,29.0,236.0,1,334,28,25,54
AR,20/04/2020,74.0,2094.0,258.0,25.0,21.0,44,177,8,19,17
AS,20/04/2020,47.0,1402.0,115.0,6.0,27.0,37,224,7,4,10
CB,20/04/2020,23.0,879.0,77.0,9.0,64.0,2,69,1,2,44
CE,20/04/2020,1.0,9.0,4.0,0.0,7.0,1,0,0,0,7
CL,20/04/2020,586.0,6366.0,304.0,33.0,141.0,416,808,199,5,78
CM,20/04/2020,586.0,7909.0,496.0,56.0,335.0,375,290,38,2,271
CN,20/04/2020,20.0,797.0,155.0,4.0,94.0,2,40,9,3,29
CT,20/04/2020,709.0,20591.0,2226.0,184.0,778.0,727,2205,211,41,266
EX,20/04/2020,29.0,1171.0,107.0,17.0,56.0,29,156,0,9,7
GA,20/04/2020,124.0,2464.0,123.0,8.0,70.0,45,188,22,0,30
IB,20/04/2020,30.0,873.0,150.0,3.0,14.0,12,113,11,1,14
MC,20/04/2020,3.0,575.0,97.0,4.0,86.0,2,39,7,1,46
MD,20/04/2020,979.0,9748.0,1210.0,148.0,954.0,372,1818,134,39,439
ML,20/04/2020,1.0,43.0,3.0,0.0,3.0,0,1,0,0,3
NC,20/04/2020,86.0,1746.0,124.0,54.0,54.0,60,131,4,42,13
PV,20/04/2020,244.0,5816.0,475.0,40.0,254.0,190,325,32,18,101
RI,20/04/2020,38.0,1195.0,75.0,9.0,56.0,18,102,6,0,23
VC,20/04/2020,59.0,4500.0,621.0,33.0,294.0,17,366,27,23,204
AN,21/04/2020,126.0,5188.0,666.0,35.0,262.0,5,377,30,2,104
AR,21/04/2020,80.0,2097.0,258.0,25.0,48.0,3,207,6,12,300
AS,21/04/2020,31.0,1413.0,115.0,6.0,30.0,17,252,13,3,4
CB,21/04/2020,27.0,882.0,77.0,9.0,67.0,13,74,1,7,5
CE,21/04/2020,1.0,9.0,4.0,0.0,7.0,1,0,0,0,4
