CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,21/04/2020,120.0,5287.0,674.0,26.0,141.0,45.0,61.0,3.0,21.0,269.0
AR,21/04/2020,65.0,2134.0,262.0,28.0,23.0,8.0,26.0,29.0,1.0,52.0
AS,21/04/2020,37.0,1475.0,117.0,9.0,23.0,11.0,43.0,1.0,7.0,12.0
CB,21/04/2020,29.0,895.0,77.0,8.0,45.0,2.0,23.0,75.0,2.0,8.0
CE,21/04/2020,1.0,9.0,4.0,0.0,10.0,12.0,793.0,152.0,3.0,41.0
CL,21/04/2020,189.0,6680.0,477.0,34.0,152.0,167.0,5790.0,400.0,29.0,73.0
CM,21/04/2020,233.0,8002.0,507.0,52.0,179.0,238.0,15.0,4.0,11.0,201.0
CN,21/04/2020,20.0,805.0,159.0,2.0,56.0,663.0,5644.0,148.0,33.0,148.0
CT,21/04/2020,1230.0,21286.0,2296.0,174.0,819.0,381.0,733.0,44.0,9.0,338.0
EX,21/04/2020,40.0,1223.0,106.0,9.0,62.0,40.0,1214.0,102.0,9.0,51.0
GA,21/04/2020,108.0,2518.0,119.0,8.0,54.0,83.0,2006.0,506.0,19.0,288.0
IB,21/04/2020,30.0,917.0,154.0,6.0,12.0,30.0,269.0,47.0,11.0,22.0
MC,21/04/2020,4.0,595.0,100.0,2.0,66.0,161.0,1899.0,23.0,9.0,19.0
MD,21/04/2020,914.0,9282.0,1164.0,140.0,896.0,21.0,371.0,42.0,13.0,162.0
ML,21/04/2020,1.0,44.0,3.0,0.0,7.0,0.0,1.0,0.0,0.0,4.0
NC,21/04/2020,44.0,1797.0,127.0,35.0,94.0,28.0,1222.0,30.0,33.0,91.0
PV,21/04/2020,103.0,5900.0,487.0,28.0,305.0,1.0,4148.0,363.0,19.0,268.0
RI,21/04/2020,34.0,1227.0,77.0,9.0,37.0,155.0,4636.0,401.0,45.0,348.0
VC,21/04/2020,66.0,4626.0,630.0,34.0,253.0,16.0,3419.0,555.0,23.0,184.0
AN,22/04/2020,119.0,5306.0,677.0,26.0,159.0,40.0,8.0,2.0,2.0,3.0
AR,22/04/2020,66.0,2141.0,259.0,28.0,25.0,12.0,10.0,19.0,9.0,9.0
AS,22/04/2020,32.0,1486.0,117.0,9.0,23.0,12.0,12.0,1.0,3.0,0.0
CB,22/04/2020,32.0,900.0,78.0,8.0,49.0,1.0,5.0,74.0,5.0,29.0
CE,22/04/2020,1.0,9.0,4.0,0.0,11.0,20.0,802.0,155.0,4.0,46.0
CL,22/04/2020,189.0,6691.0,477.0,33.0,156.0,150.0,5788.0,399.0,26.0,88.0
CM,22/04/2020,244.0,8021.0,511.0,51.0,131.0,602.0,3.0,0.0,5.0,91.0
CN,22/04/2020,18.0,807.0,159.0,2.0,44.0,505.0,5711.0,138.0,27.0,155.0
CT,22/04/2020,1259.0,21396.0,2306.0,175.0,850.0,297.0,154.0,1.0,41.0,24.0
EX,22/04/2020,45.0,1234.0,107.0,7.0,61.0,45.0,1225.0,103.0,7.0,58.0
GA,22/04/2020,109.0,2535.0,118.0,9.0,55.0,109.0,2070.0,514.0,18.0,267.0
