CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,16/04/2020,202.0,5074.0,644.0,34.0,188.0,37.0,152.0,27.0,13.0,222.0
AR,16/04/2020,96.0,1972.0,278.0,24.0,47.0,23.0,136.0,13.0,5.0,28.0
AS,16/04/2020,60.0,1332.0,111.0,10.0,28.0,12.0,100.0,5.0,8.0,7.0
CB,16/04/2020,27.0,852.0,76.0,9.0,37.0,4.0,20.0,76.0,3.0,0.0
CE,16/04/2020,3.0,9.0,4.0,0.0,6.0,10.0,793.0,152.0,3.0,45.0
CL,16/04/2020,539.0,6178.0,309.0,39.0,232.0,517.0,5288.0,232.0,34.0,153.0
CM,16/04/2020,352.0,7487.0,466.0,62.0,183.0,119.0,500.0,37.0,21.0,197.0
CN,16/04/2020,21.0,771.0,148.0,2.0,44.0,662.0,5678.0,159.0,33.0,160.0
CT,16/04/2020,990.0,19641.0,2132.0,182.0,840.0,141.0,912.0,120.0,17.0,359.0
EX,16/04/2020,70.0,1127.0,106.0,8.0,35.0,70.0,1118.0,102.0,8.0,24.0
GA,16/04/2020,125.0,2403.0,132.0,9.0,65.0,66.0,2121.0,493.0,18.0,277.0
IB,16/04/2020,34.0,833.0,146.0,7.0,17.0,34.0,353.0,39.0,10.0,17.0
MC,16/04/2020,30.0,559.0,95.0,3.0,48.0,135.0,1935.0,28.0,8.0,37.0
MD,16/04/2020,978.0,10661.0,1282.0,158.0,1155.0,85.0,1008.0,76.0,5.0,97.0
ML,16/04/2020,1.0,43.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
NC,16/04/2020,110.0,1706.0,124.0,4.0,71.0,94.0,1131.0,27.0,2.0,68.0
PV,16/04/2020,249.0,5667.0,468.0,39.0,204.0,147.0,3915.0,344.0,30.0,167.0
RI,16/04/2020,46.0,1159.0,74.0,11.0,73.0,143.0,4704.0,404.0,43.0,312.0
VC,16/04/2020,233.0,4393.0,581.0,35.0,288.0,151.0,3186.0,506.0,24.0,219.0
AN,17/04/2020,198.0,5049.0,644.0,35.0,199.0,119.0,249.0,31.0,7.0,43.0
AR,17/04/2020,96.0,1956.0,277.0,23.0,46.0,18.0,195.0,37.0,4.0,12.0
AS,17/04/2020,61.0,1312.0,111.0,10.0,26.0,41.0,162.0,7.0,4.0,3.0
CB,17/04/2020,27.0,843.0,75.0,9.0,34.0,4.0,62.0,77.0,6.0,14.0
