CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,20/04/2020,120.0,5366.0,677.0,27.0,260,12,143,15,23,78
AR,20/04/2020,60.0,2173.0,239.0,23.0,62,30,98,11,17,58
AS,20/04/2020,16.0,1550.0,119.0,7.0,54,6,76,3,5,37
CB,20/04/2020,66.0,913.0,78.0,5.0,104,41,35,0,2,84
CE,20/04/2020,0.0,8.0,4.0,0.0,29,0,1,0,0,29
CL,20/04/2020,173.0,7030.0,418.0,32.0,231,3,144,85,4,168
CM,20/04/2020,324.0,8080.0,516.0,54.0,466,113,119,18,0,402
CN,20/04/2020,22.0,824.0,161.0,2.0,124,4,13,3,1,59
CT,20/04/2020,1391.0,22000.0,2365.0,128.0,876,45,796,72,15,364
EX,20/04/2020,38.0,1250.0,100.0,8.0,108,38,77,7,0,45
GA,20/04/2020,112.0,2589.0,114.0,10.0,107,57,63,13,2,67
IB,20/04/2020,28.0,951.0,159.0,4.0,62,10,35,2,0,62
MC,20/04/2020,5.0,594.0,97.0,1.0,131,0,20,7,2,91
MD,20/04/2020,417.0,8481.0,1105.0,119.0,1127,190,551,29,10,612
ML,20/04/2020,0.0,43.0,3.0,0.0,39,1,1,0,0,39
NC,20/04/2020,42.0,1743.0,127.0,20.0,137,16,134,1,8,70
PV,20/04/2020,113.0,5676.0,467.0,24.0,453,59,465,40,2,300
RI,20/04/2020,41.0,1268.0,78.0,7.0,106,21,29,3,2,73
VC,20/04/2020,61.0,4787.0,632.0,21.0,341,19,79,16,11,251
AN,21/04/2020,142.0,5349.0,676.0,24.0,283,11,216,20,9,125
AR,21/04/2020,82.0,2161.0,251.0,19.0,106,5,143,1,6,242
AS,21/04/2020,22.0,1448.0,118.0,7.0,53,8,217,10,2,27
CB,21/04/2020,64.0,917.0,76.0,5.0,120,50,39,2,3,48
CE,21/04/2020,0.0,8.0,4.0,0.0,62,0,1,0,0,59
CL,21/04/2020,266.0,6976.0,474.0,31.0,317,76,288,31,2,132
CM,21/04/2020,302.0,8099.0,519.0,54.0,439,185,144,18,11,344
CN,21/04/2020,21.0,824.0,157.0,2.0,124,12,17,7,1,75
CT,21/04/2020,1099.0,22093.0,2367.0,107.0,606,409,1202,93,12,37
EX,21/04/2020,43.0,1250.0,98.0,7.0,100,43,99,9,0,30
GA,21/04/2020,112.0,2589.0,114.0,10.0,104,54,85,18,2,67
IB,21/04/2020,22.0,949.0,158.0,5.0,67,1,56,8,2,55
MC,21/04/2020,5.0,589.0,92.0,1.0,115,5,33,12,2,56
MD,21/04/2020,376.0,8498.0,1106.0,119.0,1137,213,1034,82,2,382
ML,21/04/2020,1.0,42.0,3.0,0.0,34,1,2,0,0,30
NC,21/04/2020,53.0,1724.0,127.0,20.0,155,3,170,1,16,29
PV,21/04/2020,121.0,5671.0,461.0,28.0,441,10,530,52,7,67
RI,21/04/2020,44.0,1268.0,78.0,7.0,103,24,50,3,3,70
VC,21/04/2020,80.0,4760.0,635.0,25.0,331,5,136,14,8,39
AN,22/04/2020,147.0,5352.0,644.0,33.0,337,14,264,58,4,59
AR,22/04/2020,87.0,2081.0,252.0,19.0,72,15,259,1,6,78
AS,22/04/2020,18.0,1445.0,117.0,7.0,61,13,260,13,5,38
CB,22/04/2020,60.0,922.0,76.0,4.0,125,49,43,2,2,7
CE,22/04/2020,0.0,8.0,4.0,0.0,13,0,1,0,0,13
CL,22/04/2020,227.0,6877.0,457.0,31.0,257,142,520,51,3,94
CM,22/04/2020,270.0,8134.0,520.0,56.0,426,195,170,26,8,186
CN,22/04/2020,21.0,823.0,157.0,2.0,119,2,32,12,2,77
CT,22/04/2020,1013.0,22028.0,2375.0,84.0,686,77,1619,103,12,298
EX,22/04/2020,29.0,1253.0,98.0,7.0,97,6,122,9,4,89
GA,22/04/2020,109.0,2568.0,114.0,10.0,124,62,126,22,3,73
IB,22/04/2020,19.0,950.0,159.0,5.0,61,0,72,8,1,31
MC,22/04/2020,7.0,595.0,92.0,1.0,109,2,29,12,0,104
MD,22/04/2020,378.0,8506.0,1086.0,116.0,1163,301,1429,105,9,550
ML,22/04/2020,1.0,42.0,3.0,0.0,21,0,2,0,0,16
NC,22/04/2020,54.0,1693.0,127.0,20.0,150,8,214,2,12,21
PV,22/04/2020,174.0,5812.0,466.0,29.0,521,54,448,50,14,36
RI,22/04/2020,44.0,1266.0,78.0,8.0,117,7,65,4,3,79
VC,22/04/2020,77.0,4759.0,627.0,23.0,341,33,158,23,5,36
AN,23/04/2020,112.0,5349.0,645.0,25.0,282,20,326,69,3,137
AR,23/04/2020,91.0,2104.0,245.0,22.0,118,57,255,9,8,17
AS,23/04/2020,17.0,1424.0,118.0,7.0,57,13,304,13,1,34
CB,23/04/2020,70.0,923.0,76.0,5.0,113,38,55,2,0,50
CE,23/04/2020,1.0,8.0,4.0,0.0,66,1,2,0,0,58
CL,23/04/2020,220.0,6981.0,474.0,31.0,319,38,525,36,1,153
CM,23/04/2020,337.0,8129.0,519.0,56.0,327,100,213,34,11,122
CN,23/04/2020,34.0,801.0,147.0,2.0,118,7,67,22,5,70
CT,23/04/2020,865.0,22134.0,2354.0,107.0,734,213,1996,215,57,73
EX,23/04/2020,29.0,1257.0,96.0,7.0,92,26,156,11,3,29
GA,23/04/2020,110.0,2591.0,114.0,10.0,77,17,116,27,3,23
IB,23/04/2020,18.0,951.0,159.0,5.0,41,4,89,7,1,7
MC,23/04/2020,5.0,578.0,88.0,1.0,67,3,47,17,0,42
MD,23/04/2020,426.0,8454.0,1032.0,114.0,1080,3,1853,83,33,513
ML,23/04/2020,1.0,41.0,3.0,0.0,10,0,3,0,0,4
NC,23/04/2020,54.0,1667.0,127.0,20.0,164,50,248,2,12,57
PV,23/04/2020,129.0,5695.0,462.0,27.0,475,19,620,56,1,152
RI,23/04/2020,44.0,1264.0,78.0,7.0,112,5,80,4,3,85
VC,23/04/2020,78.0,4480.0,625.0,23.0,358,8,465,26,0,63
AN,24/04/2020,130.0,5286.0,624.0,34.0,263,33,429,93,10,40
AR,24/04/2020,91.0,2089.0,244.0,19.0,56,36,283,11,5,92
AS,24/04/2020,22.0,1423.0,116.0,8.0,59,9,337,16,0,31
CB,24/04/2020,57.0,898.0,74.0,4.0,114,41,84,4,0,19
CE,24/04/2020,0.0,8.0,2.0,0.0,20,0,2,2,0,6
CL,24/04/2020,168.0,6918.0,464.0,31.0,254,130,637,47,4,164
CM,24/04/2020,294.0,8086.0,508.0,55.0,380,150,299,51,18,286
CN,24/04/2020,25.0,809.0,148.0,2.0,107,10,69,23,0,88
CT,24/04/2020,1152.0,22069.0,2367.0,107.0,649,435,2061,209,2,34
EX,24/04/2020,28.0,1259.0,96.0,7.0,92,28,188,11,2,60
GA,24/04/2020,110.0,2553.0,116.0,10.0,127,74,169,26,4,74
IB,24/04/2020,15.0,953.0,158.0,6.0,43,11,105,8,4,22
MC,24/04/2020,5.0,579.0,87.0,2.0,69,5,46,18,1,18
MD,24/04/2020,387.0,8457.0,1002.0,117.0,1093,122,2274,110,34,403
ML,24/04/2020,1.0,35.0,2.0,0.0,9,0,9,1,0,7
NC,24/04/2020,44.0,1642.0,126.0,20.0,165,2,295,3,8,20
PV,24/04/2020,162.0,5653.0,458.0,28.0,453,0,722,67,9,29
RI,24/04/2020,44.0,1268.0,78.0,8.0,106,13,92,5,4,71
VC,24/04/2020,70.0,4407.0,622.0,24.0,382,57,571,31,1,158
AN,25/04/2020,130.0,5207.0,602.0,33.0,253,62,540,114,19,193
AR,25/04/2020,88.0,2004.0,234.0,25.0,124,55,391,23,22,93
AS,25/04/2020,24.0,1345.0,115.0,7.0,55,22,445,19,3,22
CB,25/04/2020,57.0,872.0,69.0,4.0,120,45,119,9,3,39
CE,25/04/2020,0.0,8.0,2.0,0.0,96,0,2,2,0,90
CL,25/04/2020,240.0,6930.0,464.0,30.0,300,8,723,51,3,125
CM,25/04/2020,309.0,8119.0,512.0,56.0,292,209,298,53,18,28
CN,25/04/2020,23.0,800.0,147.0,2.0,84,11,80,24,1,72
CT,25/04/2020,1097.0,22131.0,2385.0,75.0,597,547,3534,198,7,344
EX,25/04/2020,54.0,1261.0,96.0,7.0,72,36,219,11,1,0
GA,25/04/2020,110.0,2596.0,111.0,9.0,46,50,139,26,3,26
IB,25/04/2020,16.0,954.0,159.0,5.0,60,9,108,7,4,39
