CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,17/04/2020,115.0,5055.0,653.0,32.0,430,15,286,24,5,272
AR,17/04/2020,76.0,1986.0,265.0,21.0,113,14,194,22,18,113
AS,17/04/2020,46.0,1372.0,115.0,7.0,69,24,148,4,6,39
CB,17/04/2020,33.0,864.0,76.0,7.0,121,73,47,2,2,97
CE,17/04/2020,1.0,9.0,4.0,0.0,38,1,0,0,0,29
CL,17/04/2020,514.0,6065.0,291.0,42.0,353,124,766,204,14,174
CM,17/04/2020,651.0,7922.0,497.0,52.0,414,299,171,17,9,176
CN,17/04/2020,19.0,772.0,154.0,3.0,97,7,50,6,1,42
CT,17/04/2020,872.0,20215.0,2212.0,196.0,1009,755,1798,137,69,521
EX,17/04/2020,57.0,1117.0,105.0,16.0,93,50,123,2,8,64
GA,17/04/2020,148.0,2453.0,132.0,9.0,141,77,101,17,5,90
IB,17/04/2020,31.0,874.0,150.0,4.0,83,25,63,7,10,63
MC,17/04/2020,8.0,545.0,97.0,2.0,80,2,66,5,1,13
MD,17/04/2020,827.0,9425.0,1161.0,142.0,1383,22,828,67,17,344
ML,17/04/2020,1.0,43.0,3.0,0.0,30,1,1,0,0,30
NC,17/04/2020,99.0,1736.0,124.0,47.0,103,99,93,3,31,41
PV,17/04/2020,249.0,5858.0,462.0,47.0,410,99,172,28,19,2
RI,17/04/2020,38.0,1202.0,75.0,7.0,122,2,47,3,3,74
VC,17/04/2020,134.0,4488.0,617.0,29.0,424,36,220,19,14,142
AN,18/04/2020,115.0,5050.0,653.0,35.0,416,49,374,34,9,248
AR,18/04/2020,83.0,2061.0,265.0,24.0,115,26,155,19,6,61
AS,18/04/2020,31.0,1362.0,115.0,7.0,68,19,209,5,2,47
CB,18/04/2020,35.0,874.0,75.0,7.0,120,35,50,3,3,44
CE,18/04/2020,1.0,6.0,4.0,0.0,41,1,3,0,0,35
CL,18/04/2020,518.0,6060.0,280.0,43.0,333,518,921,218,14,174
CM,18/04/2020,542.0,7244.0,476.0,58.0,457,542,893,42,8,332
CN,18/04/2020,19.0,756.0,152.0,3.0,102,7,69,10,1,98
CT,18/04/2020,766.0,20543.0,2218.0,144.0,845,261,1692,177,90,429
EX,18/04/2020,55.0,1117.0,105.0,16.0,94,45,161,2,12,63
GA,18/04/2020,146.0,2422.0,125.0,8.0,135,45,168,13,4,106
IB,18/04/2020,32.0,878.0,150.0,4.0,71,16,77,10,3,36
MC,18/04/2020,11.0,520.0,96.0,2.0,65,3,92,6,1,51
MD,18/04/2020,874.0,9490.0,1153.0,147.0,1427,390,1199,30,40,589
ML,18/04/2020,2.0,40.0,3.0,0.0,34,2,4,0,0,20
NC,18/04/2020,91.0,1738.0,124.0,50.0,102,27,105,3,35,64
PV,18/04/2020,261.0,5427.0,413.0,47.0,406,83,659,86,5,10
RI,18/04/2020,35.0,1203.0,75.0,8.0,103,18,65,4,3,64
VC,18/04/2020,112.0,4510.0,612.0,28.0,487,39,271,31,5,246
AN,19/04/2020,110.0,5052.0,651.0,25.0,401,16,421,39,5,288
AR,19/04/2020,79.0,1988.0,262.0,21.0,54,33,256,14,3,51
AS,19/04/2020,35.0,1372.0,113.0,7.0,50,26,227,9,3,47
CB,19/04/2020,34.0,871.0,75.0,7.0,117,10,63,3,2,101
CE,19/04/2020,1.0,6.0,4.0,0.0,38,1,3,0,0,23
CL,19/04/2020,525.0,6055.0,286.0,42.0,346,388,1025,215,7,242
CM,19/04/2020,562.0,7244.0,477.0,59.0,454,425,929,54,1,239
CN,19/04/2020,20.0,771.0,154.0,3.0,95,0,55,9,3,71
CT,19/04/2020,718.0,20502.0,2210.0,137.0,855,510,1873,199,61,612
EX,19/04/2020,59.0,1140.0,102.0,17.0,92,40,166,5,12,1
GA,19/04/2020,122.0,2433.0,114.0,9.0,114,8,176,6,3,102
IB,19/04/2020,26.0,882.0,150.0,3.0,69,17,81,11,1,57
MC,19/04/2020,11.0,520.0,96.0,2.0,77,9,92,7,1,67
MD,19/04/2020,845.0,9355.0,1110.0,145.0,1252,639,1164,1,33,803
ML,19/04/2020,2.0,40.0,3.0,0.0,29,2,4,0,0,27
NC,19/04/2020,105.0,1715.0,124.0,49.0,109,69,141,4,33,22
PV,19/04/2020,227.0,5384.0,400.0,35.0,432,169,725,101,16,280
RI,19/04/2020,36.0,1121.0,74.0,8.0,92,8,161,5,0,75
VC,19/04/2020,111.0,4317.0,587.0,29.0,415,60,510,59,15,333
AN,20/04/2020,122.0,4892.0,648.0,34.0,392,14,617,44,30,210
AR,20/04/2020,80.0,1988.0,257.0,21.0,96,50,283,7,15,92
AS,20/04/2020,37.0,1372.0,115.0,7.0,70,27,254,7,5,53
CB,20/04/2020,34.0,873.0,75.0,7.0,111,9,75,3,0,91
CE,20/04/2020,0.0,6.0,4.0,0.0,41,0,3,0,0,41
CL,20/04/2020,508.0,6060.0,254.0,42.0,320,338,1114,249,14,257
CM,20/04/2020,568.0,7259.0,475.0,58.0,480,357,940,59,4,416
CN,20/04/2020,20.0,778.0,154.0,3.0,124,2,59,10,2,59
CT,20/04/2020,895.0,20458.0,2230.0,199.0,1128,541,2338,207,56,616
EX,20/04/2020,62.0,1140.0,98.0,18.0,104,62,187,9,10,41
GA,20/04/2020,122.0,2362.0,123.0,10.0,132,47,290,22,2,92
IB,20/04/2020,38.0,887.0,150.0,3.0,67,20,99,11,1,67
MC,20/04/2020,8.0,518.0,91.0,2.0,127,3,96,13,1,87
MD,20/04/2020,788.0,9355.0,1107.0,148.0,1263,181,1425,31,39,748
ML,20/04/2020,1.0,40.0,3.0,0.0,34,0,4,0,0,34
NC,20/04/2020,106.0,1670.0,124.0,49.0,109,80,207,4,37,42
PV,20/04/2020,227.0,5384.0,394.0,35.0,454,173,757,113,13,301
RI,20/04/2020,38.0,1192.0,75.0,8.0,139,18,105,6,1,106
VC,20/04/2020,106.0,4378.0,590.0,29.0,527,64,488,58,19,437
AN,21/04/2020,154.0,5101.0,643.0,33.0,394,23,464,53,0,236
AR,21/04/2020,108.0,2015.0,260.0,21.0,79,31,289,8,8,269
AS,21/04/2020,34.0,1349.0,113.0,7.0,60,20,316,15,2,34
CB,21/04/2020,37.0,870.0,74.0,8.0,124,23,86,4,6,52
CE,21/04/2020,0.0,6.0,4.0,0.0,37,0,3,0,0,34
CL,21/04/2020,530.0,6055.0,289.0,43.0,362,340,1209,216,10,177
CM,21/04/2020,580.0,7257.0,476.0,57.0,426,463,986,61,8,331
CN,21/04/2020,20.0,747.0,151.0,4.0,105,11,94,13,3,56
CT,21/04/2020,829.0,20552.0,2226.0,147.0,1025,139,2743,234,52,382
EX,21/04/2020,62.0,1140.0,91.0,17.0,96,62,209,16,10,34
GA,21/04/2020,122.0,2362.0,123.0,10.0,132,44,312,27,2,95
IB,21/04/2020,28.0,885.0,150.0,3.0,69,7,120,16,0,57
MC,21/04/2020,8.0,518.0,87.0,2.0,88,2,104,17,1,29
MD,21/04/2020,817.0,9490.0,1121.0,147.0,1309,228,2026,97,30,554
ML,21/04/2020,2.0,40.0,3.0,0.0,29,2,4,0,0,25
NC,21/04/2020,120.0,1636.0,124.0,49.0,124,64,258,4,45,2
PV,21/04/2020,234.0,5417.0,396.0,46.0,443,103,784,117,25,69
RI,21/04/2020,35.0,1193.0,75.0,8.0,163,15,125,6,4,130
VC,21/04/2020,120.0,4399.0,602.0,28.0,449,45,497,47,11,157
AN,22/04/2020,151.0,5068.0,620.0,40.0,398,18,548,82,11,120
AR,22/04/2020,105.0,2011.0,265.0,22.0,123,33,329,12,3,27
AS,22/04/2020,42.0,1352.0,113.0,7.0,79,37,353,17,5,56
CB,22/04/2020,42.0,871.0,73.0,7.0,120,31,94,5,1,12
CE,22/04/2020,0.0,6.0,4.0,0.0,44,0,3,0,0,44
CL,22/04/2020,513.0,6065.0,292.0,43.0,349,144,1332,216,15,186
CM,22/04/2020,540.0,7258.0,477.0,58.0,422,465,1046,69,10,182
CN,22/04/2020,20.0,744.0,151.0,3.0,99,1,111,18,3,57
CT,22/04/2020,734.0,20536.0,2219.0,128.0,892,356,3111,259,32,504
EX,22/04/2020,49.0,1140.0,90.0,17.0,92,26,235,17,14,94
GA,22/04/2020,122.0,2362.0,123.0,10.0,140,49,332,31,3,89
IB,22/04/2020,29.0,883.0,150.0,4.0,82,10,139,17,0,52
MC,22/04/2020,12.0,521.0,86.0,2.0,77,7,103,18,1,72
MD,22/04/2020,811.0,9469.0,1117.0,148.0,1291,132,2392,136,41,678
ML,22/04/2020,2.0,40.0,3.0,0.0,34,1,4,0,0,29
NC,22/04/2020,111.0,1635.0,124.0,49.0,103,65,272,5,41,26
PV,22/04/2020,267.0,5427.0,397.0,44.0,448,147,833,119,1,37
RI,22/04/2020,35.0,1190.0,75.0,8.0,158,2,141,7,3,120
VC,22/04/2020,126.0,4391.0,600.0,28.0,547,82,526,50,10,170
AN,23/04/2020,134.0,4986.0,619.0,39.0,401,2,689,95,11,256
AR,23/04/2020,110.0,1987.0,254.0,25.0,82,76,372,0,11,19
AS,23/04/2020,34.0,1355.0,113.0,7.0,65,30,373,18,1,42
CB,23/04/2020,42.0,870.0,73.0,7.0,119,10,108,5,2,56
CE,23/04/2020,1.0,6.0,4.0,0.0,26,1,4,0,0,18
CL,23/04/2020,522.0,6065.0,282.0,43.0,372,340,1441,228,13,206
CM,23/04/2020,570.0,7253.0,477.0,59.0,452,333,1089,76,8,247
CN,23/04/2020,22.0,727.0,144.0,3.0,113,5,141,25,4,65
