CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,28/04/2020,98.0,5656.0,719.0,13.0,368,16,175,3,7,135
AR,28/04/2020,23.0,2402.0,254.0,12.0,214,15,52,4,11,106
AS,28/04/2020,9.0,1789.0,135.0,8.0,80,8,97,2,3,51
CB,28/04/2020,20.0,995.0,76.0,3.0,168,11,11,3,0,86
CE,28/04/2020,0.0,10.0,4.0,0.0,46,1,0,0,0,42
CL,28/04/2020,240.0,7695.0,518.0,25.0,146,139,159,6,1,21
CM,28/04/2020,96.0,8446.0,569.0,36.0,237,17,77,19,4,161
CN,28/04/2020,13.0,871.0,160.0,2.0,75,2,35,15,1,43
CT,28/04/2020,635.0,25404.0,2666.0,96.0,924,139,1142,102,1,183
EX,28/04/2020,8.0,1482.0,106.0,5.0,157,5,44,1,2,93
GA,28/04/2020,180.0,1654.0,123.0,11.0,76,180,1082,185,124,3476
IB,28/04/2020,12.0,1058.0,164.0,2.0,56,3,21,2,2,26
MC,28/04/2020,1.0,627.0,105.0,1.0,145,4,8,1,1,105
MD,28/04/2020,371.0,29089.0,2780.0,80.0,614,95,10761,575,23,141
ML,28/04/2020,3.0,43.0,3.0,0.0,37,3,1,0,0,34
NC,28/04/2020,33.0,1882.0,126.0,2.0,207,2,69,4,14,103
PV,28/04/2020,90.0,6427.0,534.0,16.0,465,35,95,6,3,35
RI,28/04/2020,17.0,1381.0,85.0,6.0,52,4,32,2,2,25
VC,28/04/2020,70.0,5019.0,626.0,10.0,360,38,53,36,8,184
AN,29/04/2020,95.0,5536.0,719.0,15.0,411,55,337,2,4,27
AR,29/04/2020,23.0,2402.0,253.0,14.0,228,26,75,5,11,126
AS,29/04/2020,9.0,1746.0,135.0,8.0,107,8,169,2,1,81
CB,29/04/2020,20.0,994.0,73.0,4.0,164,7,13,6,4,53
CE,29/04/2020,0.0,10.0,4.0,0.0,48,0,0,0,0,36
CL,29/04/2020,248.0,7719.0,515.0,25.0,155,53,238,13,9,34
CM,29/04/2020,56.0,8446.0,575.0,38.0,248,9,121,17,11,118
CN,29/04/2020,12.0,873.0,160.0,2.0,48,9,36,15,1,24
CT,29/04/2020,605.0,25484.0,2657.0,97.0,909,343,1279,127,27,354
EX,29/04/2020,10.0,1487.0,106.0,5.0,136,11,63,2,1,46
GA,29/04/2020,196.0,1647.0,103.0,11.0,82,174,1100,207,11,98
IB,29/04/2020,11.0,1062.0,164.0,2.0,60,7,20,3,1,37
MC,29/04/2020,1.0,627.0,105.0,1.0,143,5,10,3,1,94
MD,29/04/2020,313.0,29074.0,2567.0,80.0,606,26,11002,810,9,213
ML,29/04/2020,3.0,43.0,3.0,0.0,37,3,1,0,0,36
NC,29/04/2020,53.0,1871.0,124.0,5.0,184,32,94,8,2,153
PV,29/04/2020,88.0,6417.0,534.0,16.0,533,6,144,7,6,71
RI,29/04/2020,29.0,1368.0,84.0,7.0,72,21,56,4,5,4
VC,29/04/2020,70.0,5004.0,618.0,15.0,425,25,92,45,3,138
AN,30/04/2020,126.0,5161.0,717.0,15.0,383,13,774,12,16,241
AR,30/04/2020,23.0,2395.0,253.0,11.0,159,2,99,7,1,68
AS,30/04/2020,8.0,1764.0,135.0,8.0,85,3,174,5,8,60
CB,30/04/2020,24.0,995.0,73.0,2.0,168,13,14,6,1,142
CE,30/04/2020,0.0,10.0,4.0,0.0,52,0,0,0,0,40
CL,30/04/2020,240.0,7696.0,519.0,25.0,143,132,314,12,7,26
CM,30/04/2020,56.0,8443.0,571.0,38.0,285,22,175,25,3,182
CN,30/04/2020,12.0,873.0,160.0,2.0,51,11,41,15,1,31
CT,30/04/2020,695.0,25398.0,2661.0,87.0,936,304,1534,134,1,911
EX,30/04/2020,9.0,1485.0,106.0,5.0,148,17,80,2,0,75
GA,30/04/2020,197.0,1681.0,105.0,11.0,93,46,1078,208,3,150
IB,30/04/2020,12.0,1059.0,164.0,2.0,75,1,31,3,3,49
MC,30/04/2020,5.0,625.0,105.0,1.0,146,3,13,4,1,119
MD,30/04/2020,338.0,31043.0,2798.0,80.0,599,78,9250,594,34,152
ML,30/04/2020,3.0,43.0,3.0,0.0,43,2,1,0,0,43
NC,30/04/2020,31.0,1892.0,124.0,3.0,192,2,85,8,4,120
PV,30/04/2020,84.0,6432.0,535.0,16.0,568,39,175,9,0,124
RI,30/04/2020,28.0,1368.0,82.0,7.0,80,10,65,6,6,19
VC,30/04/2020,46.0,5025.0,609.0,9.0,266,30,101,85,0,74
AN,01/05/2020,96.0,4999.0,719.0,15.0,312,50,962,16,0,175
AR,01/05/2020,26.0,2341.0,253.0,11.0,125,6,162,7,1,33
AS,01/05/2020,9.0,1767.0,130.0,9.0,81,9,207,11,3,51
CB,01/05/2020,25.0,993.0,73.0,3.0,127,8,16,6,2,85
CE,01/05/2020,0.0,10.0,4.0,0.0,50,0,0,0,0,48
CL,01/05/2020,244.0,7696.0,519.0,25.0,187,72,358,12,7,60
CM,01/05/2020,56.0,8447.0,574.0,37.0,292,1,198,27,1,205
CN,01/05/2020,15.0,853.0,161.0,2.0,69,9,65,14,2,69
CT,01/05/2020,714.0,25574.0,2674.0,86.0,792,171,1475,137,10,519
EX,01/05/2020,9.0,1482.0,106.0,5.0,100,4,110,2,2,43
GA,01/05/2020,196.0,1610.0,102.0,11.0,99,142,1159,211,9,66
