CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,29/04/2020,81.0,5797.0,716.0,16.0,383,41,76,5,3,55
AR,29/04/2020,30.0,2442.0,258.0,10.0,193,19,35,0,7,91
AS,29/04/2020,14.0,1838.0,136.0,6.0,82,3,77,1,1,56
CB,29/04/2020,21.0,950.0,79.0,3.0,154,6,57,0,3,43
CE,29/04/2020,1.0,10.0,4.0,0.0,24,1,0,0,0,12
CL,29/04/2020,150.0,7763.0,519.0,25.0,166,45,194,9,9,45
CM,29/04/2020,63.0,8486.0,582.0,39.0,206,16,81,10,12,76
CN,29/04/2020,13.0,901.0,169.0,2.0,73,10,8,6,1,49
CT,29/04/2020,518.0,25793.0,2690.0,102.0,847,256,970,94,32,292
EX,29/04/2020,13.0,1497.0,107.0,6.0,176,8,53,1,0,86
GA,29/04/2020,70.0,2586.0,181.0,62.0,1299,48,161,129,62,1119
IB,29/04/2020,10.0,1073.0,164.0,3.0,69,6,9,3,0,46
MC,29/04/2020,7.0,632.0,106.0,1.0,128,1,5,2,1,79
MD,29/04/2020,298.0,38747.0,2905.0,67.0,581,41,1329,472,4,188
ML,29/04/2020,1.0,44.0,3.0,0.0,41,1,0,0,0,40
NC,29/04/2020,49.0,1948.0,127.0,13.0,163,28,17,5,10,132
PV,29/04/2020,78.0,6474.0,536.0,16.0,673,4,87,5,6,211
RI,29/04/2020,19.0,1379.0,86.0,7.0,73,11,45,2,5,5
VC,29/04/2020,53.0,5045.0,634.0,18.0,300,42,51,29,0,13
AN,30/04/2020,130.0,5415.0,715.0,18.0,378,17,520,14,13,246
AR,30/04/2020,30.0,2435.0,257.0,6.0,165,5,59,3,4,74
AS,30/04/2020,12.0,1836.0,136.0,7.0,92,7,102,4,7,67
CB,30/04/2020,26.0,947.0,78.0,3.0,143,15,62,1,2,117
CE,30/04/2020,1.0,10.0,4.0,0.0,29,1,0,0,0,17
CL,30/04/2020,147.0,7821.0,519.0,25.0,200,39,189,12,7,83
CM,30/04/2020,70.0,8491.0,582.0,39.0,256,8,127,14,4,153
CN,30/04/2020,13.0,900.0,169.0,2.0,87,12,14,6,1,67
CT,30/04/2020,651.0,26175.0,2688.0,96.0,889,260,757,107,10,864
EX,30/04/2020,11.0,1495.0,107.0,6.0,187,15,70,1,1,114
GA,30/04/2020,69.0,2583.0,155.0,62.0,1296,82,176,158,54,1053
IB,30/04/2020,10.0,1075.0,164.0,3.0,71,1,15,3,2,45
MC,30/04/2020,6.0,632.0,106.0,1.0,141,4,6,3,1,114
MD,30/04/2020,293.0,38786.0,3134.0,67.0,580,33,1507,258,21,133
ML,30/04/2020,1.0,44.0,3.0,0.0,48,0,0,0,0,48
NC,30/04/2020,31.0,1947.0,127.0,11.0,186,2,30,5,4,114
PV,30/04/2020,67.0,6458.0,536.0,17.0,639,56,149,8,1,195
RI,30/04/2020,19.0,1380.0,85.0,6.0,61,1,53,3,5,0
VC,30/04/2020,41.0,5052.0,632.0,14.0,251,25,74,62,5,59
AN,01/05/2020,80.0,5105.0,716.0,17.0,357,34,856,19,2,130
AR,01/05/2020,32.0,2379.0,255.0,6.0,183,12,124,5,6,91
AS,01/05/2020,14.0,1838.0,134.0,7.0,125,14,136,7,1,95
CB,01/05/2020,22.0,947.0,78.0,3.0,100,5,62,1,2,58
CE,01/05/2020,1.0,10.0,4.0,0.0,22,1,0,0,0,20
CL,01/05/2020,150.0,7763.0,519.0,25.0,234,22,291,12,7,107
CM,01/05/2020,70.0,8488.0,583.0,37.0,305,13,157,18,1,218
CN,01/05/2020,16.0,900.0,168.0,1.0,101,10,18,7,3,101
CT,01/05/2020,626.0,26041.0,2710.0,90.0,999,83,1008,101,14,726
EX,01/05/2020,12.0,1516.0,107.0,6.0,183,1,76,1,1,126
GA,01/05/2020,65.0,2587.0,154.0,62.0,1309,11,182,159,60,1144
IB,01/05/2020,10.0,1073.0,164.0,3.0,62,2,21,3,1,39
MC,01/05/2020,7.0,632.0,106.0,1.0,131,4,7,4,1,109
MD,01/05/2020,296.0,38747.0,2961.0,67.0,947,182,1710,443,3,571
ML,01/05/2020,1.0,44.0,3.0,0.0,41,1,0,0,0,41
NC,01/05/2020,52.0,1949.0,126.0,11.0,176,12,30,6,9,80
PV,01/05/2020,67.0,6492.0,538.0,15.0,539,4,167,13,6,114
RI,01/05/2020,19.0,1352.0,81.0,6.0,68,8,87,7,5,9
VC,01/05/2020,50.0,5041.0,631.0,17.0,364,14,112,64,4,155
AN,02/05/2020,83.0,5065.0,716.0,16.0,390,48,896,20,13,314
AR,02/05/2020,29.0,2389.0,255.0,7.0,177,1,130,5,7,93
AS,02/05/2020,14.0,1843.0,131.0,6.0,100,13,152,11,5,82
CB,02/05/2020,22.0,947.0,78.0,3.0,118,18,63,1,1,53
CE,02/05/2020,1.0,10.0,4.0,0.0,30,1,0,0,0,29
CL,02/05/2020,164.0,7558.0,506.0,23.0,246,46,527,27,11,203
CM,02/05/2020,70.0,8493.0,584.0,37.0,355,20,183,20,6,285
CN,02/05/2020,13.0,900.0,168.0,1.0,121,4,19,7,1,120
CT,02/05/2020,506.0,26105.0,2707.0,97.0,991,122,1152,137,49,572
EX,02/05/2020,14.0,1500.0,107.0,6.0,150,6,103,1,4,95
GA,02/05/2020,74.0,2587.0,155.0,63.0,1315,9,187,160,57,1221
IB,02/05/2020,10.0,1073.0,161.0,3.0,64,4,26,6,3,48
MC,02/05/2020,5.0,631.0,106.0,1.0,147,4,10,4,1,138
MD,02/05/2020,293.0,38767.0,3188.0,66.0,933,176,1830,233,26,759
ML,02/05/2020,1.0,44.0,3.0,0.0,56,1,0,0,0,54
NC,02/05/2020,47.0,1945.0,125.0,12.0,157,33,41,8,10,27
PV,02/05/2020,59.0,6490.0,538.0,14.0,521,8,202,15,6,302
RI,02/05/2020,15.0,1348.0,82.0,6.0,55,10,98,6,5,37
VC,02/05/2020,38.0,5051.0,632.0,15.0,306,13,130,66,9,146
AN,03/05/2020,77.0,5065.0,717.0,16.0,361,58,908,21,9,237
AR,03/05/2020,29.0,2328.0,253.0,7.0,178,5,198,7,6,112
AS,03/05/2020,14.0,1837.0,130.0,5.0,83,12,177,12,1,74
CB,03/05/2020,26.0,947.0,78.0,3.0,137,25,64,1,1,137
CE,03/05/2020,1.0,10.0,4.0,0.0,7,1,0,0,0,6
CL,03/05/2020,166.0,7558.0,509.0,23.0,272,115,565,25,5,228
CM,03/05/2020,81.0,8492.0,574.0,36.0,274,48,206,32,11,252
CN,03/05/2020,13.0,900.0,169.0,2.0,86,9,19,6,1,70
CT,03/05/2020,571.0,25732.0,2691.0,109.0,1054,439,1589,156,74,512
EX,03/05/2020,14.0,1502.0,107.0,6.0,258,9,116,1,6,240
GA,03/05/2020,76.0,2586.0,157.0,62.0,1319,32,196,158,56,1160
IB,03/05/2020,11.0,1070.0,161.0,3.0,64,11,32,6,3,54
MC,03/05/2020,7.0,631.0,106.0,1.0,131,7,14,4,1,114
MD,03/05/2020,293.0,38767.0,3188.0,65.0,914,184,1974,243,21,810
ML,03/05/2020,1.0,44.0,3.0,0.0,57,1,0,0,0,54
NC,03/05/2020,42.0,1861.0,125.0,10.0,165,26,129,8,6,82
PV,03/05/2020,58.0,6490.0,534.0,14.0,499,44,229,20,2,368
RI,03/05/2020,15.0,1348.0,82.0,5.0,53,6,101,6,5,38
VC,03/05/2020,30.0,5050.0,632.0,12.0,298,30,154,68,7,239
AN,04/05/2020,81.0,5050.0,717.0,16.0,305,65,933,21,12,96
AR,04/05/2020,27.0,2191.0,240.0,7.0,202,8,348,20,1,122
AS,04/05/2020,14.0,1843.0,130.0,6.0,100,13,203,12,6,81
CB,04/05/2020,22.0,946.0,78.0,3.0,132,21,69,1,2,84
CE,04/05/2020,1.0,10.0,4.0,0.0,46,1,0,0,0,43
CL,04/05/2020,166.0,7558.0,506.0,23.0,217,71,595,31,9,182
CM,04/05/2020,81.0,8492.0,584.0,36.0,351,51,233,25,10,321
CN,04/05/2020,13.0,901.0,165.0,2.0,138,7,19,11,1,114
CT,04/05/2020,532.0,25732.0,2680.0,98.0,927,127,2013,176,48,272
EX,04/05/2020,14.0,1502.0,107.0,6.0,151,11,127,1,4,95
GA,04/05/2020,75.0,2586.0,156.0,62.0,1312,35,206,161,58,985
IB,04/05/2020,10.0,1073.0,161.0,3.0,61,8,37,7,2,48
MC,04/05/2020,4.0,632.0,106.0,1.0,171,0,18,5,1,67
MD,04/05/2020,293.0,38767.0,3132.0,66.0,935,17,2084,310,22,741
ML,04/05/2020,1.0,44.0,3.0,0.0,59,1,0,0,0,59
NC,04/05/2020,42.0,1861.0,125.0,10.0,158,24,134,9,5,90
PV,04/05/2020,58.0,6490.0,534.0,14.0,395,45,246,22,2,299
RI,04/05/2020,17.0,1345.0,80.0,5.0,57,11,107,10,4,24
VC,04/05/2020,31.0,5049.0,631.0,17.0,359,33,165,70,7,210
AN,05/05/2020,80.0,5090.0,716.0,17.0,326,54,922,24,3,123
AR,05/05/2020,32.0,2199.0,238.0,7.0,212,8,353,22,11,126
AS,05/05/2020,14.0,1848.0,129.0,6.0,110,3,233,13,3,93
CB,05/05/2020,24.0,946.0,78.0,3.0,125,18,72,1,2,87
CE,05/05/2020,1.0,10.0,4.0,0.0,6,7,0,0,0,1
CL,05/05/2020,159.0,7787.0,519.0,25.0,249,68,459,19,10,148
CM,05/05/2020,81.0,8494.0,584.0,37.0,242,17,271,28,6,204
