CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,30/04/2020,107.0,5270.0,714.0,17.0,452,6,665,15,14,172
AR,30/04/2020,37.0,2458.0,258.0,6.0,177,12,36,2,4,86
AS,30/04/2020,15.0,1892.0,136.0,7.0,81,10,46,4,7,56
CB,30/04/2020,29.0,999.0,77.0,1.0,147,18,10,2,0,121
CE,30/04/2020,0.0,10.0,4.0,0.0,30,0,0,0,0,18
CL,30/04/2020,177.0,7866.0,525.0,19.0,199,69,144,6,1,82
CM,30/04/2020,53.0,8527.0,584.0,33.0,279,25,91,12,2,176
CN,30/04/2020,6.0,903.0,174.0,1.0,79,5,11,1,0,59
CT,30/04/2020,576.0,26446.0,2762.0,77.0,961,185,486,33,9,936
EX,30/04/2020,12.0,1516.0,108.0,5.0,167,14,49,0,0,94
GA,30/04/2020,53.0,2684.0,208.0,33.0,2079,98,75,105,25,1836
IB,30/04/2020,15.0,1078.0,164.0,3.0,118,4,12,3,2,92
MC,30/04/2020,7.0,634.0,107.0,0.0,149,5,4,2,2,122
MD,30/04/2020,391.0,39930.0,3257.0,68.0,590,131,363,135,22,143
ML,30/04/2020,1.0,44.0,3.0,0.0,43,0,0,0,0,43
NC,30/04/2020,26.0,1957.0,130.0,7.0,162,7,20,2,0,90
PV,30/04/2020,71.0,6511.0,538.0,22.0,611,52,96,6,6,167
RI,30/04/2020,17.0,1412.0,86.0,3.0,92,1,21,2,2,31
VC,30/04/2020,50.0,4960.0,648.0,14.0,281,34,166,46,5,89
AN,01/05/2020,78.0,5167.0,716.0,18.0,505,32,794,19,3,18
AR,01/05/2020,40.0,2451.0,254.0,6.0,158,20,52,6,6,66
AS,01/05/2020,15.0,1887.0,133.0,7.0,93,15,87,8,1,63
CB,01/05/2020,30.0,999.0,77.0,1.0,163,13,10,2,0,121
CE,01/05/2020,0.0,10.0,4.0,0.0,12,0,0,0,0,10
CL,01/05/2020,183.0,7872.0,525.0,19.0,260,11,182,6,1,133
CM,01/05/2020,56.0,8533.0,586.0,31.0,336,1,112,15,5,249
CN,01/05/2020,8.0,899.0,173.0,1.0,57,2,19,2,3,57
