CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,16/04/2020,212.0,5087.0,629.0,37.0,382,133,211,46,9,226
AR,16/04/2020,95.0,1929.0,284.0,25.0,90,17,222,44,6,56
AS,16/04/2020,44.0,1369.0,114.0,6.0,73,24,105,4,0,50
CB,16/04/2020,25.0,834.0,74.0,7.0,110,14,69,4,0,42
CE,16/04/2020,2.0,9.0,4.0,0.0,10,2,0,0,0,7
CL,16/04/2020,641.0,6185.0,294.0,37.0,343,118,333,3,8,144
CM,16/04/2020,417.0,7865.0,489.0,60.0,357,429,153,22,4,135
CN,16/04/2020,21.0,754.0,150.0,3.0,109,0,57,9,1,52
CT,16/04/2020,964.0,19905.0,2201.0,165.0,1090,2,1337,104,31,264
EX,16/04/2020,36.0,1149.0,105.0,17.0,85,39,63,2,4,27
GA,16/04/2020,141.0,2311.0,129.0,10.0,122,1,224,12,0,49
IB,16/04/2020,28.0,860.0,149.0,6.0,64,3,45,3,3,44
MC,16/04/2020,14.0,526.0,94.0,3.0,92,6,59,5,2,63
MD,16/04/2020,907.0,9864.0,1212.0,151.0,1553,73,723,58,21,608
ML,16/04/2020,1.0,42.0,3.0,0.0,32,0,2,0,0,29
NC,16/04/2020,113.0,1725.0,123.0,7.0,104,28,56,1,70,57
PV,16/04/2020,248.0,5680.0,454.0,48.0,370,48,259,30,12,39
RI,16/04/2020,70.0,1173.0,75.0,12.0,138,62,53,1,7,63
VC,16/04/2020,237.0,4344.0,592.0,30.0,440,237,261,40,3,118
AN,17/04/2020,223.0,5087.0,628.0,37.0,361,123,254,49,10,203
AR,17/04/2020,98.0,1880.0,280.0,22.0,87,36,300,37,17,87
AS,17/04/2020,58.0,1361.0,113.0,6.0,79,36,159,6,7,49
CB,17/04/2020,24.0,832.0,75.0,7.0,92,82,79,3,2,68
CE,17/04/2020,2.0,8.0,4.0,0.0,69,0,1,0,0,60
CL,17/04/2020,588.0,5954.0,292.0,48.0,349,198,877,203,20,170
CM,17/04/2020,384.0,7863.0,491.0,53.0,362,32,230,23,8,124
CN,17/04/2020,21.0,754.0,150.0,3.0,109,5,68,10,1,54
CT,17/04/2020,780.0,19884.0,2198.0,200.0,1151,847,2129,151,73,663
EX,17/04/2020,35.0,1132.0,105.0,16.0,75,28,108,2,8,46
GA,17/04/2020,141.0,2282.0,135.0,8.0,125,70,272,20,6,74
IB,17/04/2020,31.0,818.0,147.0,6.0,94,25,119,10,8,74
MC,17/04/2020,10.0,513.0,95.0,3.0,121,4,98,7,0,28
MD,17/04/2020,923.0,9630.0,1200.0,153.0,1464,118,1033,106,28,425
ML,17/04/2020,1.0,42.0,3.0,0.0,43,1,2,0,0,43
NC,17/04/2020,115.0,1718.0,124.0,7.0,105,115,111,3,9,43
PV,17/04/2020,268.0,5503.0,435.0,48.0,355,118,527,55,20,57
RI,17/04/2020,66.0,1171.0,74.0,9.0,137,30,78,4,1,89
VC,17/04/2020,233.0,4296.0,592.0,32.0,436,135,412,44,11,154
AN,18/04/2020,223.0,5073.0,628.0,37.0,352,59,351,59,11,184
AR,18/04/2020,93.0,1929.0,284.0,26.0,80,36,287,38,8,26
AS,18/04/2020,44.0,1338.0,112.0,7.0,74,32,233,8,2,53
CB,18/04/2020,24.0,843.0,74.0,7.0,118,24,81,4,3,42
CE,18/04/2020,2.0,6.0,4.0,0.0,15,2,3,0,0,9
CL,18/04/2020,572.0,5949.0,289.0,47.0,345,572,1032,209,18,186
CM,18/04/2020,438.0,6615.0,473.0,57.0,354,438,1522,45,7,229
CN,18/04/2020,22.0,717.0,149.0,3.0,113,10,108,13,1,109
CT,18/04/2020,744.0,19951.0,2195.0,153.0,920,239,2284,200,99,504
EX,18/04/2020,39.0,1094.0,105.0,15.0,75,29,184,2,11,44
GA,18/04/2020,141.0,2291.0,130.0,8.0,127,40,299,18,4,98
IB,18/04/2020,31.0,859.0,149.0,5.0,69,15,96,11,2,34
MC,18/04/2020,14.0,514.0,92.0,3.0,107,6,98,10,2,93
MD,18/04/2020,932.0,9688.0,1205.0,156.0,1403,448,1397,82,49,565
ML,18/04/2020,1.0,40.0,3.0,0.0,4,1,4,0,0,10
NC,18/04/2020,109.0,1716.0,124.0,8.0,103,45,127,3,7,65
PV,18/04/2020,265.0,5285.0,391.0,49.0,373,87,801,108,7,43
RI,18/04/2020,68.0,1170.0,74.0,9.0,120,15,98,5,4,81
VC,18/04/2020,209.0,4335.0,591.0,31.0,426,136,446,52,8,185
AN,19/04/2020,215.0,5076.0,624.0,28.0,322,121,397,66,8,209
AR,19/04/2020,90.0,1885.0,279.0,22.0,76,44,359,31,4,73
AS,19/04/2020,39.0,1315.0,111.0,7.0,50,30,284,11,3,47
CB,19/04/2020,24.0,838.0,74.0,7.0,67,0,96,4,2,51
CE,19/04/2020,2.0,6.0,4.0,0.0,20,2,3,0,0,5
CL,19/04/2020,581.0,5812.0,303.0,47.0,301,444,1268,198,12,197
CM,19/04/2020,462.0,6654.0,473.0,61.0,376,325,1519,58,3,161
CN,19/04/2020,17.0,748.0,150.0,3.0,100,3,78,13,3,76
CT,19/04/2020,694.0,19948.0,2183.0,146.0,979,534,2427,226,70,736
EX,19/04/2020,39.0,1081.0,104.0,19.0,75,20,225,3,14,16
GA,19/04/2020,116.0,2016.0,121.0,8.0,116,2,593,13,2,104
IB,19/04/2020,27.0,856.0,149.0,4.0,72,18,107,12,2,60
MC,19/04/2020,14.0,514.0,91.0,4.0,122,12,98,12,3,112
MD,19/04/2020,808.0,9658.0,1170.0,156.0,1218,602,1467,59,44,769
ML,19/04/2020,2.0,38.0,3.0,0.0,33,2,6,0,0,31
NC,19/04/2020,115.0,1705.0,124.0,6.0,112,79,151,4,10,19
PV,19/04/2020,228.0,5098.0,377.0,40.0,364,170,1011,124,21,212
RI,19/04/2020,68.0,1121.0,74.0,10.0,138,40,161,5,2,121
VC,19/04/2020,204.0,4232.0,569.0,32.0,415,153,595,77,18,333
AN,20/04/2020,195.0,5068.0,621.0,35.0,300,87,441,71,31,118
AR,20/04/2020,90.0,1903.0,273.0,22.0,90,60,368,23,16,86
AS,20/04/2020,49.0,1329.0,112.0,7.0,45,39,297,10,5,28
CB,20/04/2020,25.0,837.0,74.0,8.0,78,0,111,4,1,58
CE,20/04/2020,1.0,6.0,4.0,0.0,26,1,3,0,0,26
