CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,19/04/2020,101,1418,212,13,109
AR,19/04/2020,52,611,106,34,28
AS,19/04/2020,14,450,73,34,32
CB,19/04/2020,55,286,29,31,56
CE,19/04/2020,29,50,24,22,18
CL,19/04/2020,138,1807,155,48,85
CM,19/04/2020,162,2112,163,42,199
CN,19/04/2020,33,253,83,41,64
CT,19/04/2020,669,5659,633,80,333
EX,19/04/2020,30,375,46,3,52
GA,19/04/2020,82,709,44,63,57
IB,19/04/2020,41,276,65,38,36
MC,19/04/2020,20,200,78,33,66
MD,19/04/2020,372,2280,323,63,437
ML,19/04/2020,26,62,48,39,29
NC,19/04/2020,50,490,70,53,68
PV,19/04/2020,80,1556,157,56,185
RI,19/04/2020,48,360,58,42,58
VC,19/04/2020,65,1262,191,46,135
AN,20/04/2020,108,1433,218,8,123
AR,20/04/2020,62,609,107,31,61
AS,20/04/2020,73,435,71,12,31
CB,20/04/2020,54,262,18,61,64
CE,20/04/2020,29,50,61,16,46
CL,20/04/2020,159,1778,170,58,158
CM,20/04/2020,149,2129,145,45,173
CN,20/04/2020,38,253,83,39,65
CT,20/04/2020,575,5677,654,77,226
EX,20/04/2020,18,362,27,36,46
GA,20/04/2020,86,715,47,74,54
IB,20/04/2020,38,278,83,58,42
MC,20/04/2020,14,202,91,21,59
MD,20/04/2020,388,2282,311,80,440
ML,20/04/2020,28,53,47,37,24
NC,20/04/2020,55,504,75,74,81
PV,20/04/2020,87,1545,157,55,183
RI,20/04/2020,48,354,63,41,57
VC,20/04/2020,72,1258,185,45,124
AN,21/04/2020,107,1397,218,10,140
AR,21/04/2020,60,601,107,37,26
AS,21/04/2020,42,441,71,2,35
CB,21/04/2020,53,314,31,9,65
CE,21/04/2020,27,50,0,31,5
CL,21/04/2020,154,1768,172,42,95
CM,21/04/2020,164,2139,182,68,191
CN,21/04/2020,32,253,83,38,68
CT,21/04/2020,645,5695,657,90,257
EX,21/04/2020,15,422,24,18,46
GA,21/04/2020,76,732,28,77,69
IB,21/04/2020,34,286,74,28,33
MC,21/04/2020,3,203,112,23,62
MD,21/04/2020,367,2264,350,65,451
ML,21/04/2020,37,67,47,37,13
NC,21/04/2020,55,505,68,65,79
PV,21/04/2020,96,1593,155,54,213
RI,21/04/2020,46,355,54,39,66
VC,21/04/2020,67,1261,193,43,128
AN,22/04/2020,106,1386,212,23,122
AR,22/04/2020,77,606,104,47,68
AS,22/04/2020,18,446,73,2,33
CB,22/04/2020,56,237,37,25,61
CE,22/04/2020,26,50,40,35,50
CL,22/04/2020,147,1793,172,139,153
CM,22/04/2020,167,2140,185,44,121
CN,22/04/2020,43,251,82,36,67
CT,22/04/2020,559,5713,637,72,279
EX,22/04/2020,15,322,24,36,41
GA,22/04/2020,86,759,75,74,33
IB,22/04/2020,33,265,77,78,18
MC,22/04/2020,7,201,115,19,33
MD,22/04/2020,374,2242,265,74,420
ML,22/04/2020,43,49,47,38,3
NC,22/04/2020,58,484,70,94,87
PV,22/04/2020,97,1523,155,54,197
RI,22/04/2020,43,365,74,40,62
VC,22/04/2020,69,1226,195,35,143
AN,23/04/2020,91,1381,221,47,115
AR,23/04/2020,92,606,103,66,20
AS,23/04/2020,52,452,73,4,35
CB,23/04/2020,53,329,18,9,62
CE,23/04/2020,28,50,39,54,11
CL,23/04/2020,123,1828,165,31,96
CM,23/04/2020,142,2127,141,48,168
CN,23/04/2020,34,252,82,36,65
CT,23/04/2020,687,5739,606,120,249
EX,23/04/2020,13,442,24,39,44
GA,23/04/2020,59,758,27,64,79
IB,23/04/2020,35,287,80,82,21
MC,23/04/2020,8,203,140,28,26
MD,23/04/2020,333,2213,332,76,425
ML,23/04/2020,43,66,47,39,3
NC,23/04/2020,43,502,79,65,87
PV,23/04/2020,91,1618,152,58,189
RI,23/04/2020,48,376,18,32,63
VC,23/04/2020,63,1222,194,17,164
AN,24/04/2020,106,1374,219,61,114
AR,24/04/2020,75,597,102,54,70
AS,24/04/2020,44,444,72,56,32
CB,24/04/2020,50,232,17,35,65
CE,24/04/2020,30,50,42,50,75
CL,24/04/2020,141,1890,136,134,142
CM,24/04/2020,137,2145,125,63,107
CN,24/04/2020,38,251,82,36,56
CT,24/04/2020,556,5777,633,52,225
EX,24/04/2020,30,337,81,23,28
GA,24/04/2020,59,734,139,46,19
IB,24/04/2020,30,246,75,2,34
MC,24/04/2020,6,202,119,6,19
MD,24/04/2020,319,2184,272,61,389
ML,24/04/2020,42,57,47,40,8
NC,24/04/2020,42,508,57,116,86
PV,24/04/2020,74,1523,152,60,188
RI,24/04/2020,47,375,106,72,67
VC,24/04/2020,59,1236,191,30,160
AN,25/04/2020,91,1368,217,31,114
AR,25/04/2020,42,606,104,32,20
AS,25/04/2020,12,445,71,77,31
CB,25/04/2020,50,325,17,1,64
CE,25/04/2020,29,50,32,0,8
CL,25/04/2020,125,1896,108,27,86
CM,25/04/2020,135,2152,124,44,156
CN,25/04/2020,32,251,81,37,55
CT,25/04/2020,654,5757,666,68,298
EX,25/04/2020,25,442,106,48,87
GA,25/04/2020,61,704,27,20,75
IB,25/04/2020,29,326,82,50,71
MC,25/04/2020,10,202,134,0,18
MD,25/04/2020,304,2376,355,85,406
ML,25/04/2020,42,65,47,39,40
NC,25/04/2020,31,484,30,53,86
PV,25/04/2020,61,1570,150,65,164
RI,25/04/2020,49,356,18,39,69
VC,25/04/2020,62,1219,187,24,152
