CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,17/04/2020,115.0,5055.0,653.0,32.0,430
AR,17/04/2020,76.0,1986.0,265.0,21.0,113
AS,17/04/2020,46.0,1372.0,115.0,7.0,69
CB,17/04/2020,33.0,864.0,76.0,7.0,121
CE,17/04/2020,1.0,9.0,4.0,0.0,38
CL,17/04/2020,514.0,6065.0,291.0,42.0,353
CM,17/04/2020,651.0,7922.0,497.0,52.0,414
CN,17/04/2020,19.0,772.0,154.0,3.0,97
CT,17/04/2020,872.0,20215.0,2212.0,196.0,1009
EX,17/04/2020,57.0,1117.0,105.0,16.0,93
GA,17/04/2020,148.0,2453.0,132.0,9.0,141
IB,17/04/2020,31.0,874.0,150.0,4.0,83
MC,17/04/2020,8.0,545.0,97.0,2.0,80
MD,17/04/2020,827.0,9425.0,1161.0,142.0,1383
ML,17/04/2020,1.0,43.0,3.0,0.0,30
NC,17/04/2020,99.0,1736.0,124.0,47.0,103
PV,17/04/2020,249.0,5858.0,462.0,47.0,410
RI,17/04/2020,38.0,1202.0,75.0,7.0,122
VC,17/04/2020,134.0,4488.0,617.0,29.0,424
AN,18/04/2020,115.0,5050.0,653.0,35.0,416
AR,18/04/2020,83.0,2061.0,265.0,24.0,115
AS,18/04/2020,31.0,1362.0,115.0,7.0,68
CB,18/04/2020,35.0,874.0,75.0,7.0,120
CE,18/04/2020,1.0,6.0,4.0,0.0,41
CL,18/04/2020,518.0,6060.0,280.0,43.0,333
CM,18/04/2020,542.0,7244.0,476.0,58.0,457
CN,18/04/2020,19.0,756.0,152.0,3.0,102
CT,18/04/2020,766.0,20543.0,2218.0,144.0,845
EX,18/04/2020,55.0,1117.0,105.0,16.0,94
GA,18/04/2020,146.0,2422.0,125.0,8.0,135
IB,18/04/2020,32.0,878.0,150.0,4.0,71
MC,18/04/2020,11.0,520.0,96.0,2.0,65
MD,18/04/2020,874.0,9490.0,1153.0,147.0,1427
ML,18/04/2020,2.0,40.0,3.0,0.0,34
NC,18/04/2020,91.0,1738.0,124.0,50.0,102
PV,18/04/2020,261.0,5427.0,413.0,47.0,406
RI,18/04/2020,35.0,1203.0,75.0,8.0,103
VC,18/04/2020,112.0,4510.0,612.0,28.0,487
AN,19/04/2020,110.0,5052.0,651.0,25.0,401
AR,19/04/2020,79.0,1988.0,262.0,21.0,54
AS,19/04/2020,35.0,1372.0,113.0,7.0,50
CB,19/04/2020,34.0,871.0,75.0,7.0,117
CE,19/04/2020,1.0,6.0,4.0,0.0,38
CL,19/04/2020,525.0,6055.0,286.0,42.0,346
CM,19/04/2020,562.0,7244.0,477.0,59.0,454
CN,19/04/2020,20.0,771.0,154.0,3.0,95
CT,19/04/2020,718.0,20502.0,2210.0,137.0,855
EX,19/04/2020,59.0,1140.0,102.0,17.0,92
GA,19/04/2020,122.0,2433.0,114.0,9.0,114
IB,19/04/2020,26.0,882.0,150.0,3.0,69
MC,19/04/2020,11.0,520.0,96.0,2.0,77
MD,19/04/2020,845.0,9355.0,1110.0,145.0,1252
ML,19/04/2020,2.0,40.0,3.0,0.0,29
NC,19/04/2020,105.0,1715.0,124.0,49.0,109
PV,19/04/2020,227.0,5384.0,400.0,35.0,432
RI,19/04/2020,36.0,1121.0,74.0,8.0,92
VC,19/04/2020,111.0,4317.0,587.0,29.0,415
AN,20/04/2020,122.0,4892.0,648.0,34.0,392
AR,20/04/2020,80.0,1988.0,257.0,21.0,96
AS,20/04/2020,37.0,1372.0,115.0,7.0,70
CB,20/04/2020,34.0,873.0,75.0,7.0,111
CE,20/04/2020,0.0,6.0,4.0,0.0,41
CL,20/04/2020,508.0,6060.0,254.0,42.0,320
CM,20/04/2020,568.0,7259.0,475.0,58.0,480
CN,20/04/2020,20.0,778.0,154.0,3.0,124
CT,20/04/2020,895.0,20458.0,2230.0,199.0,1128
EX,20/04/2020,62.0,1140.0,98.0,18.0,104
GA,20/04/2020,122.0,2362.0,123.0,10.0,132
IB,20/04/2020,38.0,887.0,150.0,3.0,67
MC,20/04/2020,8.0,518.0,91.0,2.0,127
