CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,01/05/2020,72.0,5647.0,725.0,21.0,263
AR,01/05/2020,35.0,2485.0,256.0,8.0,71
AS,01/05/2020,17.0,1916.0,133.0,3.0,45
CB,01/05/2020,15.0,1007.0,77.0,1.0,74
CE,01/05/2020,0.0,10.0,4.0,0.0,36
CL,01/05/2020,143.0,7944.0,529.0,18.0,99
CM,01/05/2020,70.0,8566.0,592.0,33.0,134
CN,01/05/2020,18.0,905.0,174.0,1.0,49
CT,01/05/2020,487.0,26606.0,2763.0,80.0,258
EX,01/05/2020,21.0,1534.0,108.0,6.0,70
GA,01/05/2020,108.0,2722.0,264.0,17.0,183
IB,01/05/2020,7.0,1083.0,165.0,3.0,60
MC,01/05/2020,5.0,637.0,108.0,1.0,45
MD,01/05/2020,279.0,40149.0,3277.0,55.0,387
ML,01/05/2020,1.0,44.0,3.0,0.0,45
NC,01/05/2020,38.0,1971.0,129.0,9.0,85
PV,01/05/2020,92.0,6582.0,538.0,17.0,210
RI,01/05/2020,14.0,1396.0,84.0,2.0,65
VC,01/05/2020,62.0,4970.0,666.0,15.0,166
AN,02/05/2020,85.0,5632.0,712.0,20.0,258
AR,02/05/2020,35.0,2405.0,254.0,8.0,83
AS,02/05/2020,7.0,1925.0,134.0,3.0,42
CB,02/05/2020,16.0,1007.0,76.0,1.0,67
CE,02/05/2020,0.0,10.0,4.0,0.0,35
CL,02/05/2020,166.0,7935.0,521.0,19.0,100
CM,02/05/2020,63.0,8573.0,592.0,32.0,151
CN,02/05/2020,3.0,904.0,174.0,1.0,43
CT,02/05/2020,374.0,26699.0,2767.0,81.0,229
EX,02/05/2020,22.0,1543.0,108.0,6.0,80
GA,02/05/2020,122.0,2722.0,232.0,17.0,183
IB,02/05/2020,7.0,1081.0,164.0,3.0,45
MC,02/05/2020,3.0,636.0,108.0,1.0,49
MD,02/05/2020,277.0,40099.0,3351.0,53.0,379
ML,02/05/2020,1.0,44.0,3.0,0.0,64
NC,02/05/2020,41.0,1969.0,128.0,8.0,81
PV,02/05/2020,84.0,6578.0,538.0,15.0,222
RI,02/05/2020,13.0,1366.0,84.0,3.0,67
VC,02/05/2020,22.0,4962.0,667.0,11.0,152
AN,03/05/2020,68.0,5632.0,725.0,20.0,239
AR,03/05/2020,34.0,2400.0,251.0,9.0,37
AS,03/05/2020,6.0,1923.0,129.0,2.0,36
CB,03/05/2020,16.0,987.0,76.0,2.0,68
CE,03/05/2020,0.0,10.0,4.0,0.0,35
CL,03/05/2020,153.0,7940.0,525.0,19.0,97
CM,03/05/2020,61.0,8570.0,592.0,31.0,157
CN,03/05/2020,3.0,907.0,174.0,1.0,38
CT,03/05/2020,380.0,26557.0,2755.0,93.0,204
EX,03/05/2020,25.0,1539.0,107.0,6.0,78
GA,03/05/2020,122.0,2722.0,259.0,16.0,179
IB,03/05/2020,7.0,1081.0,164.0,3.0,102
MC,03/05/2020,5.0,636.0,108.0,1.0,54
MD,03/05/2020,277.0,40099.0,3351.0,50.0,374
ML,03/05/2020,1.0,44.0,3.0,0.0,64
NC,03/05/2020,27.0,1972.0,128.0,6.0,78
PV,03/05/2020,86.0,6578.0,542.0,15.0,189
RI,03/05/2020,13.0,1366.0,84.0,3.0,70
VC,03/05/2020,21.0,4962.0,668.0,8.0,143
AN,04/05/2020,73.0,5632.0,725.0,21.0,264
AR,04/05/2020,29.0,2336.0,237.0,8.0,134
AS,04/05/2020,7.0,1925.0,129.0,3.0,39
CB,04/05/2020,15.0,1007.0,76.0,1.0,62
CE,04/05/2020,0.0,10.0,4.0,0.0,35
CL,04/05/2020,164.0,7935.0,514.0,19.0,89
CM,04/05/2020,61.0,8570.0,592.0,31.0,145
CN,04/05/2020,3.0,908.0,174.0,1.0,28
CT,04/05/2020,380.0,26601.0,2752.0,80.0,194
EX,04/05/2020,22.0,1539.0,108.0,6.0,72
GA,04/05/2020,113.0,2722.0,279.0,16.0,268
IB,04/05/2020,7.0,1081.0,164.0,4.0,15
MC,04/05/2020,3.0,636.0,108.0,1.0,58
MD,04/05/2020,277.0,40099.0,3352.0,55.0,387
ML,04/05/2020,1.0,44.0,3.0,0.0,58
NC,04/05/2020,28.0,1972.0,128.0,6.0,63
PV,04/05/2020,86.0,6578.0,539.0,15.0,153
RI,04/05/2020,13.0,1336.0,83.0,2.0,68
VC,04/05/2020,32.0,4963.0,667.0,14.0,144
AN,05/05/2020,72.0,5642.0,725.0,20.0,266
AR,05/05/2020,33.0,2348.0,235.0,8.0,39
AS,05/05/2020,7.0,1925.0,127.0,2.0,38
CB,05/05/2020,15.0,1007.0,76.0,1.0,66
CE,05/05/2020,0.0,10.0,4.0,0.0,36
CL,05/05/2020,163.0,7941.0,529.0,18.0,91
CM,05/05/2020,63.0,8567.0,592.0,34.0,138
CN,05/05/2020,4.0,879.0,172.0,1.0,20
CT,05/05/2020,483.0,26610.0,2756.0,80.0,211
EX,05/05/2020,22.0,1539.0,108.0,6.0,71
GA,05/05/2020,117.0,2722.0,261.0,16.0,300
IB,05/05/2020,7.0,1081.0,164.0,3.0,124
MC,05/05/2020,4.0,637.0,108.0,1.0,44
MD,05/05/2020,323.0,40105.0,3356.0,55.0,389
ML,05/05/2020,1.0,44.0,3.0,0.0,50
NC,05/05/2020,28.0,1972.0,128.0,6.0,67
PV,05/05/2020,92.0,6578.0,542.0,19.0,191
RI,05/05/2020,14.0,1270.0,83.0,2.0,57
VC,05/05/2020,37.0,4962.0,666.0,12.0,142
AN,06/05/2020,68.0,5639.0,725.0,20.0,265
AR,06/05/2020,35.0,2339.0,229.0,8.0,154
AS,06/05/2020,9.0,1923.0,126.0,3.0,36
CB,06/05/2020,16.0,1007.0,76.0,1.0,69
CE,06/05/2020,0.0,10.0,4.0,0.0,37
CL,06/05/2020,156.0,7941.0,529.0,18.0,95
CM,06/05/2020,63.0,8570.0,592.0,31.0,128
CN,06/05/2020,4.0,851.0,172.0,1.0,19
CT,06/05/2020,378.0,26610.0,2751.0,81.0,217
EX,06/05/2020,23.0,1553.0,108.0,5.0,68
GA,06/05/2020,110.0,2722.0,240.0,16.0,191
IB,06/05/2020,7.0,1083.0,163.0,4.0,15
MC,06/05/2020,3.0,636.0,108.0,1.0,47
MD,06/05/2020,323.0,40139.0,3357.0,55.0,390
