CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,25/04/2020,80,1540,217,44,162
AR,25/04/2020,52,654,117,39,81
AS,25/04/2020,32,473,112,47,21
CB,25/04/2020,35,287,83,44,92
CE,25/04/2020,28,49,42,59,30
CL,25/04/2020,175,1996,177,62,103
CM,25/04/2020,106,2213,138,69,136
CN,25/04/2020,36,270,103,58,27
CT,25/04/2020,610,6320,673,59,276
EX,25/04/2020,27,419,77,26,63
GA,25/04/2020,102,745,71,35,62
IB,25/04/2020,35,341,40,34,48
MC,25/04/2020,38,207,79,53,55
MD,25/04/2020,221,2005,312,74,353
ML,25/04/2020,25,71,57,30,39
NC,25/04/2020,59,540,48,70,100
PV,25/04/2020,92,1687,177,61,249
RI,25/04/2020,50,399,67,19,42
VC,25/04/2020,77,1316,194,34,124
AN,26/04/2020,113,1553,205,21,225
AR,26/04/2020,54,650,130,21,112
AS,26/04/2020,33,442,140,49,49
CB,26/04/2020,36,290,83,42,101
CE,26/04/2020,28,50,21,67,18
CL,26/04/2020,193,1989,167,77,111
CM,26/04/2020,135,2209,138,80,146
CN,26/04/2020,39,274,112,60,31
CT,26/04/2020,508,6351,675,59,339
EX,26/04/2020,18,416,84,32,100
GA,26/04/2020,107,749,70,12,64
IB,26/04/2020,37,336,154,60,22
MC,26/04/2020,28,205,93,47,62
MD,26/04/2020,303,2018,318,37,384
ML,26/04/2020,21,48,54,57,43
NC,26/04/2020,55,541,74,38,103
PV,26/04/2020,93,1682,182,66,280
RI,26/04/2020,48,402,62,13,44
VC,26/04/2020,79,1317,159,40,191
AN,27/04/2020,73,1554,185,7,162
AR,27/04/2020,54,635,125,4,112
AS,27/04/2020,34,445,138,48,43
CB,27/04/2020,36,296,59,43,98
CE,27/04/2020,29,48,0,52,4
CL,27/04/2020,193,2020,160,65,130
CM,27/04/2020,88,2209,154,76,155
CN,27/04/2020,23,262,115,28,44
CT,27/04/2020,509,6381,674,85,330
EX,27/04/2020,36,413,97,21,94
GA,27/04/2020,131,667,75,86,77
IB,27/04/2020,38,348,40,0,91
MC,27/04/2020,49,207,90,61,49
MD,27/04/2020,301,2018,300,36,366
ML,27/04/2020,18,38,64,1,60
NC,27/04/2020,53,537,38,15,105
PV,27/04/2020,119,1689,196,75,276
RI,27/04/2020,49,404,59,18,43
VC,27/04/2020,78,1294,184,42,181
AN,28/04/2020,147,1523,186,7,230
AR,28/04/2020,55,616,134,4,94
AS,28/04/2020,31,458,97,53,21
CB,28/04/2020,40,300,18,46,98
CE,28/04/2020,29,50,13,45,27
CL,28/04/2020,197,2005,146,75,80
CM,28/04/2020,138,2210,266,32,188
CN,28/04/2020,48,267,115,48,53
CT,28/04/2020,493,6335,673,38,274
EX,28/04/2020,35,397,81,86,68
GA,28/04/2020,124,670,73,2,67
IB,28/04/2020,37,361,95,148,40
MC,28/04/2020,24,209,120,70,56
MD,28/04/2020,312,2013,270,36,349
ML,28/04/2020,31,63,55,99,71
NC,28/04/2020,57,539,62,95,108
PV,28/04/2020,105,1693,150,70,275
RI,28/04/2020,51,403,56,24,44
VC,28/04/2020,80,1277,178,41,207
AN,29/04/2020,79,1462,187,7,163
AR,29/04/2020,52,601,125,4,87
AS,29/04/2020,31,522,45,52,58
CB,29/04/2020,42,322,79,45,99
CE,29/04/2020,29,48,10,24,5
CL,29/04/2020,183,2037,128,73,115
CM,29/04/2020,89,2213,186,13,182
CN,29/04/2020,9,258,114,48,46
CT,29/04/2020,517,6497,672,85,277
EX,29/04/2020,24,370,36,9,99
GA,29/04/2020,125,672,73,63,71
IB,29/04/2020,37,353,61,0,89
MC,29/04/2020,52,209,86,68,41
MD,29/04/2020,296,1994,251,138,332
ML,29/04/2020,14,27,81,0,70
NC,29/04/2020,54,531,47,14,115
PV,29/04/2020,138,1693,175,74,272
RI,29/04/2020,51,397,54,4,43
VC,29/04/2020,86,1272,194,45,165
AN,30/04/2020,146,1366,180,9,212
AR,30/04/2020,69,553,123,8,86
AS,30/04/2020,37,518,41,61,58
CB,30/04/2020,43,299,17,43,81
CE,30/04/2020,30,50,22,11,26
CL,30/04/2020,241,1866,104,82,126
CM,30/04/2020,190,1749,120,14,169
CN,30/04/2020,22,254,110,49,33
CT,30/04/2020,571,5779,622,62,267
EX,30/04/2020,43,336,25,86,82
GA,30/04/2020,131,630,78,3,74
IB,30/04/2020,37,323,37,148,42
MC,30/04/2020,31,197,34,53,61
MD,30/04/2020,362,2503,307,195,476
ML,30/04/2020,46,121,51,102,49
NC,30/04/2020,74,518,71,46,77
PV,30/04/2020,162,1604,121,77,200
RI,30/04/2020,69,368,52,45,54
VC,30/04/2020,112,1195,170,39,176
AN,01/05/2020,97,1370,180,21,146
AR,01/05/2020,68,554,130,87,79
AS,01/05/2020,40,458,57,66,31
CB,01/05/2020,42,317,65,42,82
CE,01/05/2020,30,48,21,25,3
CL,01/05/2020,237,1852,101,76,168
CM,01/05/2020,129,1749,135,15,149
CN,01/05/2020,10,234,109,48,12
CT,01/05/2020,511,5897,622,59,256
EX,01/05/2020,81,336,25,8,53
GA,01/05/2020,134,632,77,134,78
IB,01/05/2020,37,322,65,1,92
MC,01/05/2020,58,198,23,50,27
MD,01/05/2020,313,2493,341,163,487
ML,01/05/2020,15,11,101,0,31
NC,01/05/2020,80,492,30,14,82
PV,01/05/2020,168,1605,195,78,190
RI,01/05/2020,69,357,53,8,55
VC,01/05/2020,109,1196,147,56,141
