CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,27/04/2020,83.0,5710.0,710.0,14.0,194
AR,27/04/2020,37.0,2342.0,253.0,12.0,87
AS,27/04/2020,3.0,1779.0,134.0,7.0,59
CB,27/04/2020,29.0,861.0,73.0,2.0,65
CE,27/04/2020,0.0,10.0,4.0,0.0,27
CL,27/04/2020,234.0,7634.0,506.0,25.0,86
CM,27/04/2020,86.0,8424.0,546.0,39.0,119
CN,27/04/2020,15.0,877.0,169.0,1.0,53
CT,27/04/2020,799.0,25327.0,2633.0,80.0,288
EX,27/04/2020,13.0,1475.0,107.0,6.0,92
GA,27/04/2020,73.0,2734.0,86.0,9.0,60
IB,27/04/2020,9.0,1049.0,163.0,3.0,58
MC,27/04/2020,6.0,625.0,105.0,1.0,64
MD,27/04/2020,297.0,26864.0,2275.0,102.0,321
ML,27/04/2020,1.0,44.0,3.0,0.0,38
NC,27/04/2020,37.0,1929.0,129.0,4.0,86
PV,27/04/2020,94.0,6438.0,529.0,14.0,258
RI,27/04/2020,34.0,1373.0,84.0,5.0,97
VC,27/04/2020,41.0,4946.0,651.0,7.0,131
AN,28/04/2020,97.0,5709.0,705.0,16.0,206
AR,28/04/2020,46.0,2338.0,253.0,13.0,83
AS,28/04/2020,4.0,1766.0,133.0,8.0,79
CB,28/04/2020,19.0,876.0,73.0,3.0,121
CE,28/04/2020,0.0,10.0,4.0,0.0,5
CL,28/04/2020,211.0,7632.0,515.0,27.0,93
CM,28/04/2020,119.0,8422.0,568.0,39.0,134
CN,28/04/2020,14.0,816.0,155.0,1.0,58
CT,28/04/2020,812.0,25248.0,2615.0,88.0,300
EX,28/04/2020,9.0,1479.0,106.0,6.0,87
GA,28/04/2020,180.0,1967.0,128.0,11.0,72
IB,28/04/2020,10.0,1047.0,163.0,3.0,73
MC,28/04/2020,2.0,626.0,104.0,1.0,63
MD,28/04/2020,298.0,26609.0,2219.0,103.0,290
ML,28/04/2020,1.0,44.0,3.0,0.0,36
NC,28/04/2020,39.0,1923.0,127.0,3.0,97
PV,28/04/2020,106.0,6436.0,527.0,15.0,270
RI,28/04/2020,35.0,1370.0,84.0,5.0,42
VC,28/04/2020,78.0,4807.0,629.0,8.0,149
AN,29/04/2020,96.0,5598.0,701.0,16.0,193
AR,29/04/2020,44.0,2335.0,253.0,14.0,88
AS,29/04/2020,4.0,1766.0,133.0,7.0,81
CB,29/04/2020,18.0,835.0,72.0,4.0,58
CE,29/04/2020,0.0,10.0,4.0,0.0,3
CL,29/04/2020,236.0,7603.0,512.0,26.0,116
CM,29/04/2020,88.0,8422.0,561.0,41.0,161
CN,29/04/2020,14.0,817.0,155.0,1.0,54
CT,29/04/2020,713.0,25188.0,2611.0,87.0,282
EX,29/04/2020,14.0,1484.0,106.0,5.0,88
GA,29/04/2020,169.0,1971.0,112.0,11.0,69
IB,29/04/2020,10.0,1053.0,162.0,3.0,77
MC,29/04/2020,2.0,626.0,104.0,1.0,64
MD,29/04/2020,295.0,26864.0,2104.0,103.0,281
ML,29/04/2020,1.0,44.0,3.0,0.0,42
NC,29/04/2020,53.0,1928.0,126.0,4.0,90
PV,29/04/2020,113.0,6416.0,526.0,14.0,300
RI,29/04/2020,37.0,1366.0,83.0,7.0,95
VC,29/04/2020,77.0,4792.0,612.0,12.0,179
AN,30/04/2020,126.0,5326.0,694.0,15.0,221
AR,30/04/2020,44.0,2340.0,253.0,12.0,86
AS,30/04/2020,4.0,1791.0,133.0,7.0,64
CB,30/04/2020,35.0,830.0,72.0,3.0,53
CE,30/04/2020,0.0,10.0,4.0,0.0,3
CL,30/04/2020,236.0,7637.0,512.0,27.0,109
CM,30/04/2020,90.0,8421.0,569.0,41.0,150
CN,30/04/2020,14.0,817.0,155.0,1.0,46
CT,30/04/2020,815.0,25239.0,2591.0,76.0,340
EX,30/04/2020,13.0,1478.0,106.0,5.0,92
GA,30/04/2020,191.0,1979.0,113.0,11.0,65
IB,30/04/2020,12.0,1049.0,161.0,3.0,39
MC,30/04/2020,7.0,626.0,105.0,1.0,64
MD,30/04/2020,292.0,26609.0,2259.0,102.0,260
ML,30/04/2020,1.0,44.0,3.0,0.0,36
NC,30/04/2020,39.0,1931.0,126.0,3.0,94
PV,30/04/2020,110.0,6414.0,528.0,15.0,304
RI,30/04/2020,37.0,1371.0,82.0,7.0,46
VC,30/04/2020,59.0,4803.0,608.0,8.0,161
AN,01/05/2020,90.0,5233.0,695.0,16.0,159
AR,01/05/2020,44.0,2340.0,252.0,12.0,75
AS,01/05/2020,4.0,1803.0,134.0,8.0,18
CB,01/05/2020,30.0,832.0,72.0,3.0,42
CE,01/05/2020,0.0,10.0,4.0,0.0,31
CL,01/05/2020,229.0,7613.0,512.0,27.0,128
CM,01/05/2020,83.0,8424.0,571.0,38.0,131
CN,01/05/2020,16.0,815.0,154.0,1.0,35
CT,01/05/2020,738.0,25318.0,2627.0,76.0,303
EX,01/05/2020,9.0,1479.0,106.0,5.0,63
GA,01/05/2020,156.0,1971.0,111.0,11.0,71
IB,01/05/2020,10.0,1049.0,162.0,3.0,50
MC,01/05/2020,3.0,626.0,104.0,1.0,63
MD,01/05/2020,295.0,28902.0,2367.0,101.0,342
ML,01/05/2020,1.0,44.0,3.0,0.0,39
NC,01/05/2020,59.0,1908.0,126.0,3.0,77
PV,01/05/2020,87.0,6442.0,529.0,14.0,200
RI,01/05/2020,37.0,1366.0,79.0,7.0,122
VC,01/05/2020,71.0,4784.0,608.0,11.0,168
AN,02/05/2020,98.0,5232.0,692.0,14.0,195
AR,02/05/2020,40.0,2341.0,251.0,12.0,68
AS,02/05/2020,3.0,1803.0,134.0,6.0,9
CB,02/05/2020,27.0,823.0,72.0,2.0,38
CE,02/05/2020,0.0,10.0,4.0,0.0,73
CL,02/05/2020,234.0,7634.0,490.0,26.0,121
CM,02/05/2020,86.0,8424.0,562.0,39.0,126
CN,02/05/2020,13.0,814.0,153.0,1.0,22
CT,02/05/2020,604.0,25188.0,2612.0,81.0,280
EX,02/05/2020,14.0,1468.0,106.0,5.0,67
GA,02/05/2020,178.0,1979.0,111.0,12.0,70
IB,02/05/2020,8.0,1053.0,162.0,3.0,76
MC,02/05/2020,7.0,626.0,105.0,1.0,62
MD,02/05/2020,292.0,28647.0,2556.0,96.0,319
ML,02/05/2020,1.0,44.0,3.0,0.0,36
NC,02/05/2020,53.0,1907.0,124.0,3.0,71
PV,02/05/2020,83.0,6438.0,529.0,14.0,179
RI,02/05/2020,34.0,1372.0,79.0,5.0,51
VC,02/05/2020,57.0,4787.0,608.0,8.0,153
AN,03/05/2020,90.0,5232.0,695.0,14.0,146
AR,03/05/2020,40.0,2272.0,249.0,11.0,65
AS,03/05/2020,3.0,1803.0,132.0,5.0,5
CB,03/05/2020,31.0,816.0,71.0,3.0,75
CE,03/05/2020,0.0,10.0,4.0,0.0,41
CL,03/05/2020,234.0,7634.0,493.0,26.0,124
CM,03/05/2020,86.0,8424.0,546.0,39.0,130
CN,03/05/2020,14.0,817.0,155.0,1.0,8
CT,03/05/2020,711.0,25178.0,2606.0,94.0,253
