CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,24/04/2020,105,1507,210,66,134
AR,24/04/2020,49,649,105,48,109
AS,24/04/2020,29,458,73,41,42
CB,24/04/2020,42,263,66,41,79
CE,24/04/2020,12,50,37,34,46
CL,24/04/2020,132,1972,168,38,114
CM,24/04/2020,104,2196,201,63,118
CN,24/04/2020,35,267,101,59,50
CT,24/04/2020,523,6222,666,63,326
EX,24/04/2020,25,399,73,42,83
GA,24/04/2020,107,740,72,42,52
IB,24/04/2020,40,317,111,21,42
MC,24/04/2020,24,208,73,42,47
MD,24/04/2020,315,1811,271,72,365
ML,24/04/2020,31,37,53,50,51
NC,24/04/2020,49,520,105,18,95
PV,24/04/2020,93,1663,160,55,246
RI,24/04/2020,50,357,84,38,46
VC,24/04/2020,67,1307,213,46,186
AN,25/04/2020,98,1504,210,25,138
AR,25/04/2020,50,652,110,48,102
AS,25/04/2020,23,457,91,34,41
CB,25/04/2020,44,288,63,52,78
CE,25/04/2020,40,51,68,47,61
CL,25/04/2020,130,1948,168,8,115
CM,25/04/2020,132,2198,217,66,132
CN,25/04/2020,44,264,107,75,40
CT,25/04/2020,546,6236,670,71,373
EX,25/04/2020,8,417,72,47,76
GA,25/04/2020,105,737,72,47,53
IB,25/04/2020,40,328,70,71,43
MC,25/04/2020,20,212,71,44,47
MD,25/04/2020,369,2121,301,82,384
ML,25/04/2020,31,31,47,53,59
NC,25/04/2020,52,527,116,11,106
PV,25/04/2020,118,1666,193,58,226
RI,25/04/2020,48,393,82,46,43
VC,25/04/2020,66,1284,197,49,196
AN,26/04/2020,97,1516,212,100,133
AR,26/04/2020,53,655,99,47,127
AS,26/04/2020,9,447,41,21,41
CB,26/04/2020,39,254,56,32,79
CE,26/04/2020,0,52,54,23,37
CL,26/04/2020,167,1944,162,16,102
CM,26/04/2020,100,2196,196,72,133
CN,26/04/2020,33,268,103,73,86
CT,26/04/2020,524,6209,672,66,350
EX,26/04/2020,4,364,73,35,77
GA,26/04/2020,111,737,75,35,52
IB,26/04/2020,40,335,72,57,35
MC,26/04/2020,16,203,64,41,52
MD,26/04/2020,397,2105,273,84,400
ML,26/04/2020,38,46,60,50,62
NC,26/04/2020,59,511,76,21,73
PV,26/04/2020,67,1683,146,58,192
RI,26/04/2020,32,387,72,51,23
VC,26/04/2020,63,1295,213,40,157
AN,27/04/2020,112,1496,212,32,144
AR,27/04/2020,54,660,128,47,133
AS,27/04/2020,6,453,71,24,41
CB,27/04/2020,44,286,51,88,77
CE,27/04/2020,56,55,68,0,31
CL,27/04/2020,188,1969,172,20,119
CM,27/04/2020,108,2198,190,74,129
CN,27/04/2020,59,267,68,54,22
CT,27/04/2020,534,6208,670,88,348
EX,27/04/2020,11,368,74,45,79
GA,27/04/2020,122,639,70,57,56
IB,27/04/2020,39,342,62,7,37
MC,27/04/2020,9,241,53,45,52
MD,27/04/2020,357,2126,286,85,396
ML,27/04/2020,37,19,34,33,66
NC,27/04/2020,62,531,31,28,157
PV,27/04/2020,156,1676,161,50,212
RI,27/04/2020,21,343,72,38,17
VC,27/04/2020,66,1283,158,45,240
AN,28/04/2020,111,1514,212,98,138
AR,28/04/2020,51,660,75,48,121
AS,28/04/2020,7,443,64,25,40
CB,28/04/2020,37,270,50,1,75
CE,28/04/2020,0,61,8,0,35
CL,28/04/2020,203,1974,163,12,123
CM,28/04/2020,114,2204,201,75,148
CN,28/04/2020,22,267,42,46,95
CT,28/04/2020,529,6214,666,61,336
EX,28/04/2020,12,366,73,35,94
GA,28/04/2020,123,643,78,2,59
IB,28/04/2020,40,344,81,40,40
MC,28/04/2020,2,202,53,38,43
MD,28/04/2020,369,2110,252,84,397
ML,28/04/2020,36,50,81,0,66
NC,28/04/2020,72,483,30,31,71
PV,28/04/2020,102,1663,131,34,224
RI,28/04/2020,19,387,79,57,17
VC,28/04/2020,64,1285,194,36,195
AN,29/04/2020,101,1433,212,32,141
AR,29/04/2020,51,656,149,48,131
AS,29/04/2020,25,455,82,26,37
CB,29/04/2020,54,296,46,130,81
CE,29/04/2020,56,74,117,0,62
CL,29/04/2020,155,1982,172,21,121
CM,29/04/2020,101,2204,193,76,158
CN,29/04/2020,60,268,39,54,21
CT,29/04/2020,547,6235,665,68,335
EX,29/04/2020,16,361,72,47,95
GA,29/04/2020,123,644,67,3,58
IB,29/04/2020,39,347,74,62,43
MC,29/04/2020,15,202,42,45,59
MD,29/04/2020,334,2105,307,84,357
ML,29/04/2020,34,34,0,0,63
NC,29/04/2020,65,511,30,40,156
PV,29/04/2020,106,1670,135,30,242
RI,29/04/2020,21,395,88,51,28
VC,29/04/2020,65,1268,155,55,195
AN,30/04/2020,115,1351,202,95,124
AR,30/04/2020,68,594,101,48,66
AS,30/04/2020,80,398,36,26,31
CB,30/04/2020,52,226,53,1,63
CE,30/04/2020,1,93,29,20,73
CL,30/04/2020,217,1795,137,11,139
CM,30/04/2020,195,1822,185,79,152
CN,30/04/2020,22,253,44,71,98
CT,30/04/2020,596,5623,611,69,362
EX,30/04/2020,39,322,72,39,69
GA,30/04/2020,125,602,81,22,56
IB,30/04/2020,44,320,91,18,42
MC,30/04/2020,35,196,56,36,64
MD,30/04/2020,423,2690,292,91,484
ML,30/04/2020,36,40,93,11,61
NC,30/04/2020,96,515,70,55,59
PV,30/04/2020,139,1591,136,44,165
RI,30/04/2020,32,341,70,42,51
VC,30/04/2020,120,1183,179,47,125
