CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,29/04/2020,81.0,5797.0,716.0,16.0,163
AR,29/04/2020,30.0,2442.0,258.0,10.0,90
AS,29/04/2020,14.0,1838.0,136.0,6.0,53
CB,29/04/2020,21.0,950.0,79.0,3.0,70
CE,29/04/2020,1.0,10.0,4.0,0.0,18
CL,29/04/2020,150.0,7763.0,519.0,25.0,86
CM,29/04/2020,63.0,8486.0,582.0,39.0,93
CN,29/04/2020,13.0,901.0,169.0,2.0,43
CT,29/04/2020,518.0,25793.0,2690.0,102.0,338
EX,29/04/2020,13.0,1497.0,107.0,6.0,87
GA,29/04/2020,70.0,2586.0,181.0,62.0,478
IB,29/04/2020,10.0,1073.0,164.0,3.0,42
MC,29/04/2020,7.0,632.0,106.0,1.0,65
MD,29/04/2020,298.0,38747.0,2905.0,67.0,234
ML,29/04/2020,1.0,44.0,3.0,0.0,31
NC,29/04/2020,49.0,1948.0,127.0,13.0,78
PV,29/04/2020,78.0,6474.0,536.0,16.0,266
RI,29/04/2020,19.0,1379.0,86.0,7.0,46
VC,29/04/2020,53.0,5045.0,634.0,18.0,130
AN,30/04/2020,130.0,5415.0,715.0,18.0,157
AR,30/04/2020,30.0,2435.0,257.0,6.0,80
AS,30/04/2020,12.0,1836.0,136.0,7.0,64
CB,30/04/2020,26.0,947.0,78.0,3.0,58
CE,30/04/2020,1.0,10.0,4.0,0.0,22
CL,30/04/2020,147.0,7821.0,519.0,25.0,115
CM,30/04/2020,70.0,8491.0,582.0,39.0,117
CN,30/04/2020,13.0,900.0,169.0,2.0,55
CT,30/04/2020,651.0,26175.0,2688.0,96.0,355
EX,30/04/2020,11.0,1495.0,107.0,6.0,88
GA,30/04/2020,69.0,2583.0,155.0,62.0,475
IB,30/04/2020,10.0,1075.0,164.0,3.0,41
MC,30/04/2020,6.0,632.0,106.0,1.0,69
MD,30/04/2020,293.0,38786.0,3134.0,67.0,235
ML,30/04/2020,1.0,44.0,3.0,0.0,37
NC,30/04/2020,31.0,1947.0,127.0,11.0,86
PV,30/04/2020,67.0,6458.0,536.0,17.0,256
RI,30/04/2020,19.0,1380.0,85.0,6.0,36
VC,30/04/2020,41.0,5052.0,632.0,14.0,114
AN,01/05/2020,80.0,5105.0,716.0,17.0,148
AR,01/05/2020,32.0,2379.0,255.0,6.0,86
AS,01/05/2020,14.0,1838.0,134.0,7.0,89
CB,01/05/2020,22.0,947.0,78.0,3.0,37
CE,01/05/2020,1.0,10.0,4.0,0.0,14
CL,01/05/2020,150.0,7763.0,519.0,25.0,112
CM,01/05/2020,70.0,8488.0,583.0,37.0,126
CN,01/05/2020,16.0,900.0,168.0,1.0,47
CT,01/05/2020,626.0,26041.0,2710.0,90.0,398
EX,01/05/2020,12.0,1516.0,107.0,6.0,96
GA,01/05/2020,65.0,2587.0,154.0,62.0,480
IB,01/05/2020,10.0,1073.0,164.0,3.0,38
MC,01/05/2020,7.0,632.0,106.0,1.0,66
MD,01/05/2020,296.0,38747.0,2961.0,67.0,377
ML,01/05/2020,1.0,44.0,3.0,0.0,32
NC,01/05/2020,52.0,1949.0,126.0,11.0,82
PV,01/05/2020,67.0,6492.0,538.0,15.0,223
RI,01/05/2020,19.0,1352.0,81.0,6.0,31
VC,01/05/2020,50.0,5041.0,631.0,17.0,154
AN,02/05/2020,83.0,5065.0,716.0,16.0,167
AR,02/05/2020,29.0,2389.0,255.0,7.0,83
AS,02/05/2020,14.0,1843.0,131.0,6.0,70
CB,02/05/2020,22.0,947.0,78.0,3.0,55
CE,02/05/2020,1.0,10.0,4.0,0.0,21
CL,02/05/2020,164.0,7558.0,506.0,23.0,118
CM,02/05/2020,70.0,8493.0,584.0,37.0,172
CN,02/05/2020,13.0,900.0,168.0,1.0,70
CT,02/05/2020,506.0,26105.0,2707.0,97.0,393
EX,02/05/2020,14.0,1500.0,107.0,6.0,56
GA,02/05/2020,74.0,2587.0,155.0,63.0,489
IB,02/05/2020,10.0,1073.0,161.0,3.0,40
MC,02/05/2020,5.0,631.0,106.0,1.0,72
MD,02/05/2020,293.0,38767.0,3188.0,66.0,372
ML,02/05/2020,1.0,44.0,3.0,0.0,44
NC,02/05/2020,47.0,1945.0,125.0,12.0,76
PV,02/05/2020,59.0,6490.0,538.0,14.0,219
RI,02/05/2020,15.0,1348.0,82.0,6.0,20
VC,02/05/2020,38.0,5051.0,632.0,15.0,132
AN,03/05/2020,77.0,5065.0,717.0,16.0,150
AR,03/05/2020,29.0,2328.0,253.0,7.0,84
AS,03/05/2020,14.0,1837.0,130.0,5.0,59
CB,03/05/2020,26.0,947.0,78.0,3.0,71
CE,03/05/2020,1.0,10.0,4.0,0.0,2
CL,03/05/2020,166.0,7558.0,509.0,23.0,142
CM,03/05/2020,81.0,8492.0,574.0,36.0,108
CN,03/05/2020,13.0,900.0,169.0,2.0,39
CT,03/05/2020,571.0,25732.0,2691.0,109.0,418
EX,03/05/2020,14.0,1502.0,107.0,6.0,148
GA,03/05/2020,76.0,2586.0,157.0,62.0,493
IB,03/05/2020,11.0,1070.0,161.0,3.0,40
MC,03/05/2020,7.0,631.0,106.0,1.0,66
MD,03/05/2020,293.0,38767.0,3188.0,65.0,365
ML,03/05/2020,1.0,44.0,3.0,0.0,45
NC,03/05/2020,42.0,1861.0,125.0,10.0,78
PV,03/05/2020,58.0,6490.0,534.0,14.0,216
RI,03/05/2020,15.0,1348.0,82.0,5.0,20
VC,03/05/2020,30.0,5050.0,632.0,12.0,129
AN,04/05/2020,81.0,5050.0,717.0,16.0,126
AR,04/05/2020,27.0,2191.0,240.0,7.0,94
AS,04/05/2020,14.0,1843.0,130.0,6.0,71
CB,04/05/2020,22.0,946.0,78.0,3.0,76
CE,04/05/2020,1.0,10.0,4.0,0.0,36
