CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,21/04/2020,104,1447,198,43,138
AR,21/04/2020,55,613,81,35,98
AS,21/04/2020,19,456,84,28,42
CB,21/04/2020,44,291,66,47,57
CE,21/04/2020,30,50,51,35,31
CL,21/04/2020,141,1879,164,46,92
CM,21/04/2020,128,2138,198,55,139
CN,21/04/2020,31,261,82,42,34
CT,21/04/2020,633,5907,629,80,329
EX,21/04/2020,23,347,84,42,71
GA,21/04/2020,113,710,64,32,44
IB,21/04/2020,43,298,86,48,37
MC,21/04/2020,29,204,35,42,39
MD,21/04/2020,395,2124,274,86,355
ML,21/04/2020,25,58,43,37,15
NC,21/04/2020,47,514,83,45,83
PV,21/04/2020,90,1611,164,42,177
RI,21/04/2020,44,389,53,38,52
VC,21/04/2020,60,1302,195,41,132
AN,22/04/2020,95,1432,163,19,132
AR,22/04/2020,54,618,60,41,99
AS,22/04/2020,22,459,68,48,38
CB,22/04/2020,47,295,66,54,52
CE,22/04/2020,31,55,67,34,30
CL,22/04/2020,127,1893,166,43,94
CM,22/04/2020,209,2143,166,50,154
CN,22/04/2020,28,261,73,41,68
CT,22/04/2020,625,5948,633,76,291
EX,22/04/2020,25,411,88,45,69
GA,22/04/2020,110,712,67,57,47
IB,22/04/2020,54,295,87,51,38
MC,22/04/2020,31,204,39,44,38
MD,22/04/2020,388,2132,284,65,362
ML,22/04/2020,26,58,45,38,37
NC,22/04/2020,40,523,90,46,82
PV,22/04/2020,72,1612,155,22,154
RI,22/04/2020,43,389,56,56,66
VC,22/04/2020,71,1289,188,41,132
AN,23/04/2020,100,1429,161,7,109
AR,23/04/2020,59,617,59,34,101
AS,23/04/2020,29,466,98,57,44
CB,23/04/2020,46,290,66,56,55
CE,23/04/2020,33,65,70,25,28
CL,23/04/2020,136,1892,164,44,92
CM,23/04/2020,106,2147,242,43,136
CN,23/04/2020,16,261,89,41,95
CT,23/04/2020,654,5932,630,70,307
EX,23/04/2020,33,371,86,42,78
GA,23/04/2020,108,709,57,28,39
IB,23/04/2020,46,296,89,57,40
MC,23/04/2020,25,204,27,43,34
MD,23/04/2020,391,2106,252,34,357
ML,23/04/2020,24,57,43,36,18
NC,23/04/2020,22,469,89,47,83
PV,23/04/2020,82,1614,153,26,132
RI,23/04/2020,41,398,59,43,67
VC,23/04/2020,62,1283,185,49,130
AN,24/04/2020,102,1405,160,6,97
AR,24/04/2020,69,618,102,34,107
AS,24/04/2020,38,461,29,27,33
CB,24/04/2020,41,285,66,55,57
CE,24/04/2020,31,67,56,21,28
CL,24/04/2020,124,1898,167,43,92
CM,24/04/2020,163,2142,160,52,125
CN,24/04/2020,8,262,124,41,63
CT,24/04/2020,600,5911,639,64,257
EX,24/04/2020,42,371,84,47,41
GA,24/04/2020,104,713,81,84,61
IB,24/04/2020,51,297,90,58,34
MC,24/04/2020,45,204,30,45,44
MD,24/04/2020,315,2103,253,48,346
ML,24/04/2020,26,57,45,37,36
NC,24/04/2020,25,509,81,50,79
PV,24/04/2020,77,1616,161,36,116
RI,24/04/2020,43,395,58,64,64
VC,24/04/2020,72,1320,184,42,101
AN,25/04/2020,94,1424,160,4,90
AR,25/04/2020,77,618,203,43,103
AS,25/04/2020,39,440,151,37,39
CB,25/04/2020,42,284,65,53,53
CE,25/04/2020,36,66,47,34,31
CL,25/04/2020,121,1892,164,44,88
CM,25/04/2020,90,2145,205,75,145
CN,25/04/2020,9,262,119,42,22
CT,25/04/2020,661,5963,629,69,295
EX,25/04/2020,30,381,85,44,103
GA,25/04/2020,110,712,69,44,38
IB,25/04/2020,59,298,92,42,39
MC,25/04/2020,18,204,23,42,61
MD,25/04/2020,286,2263,284,41,355
ML,25/04/2020,24,56,42,36,11
NC,25/04/2020,23,458,68,59,90
PV,25/04/2020,67,1617,155,6,110
RI,25/04/2020,41,409,57,55,55
VC,25/04/2020,56,1308,183,39,105
AN,26/04/2020,93,1453,158,4,105
AR,26/04/2020,57,615,142,34,101
AS,26/04/2020,26,419,33,29,33
CB,26/04/2020,48,283,65,50,54
CE,26/04/2020,31,62,31,31,32
CL,26/04/2020,126,1885,164,43,96
CM,26/04/2020,163,2127,153,87,119
CN,26/04/2020,29,262,84,42,31
CT,26/04/2020,676,5896,653,79,348
EX,26/04/2020,27,378,85,46,44
GA,26/04/2020,114,710,64,111,49
IB,26/04/2020,63,296,91,31,20
MC,26/04/2020,56,204,23,46,66
MD,26/04/2020,415,2302,277,83,381
ML,26/04/2020,26,57,45,37,30
NC,26/04/2020,21,512,66,72,82
PV,26/04/2020,56,1609,162,50,109
RI,26/04/2020,40,396,57,67,45
VC,26/04/2020,75,1231,188,47,105
AN,27/04/2020,99,1397,174,5,105
AR,27/04/2020,46,615,59,37,104
AS,27/04/2020,11,425,72,41,45
CB,27/04/2020,44,284,65,46,53
CE,27/04/2020,39,53,11,24,34
CL,27/04/2020,149,1885,166,43,68
CM,27/04/2020,118,2128,196,90,126
CN,27/04/2020,48,262,124,41,39
CT,27/04/2020,661,5923,610,83,388
EX,27/04/2020,35,359,85,43,99
GA,27/04/2020,128,627,69,43,52
IB,27/04/2020,66,295,95,21,10
MC,27/04/2020,17,204,23,40,46
MD,27/04/2020,417,2298,279,112,390
ML,27/04/2020,23,56,42,36,17
NC,27/04/2020,21,456,50,76,86
PV,27/04/2020,70,1610,147,32,125
RI,27/04/2020,40,399,58,54,19
VC,27/04/2020,56,1292,200,43,130
