CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,30/04/2020,107.0,5270.0,714.0,17.0,452
AR,30/04/2020,37.0,2458.0,258.0,6.0,177
AS,30/04/2020,15.0,1892.0,136.0,7.0,81
CB,30/04/2020,29.0,999.0,77.0,1.0,147
CE,30/04/2020,0.0,10.0,4.0,0.0,30
CL,30/04/2020,177.0,7866.0,525.0,19.0,199
CM,30/04/2020,53.0,8527.0,584.0,33.0,279
CN,30/04/2020,6.0,903.0,174.0,1.0,79
CT,30/04/2020,576.0,26446.0,2762.0,77.0,961
EX,30/04/2020,12.0,1516.0,108.0,5.0,167
GA,30/04/2020,53.0,2684.0,208.0,33.0,2079
IB,30/04/2020,15.0,1078.0,164.0,3.0,118
MC,30/04/2020,7.0,634.0,107.0,0.0,149
MD,30/04/2020,391.0,39930.0,3257.0,68.0,590
ML,30/04/2020,1.0,44.0,3.0,0.0,43
NC,30/04/2020,26.0,1957.0,130.0,7.0,162
PV,30/04/2020,71.0,6511.0,538.0,22.0,611
RI,30/04/2020,17.0,1412.0,86.0,3.0,92
VC,30/04/2020,50.0,4960.0,648.0,14.0,281
AN,01/05/2020,78.0,5167.0,716.0,18.0,505
AR,01/05/2020,40.0,2451.0,254.0,6.0,158
AS,01/05/2020,15.0,1887.0,133.0,7.0,93
CB,01/05/2020,30.0,999.0,77.0,1.0,163
CE,01/05/2020,0.0,10.0,4.0,0.0,12
CL,01/05/2020,183.0,7872.0,525.0,19.0,260
CM,01/05/2020,56.0,8533.0,586.0,31.0,336
CN,01/05/2020,8.0,899.0,173.0,1.0,57
CT,01/05/2020,543.0,26336.0,2742.0,77.0,1027
EX,01/05/2020,17.0,1518.0,108.0,6.0,151
GA,01/05/2020,55.0,2545.0,216.0,32.0,865
IB,01/05/2020,15.0,1076.0,164.0,3.0,124
MC,01/05/2020,6.0,634.0,107.0,0.0,91
MD,01/05/2020,316.0,38868.0,3177.0,68.0,920
ML,01/05/2020,1.0,44.0,3.0,0.0,46
NC,01/05/2020,40.0,1957.0,127.0,8.0,144
PV,01/05/2020,68.0,6515.0,539.0,20.0,500
RI,01/05/2020,17.0,1325.0,85.0,3.0,121
VC,01/05/2020,70.0,4805.0,640.0,17.0,424
AN,02/05/2020,80.0,5158.0,712.0,18.0,493
AR,02/05/2020,37.0,2416.0,254.0,6.0,137
AS,02/05/2020,13.0,1885.0,131.0,6.0,100
CB,02/05/2020,24.0,999.0,76.0,1.0,123
CE,02/05/2020,0.0,10.0,4.0,0.0,12
CL,02/05/2020,206.0,7866.0,518.0,19.0,259
CM,02/05/2020,67.0,8539.0,588.0,29.0,333
CN,02/05/2020,10.0,903.0,173.0,1.0,22
CT,02/05/2020,384.0,26416.0,2752.0,81.0,1000
EX,02/05/2020,19.0,1520.0,108.0,6.0,171
GA,02/05/2020,70.0,2545.0,179.0,33.0,733
IB,02/05/2020,16.0,1070.0,164.0,3.0,113
MC,02/05/2020,7.0,634.0,107.0,0.0,116
MD,02/05/2020,376.0,39849.0,3270.0,68.0,902
ML,02/05/2020,1.0,44.0,3.0,0.0,47
NC,02/05/2020,42.0,1955.0,125.0,8.0,124
PV,02/05/2020,65.0,6515.0,539.0,16.0,488
RI,02/05/2020,13.0,1290.0,84.0,4.0,118
VC,02/05/2020,52.0,4800.0,640.0,15.0,321
AN,03/05/2020,70.0,5158.0,716.0,17.0,444
AR,03/05/2020,37.0,2353.0,252.0,7.0,131
