CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,23/04/2020,52.1593,36.9713,2.051,92.3404,71.9264,111,5679,715,68,232
AR,23/04/2020,41.2056,66.5945,71.8584,81.608,70.6477,14,2306,184,67,78
AS,23/04/2020,57.2266,70.3252,51.8141,86.1506,66.4917,44,1690,81,78,38
CB,23/04/2020,60.498999999999995,61.0764,57.3384,71.5102,75.9597,44,921,21,67,58
CE,23/04/2020,61.8438,100.2946,55.4797,71.7115,97.8415,61,90,51,71,83
CL,23/04/2020,69.8695,41.158,64.5267,99.0337,79.8841,229,7514,447,72,11
CM,23/04/2020,67.399,58.4437,94.5602,67.314,51.0268,77,8327,465,30,43
CN,23/04/2020,61.3002,32.6782,49.7004,44.8349,55.9659,46,846,122,42,36
CT,23/04/2020,49.7566,63.8487,55.823,50.0865,56.6061,668,24067,2521,55,559
EX,23/04/2020,67.7864,38.6202,63.9699,66.679,51.6767,67,1409,44,61,101
GA,23/04/2020,50.9498,70.6575,55.9851,54.5512,59.3082,134,2652,35,48,6
IB,23/04/2020,66.6334,48.1602,69.8717,56.9704,67.7659,40,1010,97,54,46
MC,23/04/2020,36.5133,14.8877,132.0688,62.9562,48.3501,36,611,27,61,3
MD,23/04/2020,54.7768,65.7047,82.9615,64.0857,58.9112,455,6118,810,19,632
ML,23/04/2020,64.7597,66.3443,40.315,36.6282,53.8019,63,22,37,36,37
NC,23/04/2020,75.8818,38.9663,74.4101,24.7711,84.1498,29,1899,55,12,101
PV,23/04/2020,63.2598,85.7805,44.2632,47.6292,36.2197,99,6290,481,28,446
RI,23/04/2020,57.8686,67.7344,46.8233,48.0754,63.2913,26,1293,37,44,28
VC,23/04/2020,30.7483,62.4961,51.3418,66.1703,78.375,97,4916,602,41,146
AN,24/04/2020,96.8888,46.0146,28.4027,116.2857,45.1116,28,5701,688,102,401
AR,24/04/2020,67.4651,67.0015,116.0563,129.2588,83.76799999999999,34,2328,141,126,52
AS,24/04/2020,62.5126,88.8293,51.3487,56.2498,66.0769,60,1702,83,46,33
CB,24/04/2020,41.4665,50.5992,47.1151,78.7934,79.4051,29,941,31,77,2
CE,24/04/2020,61.181999999999995,130.2412,64.1716,54.527,84.1221,61,120,60,54,78
CL,24/04/2020,71.5442,39.1278,64.4635,39.4632,126.8421,161,7614,451,12,49
CM,24/04/2020,75.0701,53.1448,8.8592,55.016999999999996,34.2559,25,8364,557,17,286
CN,24/04/2020,66.6892,14.4721,110.588,31.2313,55.5794,54,866,61,30,43
CT,24/04/2020,69.7211,63.5949,57.6609,62.4492,57.0656,481,25602,2526,6,196
EX,24/04/2020,95.2564,106.5768,65.1572,67.083,39.7446,77,1374,42,61,33
GA,24/04/2020,48.5658,81.988,44.0489,34.2961,61.5078,12,2654,41,28,41
IB,24/04/2020,75.0621,62.13,68.8683,61.0944,49.199,68,1000,98,60,28
MC,24/04/2020,111.3212,69.6042,135.9864,64.2553,0.0,105,558,29,63,78
MD,24/04/2020,55.3292,64.9789,126.1033,64.1065,58.4419,175,5828,747,10,407
ML,24/04/2020,61.8562,62.1617,12.1971,38.0804,22.2296,59,18,9,38,18
NC,24/04/2020,95.4242,148.2115,72.9009,0.0,96.6475,10,1794,57,2,2
PV,24/04/2020,63.0243,108.675,54.5607,19.1744,33.1017,26,6318,479,1,628
RI,24/04/2020,56.5659,60.9473,131.0377,39.2635,63.7361,16,1320,47,35,25
VC,24/04/2020,78.3469,62.5206,52.2019,69.332,55.9592,16,4951,602,55,155
AN,25/04/2020,0.0,62.355,48.9083,92.1508,70.467,76,5705,672,80,79
AR,25/04/2020,2.755,67.2907,119.5425,144.0617,100.2398,28,2336,138,130,50
AS,25/04/2020,72.8276,91.6194,46.4867,93.34200000000001,70.9206,70,1723,91,89,60
CB,25/04/2020,0.0,40.0743,33.4424,83.5123,76.6019,21,955,45,80,38
CE,25/04/2020,60.031000000000006,135.2849,54.9932,117.5529,30.7123,60,125,50,117,27
CL,25/04/2020,81.7666,38.9199,69.7436,67.1123,145.4354,101,7665,449,43,81
CM,25/04/2020,91.5454,59.6875,151.0296,89.6036,0.0,36,8385,428,54,86
CN,25/04/2020,57.3005,87.7768,6.5456,0.0,56.0721,46,794,165,0,56
CT,25/04/2020,39.6902,62.424,44.5959,44.6888,58.4644,905,25737,2680,89,833
EX,25/04/2020,117.1714,10.3054,66.6555,70.6403,20.3697,104,1480,41,64,50
GA,25/04/2020,68.5111,88.5514,65.833,11.4026,58.5504,6,2658,18,0,45
IB,25/04/2020,83.6962,56.228,68.4049,59.4344,96.83200000000001,78,1006,98,55,83
MC,25/04/2020,21.8136,0.0,119.8918,63.2616,0.0,21,627,13,62,70
MD,25/04/2020,62.1483,71.306,128.1152,64.1903,58.7506,70,39401,3181,0,140
ML,25/04/2020,69.793,76.6569,0.0,32.7478,0.0,69,32,3,32,6
NC,25/04/2020,103.7851,15.0421,88.3289,74.4416,96.3918,82,1927,42,73,13
PV,25/04/2020,62.8516,112.3918,63.0076,22.9355,47.6502,4,6345,475,11,191
RI,25/04/2020,58.0598,88.4444,0.0,44.6293,63.9428,27,1304,85,39,51
VC,25/04/2020,0.0,62.5109,54.1386,67.1987,73.2663,20,4970,602,64,1
AN,26/04/2020,63.3656,63.7461,133.9045,45.4351,19.4133,11,5729,588,34,130
AR,26/04/2020,123.3759,67.3057,117.3949,100.6879,62.655,104,2358,141,91,9
AS,26/04/2020,70.1577,98.0871,45.6626,47.06,66.8113,62,1745,92,39,45
CB,26/04/2020,0.0,16.2572,20.4415,90.0273,68.6231,11,984,58,88,19
CE,26/04/2020,57.7503,138.3193,65.6278,87.685,70.4905,57,128,61,87,67
CL,26/04/2020,71.9619,42.6664,56.8752,0.0,76.9072,114,7735,466,20,25
CM,26/04/2020,89.9505,60.4403,0.0,29.2166,0.0,47,8404,584,2,24
CN,26/04/2020,90.6001,0.0,73.5474,0.0,55.9386,81,900,101,2,27
CT,26/04/2020,45.1434,61.6574,110.1408,67.6001,58.9827,358,26169,2640,42,364
EX,26/04/2020,124.8546,92.4034,67.711,69.3305,0.0,122,1413,40,64,81
GA,26/04/2020,23.2913,82.3836,122.936,9.3611,60.3788,67,2676,49,2,35
IB,26/04/2020,80.1437,52.7486,68.6707,61.8981,0.0,69,1022,98,59,30
MC,26/04/2020,207.8797,76.7705,75.9413,65.2735,0.0,206,553,31,63,123
MD,26/04/2020,62.6252,63.5911,119.5328,64.2176,58.7901,518,39571,3219,2,218
ML,26/04/2020,34.6815,39.5289,3.6988,30.7496,0.0,30,5,0,30,5
NC,26/04/2020,69.032,117.9732,58.4755,0.0,78.1436,43,1828,72,0,18
PV,26/04/2020,62.8752,109.1536,50.2847,0.0,53.9116,11,6373,489,14,81
RI,26/04/2020,58.103,40.7368,207.2788,59.7987,64.2036,53,1360,120,53,49
VC,26/04/2020,107.6259,62.5114,55.4798,64.6169,65.3739,83,4984,604,53,41
AN,27/04/2020,19.8506,36.8088,17.1646,18.1249,0.0,63,5795,705,2,233
AR,27/04/2020,0.0,67.3128,113.6992,76.1094,69.4867,38,2387,145,75,39
AS,27/04/2020,42.3066,96.1802,42.8925,94.4007,78.4969,25,1790,95,89,49
CB,27/04/2020,38.3607,53.0519,57.3816,94.6195,67.0041,7,953,22,91,15
CE,27/04/2020,50.8727,142.5441,54.8606,65.8124,56.288999999999994,49,132,50,65,52
CL,27/04/2020,110.0233,54.4845,65.2807,23.9796,0.0,9,7800,459,3,125
CM,27/04/2020,93.3323,60.2295,176.0908,76.0014,13.585999999999999,14,8463,412,36,63
CN,27/04/2020,44.1147,82.1868,42.3757,0.0,56.0575,29,824,133,1,24
CT,27/04/2020,53.2721,62.1219,48.629,47.3969,58.5364,443,26484,2720,50,683
EX,27/04/2020,125.9645,20.9486,65.3934,72.1329,22.4981,112,1506,42,65,42
GA,27/04/2020,65.7728,76.05,39.9648,5.2458,58.6653,65,2660,269,130,3494
IB,27/04/2020,53.2496,52.8726,68.8275,58.6021,112.1385,44,1027,98,54,82
MC,27/04/2020,21.1851,23.9778,0.0,62.8564,0.0,16,612,106,62,40
MD,27/04/2020,54.9052,78.595,118.3442,64.2551,58.7868,412,39772,3237,7,415
ML,27/04/2020,65.7865,93.725,52.8365,36.7291,8.0856,65,49,49,36,5
NC,27/04/2020,82.9125,11.7532,33.6118,87.9165,85.7491,47,1940,97,71,19
PV,27/04/2020,62.9443,95.5917,52.95399999999999,115.8313,71.5541,7,6427,488,96,429
RI,27/04/2020,58.2079,63.4101,0.0,36.5777,64.3437,45,1350,87,32,37
VC,27/04/2020,0.75754,62.5112,54.6951,62.152,77.8573,32,5010,608,44,99
AN,28/04/2020,27.4892,44.4585,0.0,84.7725,0.0,13,5829,721,65,438
AR,28/04/2020,154.2376,67.3133,113.074,67.7547,81.9796,105,2410,145,64,21
AS,28/04/2020,63.4664,101.6891,42.1404,41.2472,54.8082,46,1814,95,34,28
CB,28/04/2020,68.2591,47.1311,77.484,105.32600000000001,77.3699,41,960,2,105,34
CE,28/04/2020,31.3046,142.7962,66.3652,85.4747,72.9203,31,132,62,85,60
CL,28/04/2020,77.7137,79.4451,57.9904,0.0,71.214,118,7878,471,16,50
CM,28/04/2020,95.3568,59.119,0.0,0.0,16.8661,48,8508,592,27,114
CN,28/04/2020,66.3437,0.0,137.3755,17.3063,56.0204,63,909,38,16,32
CT,28/04/2020,59.729,63.2812,59.1384,55.1422,58.1792,203,26700,2725,15,497
EX,28/04/2020,129.1268,68.5824,51.0067,70.5299,0.0,108,1482,57,64,90
GA,28/04/2020,14.4939,74.464,116.2863,4.5582,59.7002,8,2673,194,4,121
IB,28/04/2020,0.0,57.5285,68.7555,62.129,0.0,4,1025,99,59,23
MC,28/04/2020,209.5391,57.5736,0.0,66.1159,0.0,203,580,108,66,49
MD,28/04/2020,55.3642,58.0364,119.2879,64.2744,58.7855,284,40018,3258,7,335
ML,28/04/2020,26.7528,10.1227,53.3986,35.787,107.5769,26,34,50,35,106
