CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,25/04/2020,32.9435,92.4448,58.9156,54.4319,31.3756,36,5655,658,40,415
AR,25/04/2020,59.7848,63.9495,74.0924,51.6166,59.1734,26,2332,183,48,28
AS,25/04/2020,63.6742,38.8093,107.2955,64.9891,26.6122,61,1752,27,54,7
CB,25/04/2020,58.5069,69.4938,86.2293,62.8696,84.8238,51,993,80,61,63
CE,25/04/2020,65.7063,62.6748,54.8261,85.3357,53.5994,53,818,117,84,41
CL,25/04/2020,77.8434,68.3506,71.5333,77.9706,75.9175,65,923,7,76,6
CM,25/04/2020,53.6328,61.8618,6.1696,80.9847,74.9652,47,8356,559,42,246
CN,25/04/2020,62.23,63.2786,82.5134,83.073,38.9315,170,7590,433,56,137
CT,25/04/2020,73.9009,67.825,68.5996,47.666000000000004,34.054,477,25598,2515,21,219
EX,25/04/2020,48.7523,64.4239,67.9129,36.422,0.0,48,54,63,36,6
GA,25/04/2020,61.5019,63.4371,64.0866,47.695,94.7398,33,4950,590,33,116
IB,25/04/2020,61.7387,97.9901,0.0,48.6765,75.6769,43,1383,107,42,3
MC,25/04/2020,85.0336,61.169,72.3938,76.2455,59.7538,25,2674,13,70,39
MD,25/04/2020,55.7715,61.5657,87.6816,54.4193,45.5989,175,5831,786,20,420
ML,25/04/2020,57.6267,80.7531,75.6641,43.8727,75.0532,55,36,72,43,71
NC,25/04/2020,66.2197,59.5844,22.2813,96.9577,62.2053,60,568,84,95,16
PV,25/04/2020,68.8842,56.0213,66.8668,79.5214,68.5823,17,1886,63,77,30
RI,25/04/2020,68.6683,68.5926,62.4813,24.9603,58.2808,21,6358,471,6,603
VC,25/04/2020,58.8961,60.7121,48.5609,41.5268,43.3975,18,1320,36,37,5
AN,26/04/2020,103.1273,110.7914,43.5487,19.8665,149.5544,27,5657,677,7,0
AR,26/04/2020,54.0877,58.2372,90.1264,24.6369,54.9197,24,2345,167,10,4
AS,26/04/2020,62.858999999999995,0.0,143.8028,67.3467,76.4113,60,1814,6,63,66
CB,26/04/2020,56.3647,72.293,86.7624,60.1962,95.6572,51,990,80,56,82
CE,26/04/2020,66.7345,64.4035,27.7576,97.0794,30.5181,55,817,144,97,30
CL,26/04/2020,77.6662,63.1862,60.7412,98.6429,63.3993,56,932,18,95,51
CM,26/04/2020,101.3742,58.9368,7.9388,96.4929,111.4077,46,8386,572,61,25
CN,26/04/2020,72.1757,65.8122,94.1164,85.9774,36.8411,110,7638,424,61,28
CT,26/04/2020,80.4168,59.3702,71.119,40.9472,27.7752,864,25740,2653,93,864
EX,26/04/2020,29.8795,62.195,77.4697,44.4716,65.2284,29,52,73,44,62
GA,26/04/2020,62.7864,63.4428,64.8156,14.8578,87.71799999999999,42,4969,592,11,13
IB,26/04/2020,62.0855,89.3637,151.5464,86.2582,24.1133,49,1401,44,80,46
MC,26/04/2020,58.1116,59.56100000000001,90.9762,68.1925,69.3255,4,2687,7,57,56
