CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,21/04/2020,64.8798,48.4832,46.9954,53.1442,59.5051,69,5568,656,24,219
AR,21/04/2020,50.4337,60.3501,25.2707,45.3623,64.8315,22,2280,228,20,86
AS,21/04/2020,27.1426,65.309,72.656,38.4511,65.5253,22,1640,58,26,42
CB,21/04/2020,63.1857,65.3365,63.5705,66.2408,61.9933,52,900,15,60,71
CE,21/04/2020,71.7808,64.4209,66.3317,51.257,60.6849,71,55,62,51,60
CL,21/04/2020,65.7107,64.4449,60.5235,54.3043,61.222,304,7333,448,26,102
CM,21/04/2020,22.1952,62.3792,92.5669,55.5903,70.4484,53,8242,454,7,170
CN,21/04/2020,52.1744,61.2293,56.8788,60.3476,15.6063,33,794,113,60,27
CT,21/04/2020,59.9322,41.9174,57.66,58.2602,72.7034,1031,23606,2421,38,316
EX,21/04/2020,48.3278,10.732000000000001,77.5027,58.2593,62.8159,25,1365,30,55,124
GA,21/04/2020,68.0256,56.4142,51.488,43.6662,55.0905,103,2638,41,36,4
IB,21/04/2020,71.9333,60.9409,62.9673,66.7042,62.608000000000004,52,962,105,62,32
MC,21/04/2020,59.0505,62.0661,14.4405,60.8553,52.3295,54,562,90,59,47
MD,21/04/2020,57.0405,52.9754,17.2517,73.6595,57.4594,622,7025,964,34,556
ML,21/04/2020,58.7852,63.853,56.9361,54.0691,30.1191,57,19,53,54,25
NC,21/04/2020,59.5314,49.6792,69.8406,61.0921,78.8709,13,1858,60,53,51
PV,21/04/2020,54.0238,61.4519,57.9491,49.9388,49.0905,66,6199,459,6,436
RI,21/04/2020,60.5597,74.3542,45.3567,51.7327,70.6708,23,1257,37,46,32
VC,21/04/2020,54.0956,70.0956,52.2579,52.4137,58.6497,10,4847,598,34,319
AN,22/04/2020,66.9763,28.2784,0.71,19.5127,55.0827,66,5647,714,9,90
AR,22/04/2020,46.3104,60.9353,0.0,53.0917,70.9106,12,2299,254,39,31
AS,22/04/2020,32.8439,71.6975,50.7358,68.1355,56.9934,28,1657,81,60,33
CB,22/04/2020,64.0001,71.0317,63.6244,75.67,62.4189,32,907,15,70,1
CE,22/04/2020,71.6838,72.2669,87.4334,49.6902,57.8088,71,62,83,49,49
CL,22/04/2020,58.5935,68.4112,59.9195,49.20399999999999,62.6707,124,7438,451,19,104
CM,22/04/2020,156.3799,62.4985,50.9325,48.1483,70.8073,81,8280,503,19,135
CN,22/04/2020,38.8008,61.9314,47.0114,59.2504,64.0037,11,807,122,52,16
CT,22/04/2020,62.0939,107.2063,62.4628,57.5652,84.6669,590,24023,2507,7,577
EX,22/04/2020,49.9396,95.2228,83.1404,62.3997,58.5069,46,1318,24,58,63
GA,22/04/2020,65.3181,58.681999999999995,55.1564,79.7616,63.9971,62,2649,32,72,9
IB,22/04/2020,98.0119,59.9039,64.3047,72.1139,61.8202,84,981,102,68,27
MC,22/04/2020,65.2266,62.1402,19.9277,62.5751,46.1451,57,563,86,61,21
MD,22/04/2020,57.42,58.4563,37.5387,43.6305,56.4694,366,6543,912,38,511
ML,22/04/2020,60.6594,64.2979,58.8273,54.8721,77.63600000000001,59,20,55,54,71
NC,22/04/2020,42.9828,66.062,78.3884,61.8572,84.06299999999999,38,1849,51,53,23
PV,22/04/2020,45.0718,62.3122,45.7054,21.7101,30.5087,65,6253,473,5,293
RI,22/04/2020,59.8643,75.9775,49.5577,78.0657,101.6718,10,1269,33,74,74
VC,22/04/2020,76.6959,70.3348,44.1194,52.5682,56.9002,6,4875,607,29,365
AN,23/04/2020,66.4878,22.7982,0.0,0.0,47.3189,97,5693,717,24,256
AR,23/04/2020,58.8685,60.5486,0.0,43.8414,78.0665,3,2312,255,29,70
AS,23/04/2020,42.6693,77.3022,90.3786,80.2221,67.5876,29,1683,42,72,39
CB,23/04/2020,66.1563,72.3547,63.6445,79.442,63.3602,50,910,15,75,70
CE,23/04/2020,77.0756,84.9537,91.7375,37.4069,54.20399999999999,77,74,87,37,40
CL,23/04/2020,69.8889,71.7691,60.1613,51.3786,61.6311,229,7484,451,24,29
CM,23/04/2020,0.0,64.4443,150.8989,36.9482,73.3801,144,8321,409,1,21
CN,23/04/2020,16.1958,61.8586,67.0164,58.9844,148.0041,1,817,104,56,129
CT,23/04/2020,58.8879,35.8504,56.2783,57.722,85.1792,659,24095,2520,48,530
EX,23/04/2020,63.51,40.8926,80.1287,57.8062,76.5833,63,1407,27,52,76
GA,23/04/2020,72.5988,54.098,41.4165,36.5839,45.9358,112,2668,49,30,8
IB,23/04/2020,81.4501,59.4957,66.6294,80.2098,68.3946,55,999,100,78,47
MC,23/04/2020,52.0878,61.4696,4.7697,61.0271,34.686,52,564,101,60,17
MD,23/04/2020,55.2467,52.4748,0.0,0.0,52.6856,454,6131,892,83,638
ML,23/04/2020,57.6676,63.8435,56.3635,53.2714,36.6451,56,19,53,53,20
NC,23/04/2020,8.42,13.8581,77.4109,63.5071,78.4288,38,1924,52,51,107
PV,23/04/2020,48.5647,62.3963,43.2632,26.7021,0.0,114,6313,482,7,482
RI,23/04/2020,59.1713,85.221,52.8721,59.6931,104.6095,28,1275,31,55,69
VC,23/04/2020,56.2624,57.4947,41.603,62.678000000000004,50.8991,71,4921,612,37,174
AN,24/04/2020,66.8868,6.2996,0.0,0.0,34.5764,2,5741,716,14,412
AR,24/04/2020,86.8015,60.8847,57.297,43.625,80.6519,53,2335,200,40,49
AS,24/04/2020,63.3378,75.8722,0.0,37.0327,52.6827,61,1715,134,27,19
CB,24/04/2020,66.2326,71.3903,63.6448,78.4407,63.0155,54,920,15,77,18
CE,24/04/2020,74.3985,88.8078,73.6355,31.4252,54.9374,74,78,69,31,48
CL,24/04/2020,40.702,70.558,60.4493,48.6975,65.2619,192,7583,455,21,110
CM,24/04/2020,170.78,62.1275,42.4339,50.4008,72.286,70,8355,523,12,248
CN,24/04/2020,0.0,62.5462,114.4629,59.6053,101.5999,12,818,57,58,89
CT,24/04/2020,64.1459,44.0454,67.89,57.8392,78.3867,486,25621,2516,11,175
EX,24/04/2020,77.2661,40.8527,78.0333,65.0347,0.0,59,1440,29,59,72
