CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,24/04/2020,52.7347,66.2413,56.8542,85.0837,51.0495,16,5681,660,71,395
AR,24/04/2020,53.9022,65.8,59.5855,62.5737,62.1747,20,2330,198,59,31
AS,24/04/2020,56.9465,53.1182,55.7014,55.9326,63.8879,54,1737,79,45,30
CB,24/04/2020,62.4105,24.5898,63.5804,57.771,60.6292,50,967,15,56,21
CE,24/04/2020,29.1595,64.7708,48.2081,49.6848,91.4573,29,54,44,49,85
CL,24/04/2020,0.0,63.2395,59.4561,42.7151,81.2352,232,7590,456,15,94
CM,24/04/2020,48.45,58.0727,90.3107,66.4874,64.0056,52,8359,475,28,256
CN,24/04/2020,58.1602,60.8024,79.7525,84.6095,74.8529,46,820,92,83,62
CT,24/04/2020,61.2081,55.8897,67.3499,62.8889,69.0042,489,25610,2516,6,184
EX,24/04/2020,41.8632,56.0925,63.2048,59.5707,15.7346,23,1424,44,53,57
GA,24/04/2020,57.7563,59.3983,65.5455,56.9289,64.8856,3,2676,20,50,44
IB,24/04/2020,66.16199999999999,68.8743,94.439,28.7798,60.5273,59,994,72,27,39
MC,24/04/2020,49.3619,62.3838,63.8282,61.0897,64.0659,43,565,43,60,14
MD,24/04/2020,61.2276,60.2913,53.6284,65.1995,65.3889,169,5832,820,9,400
ML,24/04/2020,72.6244,36.4611,69.3457,73.1332,100.1955,70,8,66,73,96
NC,24/04/2020,79.7322,45.50899999999999,97.9031,21.8226,59.2905,6,1897,32,19,39
PV,24/04/2020,53.1936,46.282,47.2748,67.5324,63.873000000000005,36,6380,486,49,598
RI,24/04/2020,60.913999999999994,15.9752,85.1469,53.5169,63.1957,20,1365,1,49,25
VC,24/04/2020,64.0334,61.7471,75.1825,57.005,55.6641,30,4952,579,43,155
AN,25/04/2020,46.4089,64.2148,57.1133,26.3906,58.9474,30,5703,663,14,91
AR,25/04/2020,54.7055,69.1057,65.6568,62.6467,65.244,24,2334,192,48,15
AS,25/04/2020,42.7418,73.733,78.6382,45.9042,63.3299,40,1741,59,41,53
CB,25/04/2020,67.5642,64.9362,60.2723,73.3653,64.3023,46,931,18,70,50
CE,25/04/2020,93.6669,65.7881,89.8811,68.3236,123.4614,93,55,85,68,120
CL,25/04/2020,0.0,64.7173,63.7394,0.0,84.8584,182,7639,455,24,20
CM,25/04/2020,103.4976,57.9554,112.12200000000001,71.4032,67.3162,48,8387,467,36,19
CN,25/04/2020,79.5362,60.6139,88.2948,107.4205,56.1322,68,821,83,107,56
CT,25/04/2020,72.3734,53.738,71.7475,68.1814,62.5556,872,25746,2653,65,829
EX,25/04/2020,0.0,80.1202,61.9153,66.4764,1.2494,13,1410,46,60,69
GA,25/04/2020,52.5262,56.9884,65.3818,63.7974,62.9945,10,2690,18,52,49
IB,25/04/2020,65.1209,83.3492,40.7519,100.8413,60.8102,60,979,126,96,47
MC,25/04/2020,39.6895,68.9394,61.8911,64.0022,66.2615,39,559,45,63,4
MD,25/04/2020,63.4066,50.6654,68.2172,66.2463,64.5576,69,39422,3241,2,134
ML,25/04/2020,71.6164,28.259,61.8204,77.5659,116.7776,71,16,58,77,110
NC,25/04/2020,85.9991,55.1454,112.6485,11.5736,86.2341,64,1887,18,10,3
PV,25/04/2020,124.9713,52.1302,91.2385,73.0952,61.2292,66,6405,447,62,177
RI,25/04/2020,52.5293,70.6268,82.4828,64.9367,54.5151,21,1322,3,59,42
VC,25/04/2020,63.6121,63.055,54.5507,62.9051,81.5566,43,4969,602,59,7
AN,26/04/2020,58.6993,80.6558,59.7797,138.6445,51.7436,6,5712,662,127,98
AR,26/04/2020,65.9373,72.6754,51.2676,62.8267,61.032,46,2353,207,53,10
AS,26/04/2020,0.0,59.1314,12.42,28.2879,62.6439,8,1784,125,20,41
CB,26/04/2020,57.1834,20.5314,51.177,44.3167,58.4575,46,980,27,42,9
CE,26/04/2020,0.0,67.6625,71.2462,34.4973,74.3753,0,57,67,34,71
CL,26/04/2020,34.3221,63.0599,58.163000000000004,11.0683,97.8444,151,7714,464,9,46
CM,26/04/2020,0.0,57.9749,83.8622,79.4538,60.6271,42,8407,501,48,36
CN,26/04/2020,55.0033,60.6589,83.3085,103.8467,127.5779,46,840,91,101,99
CT,26/04/2020,49.3256,56.5838,74.8541,55.9875,81.4056,354,26174,2676,54,341
EX,26/04/2020,0.0,4.8733,62.8106,49.0625,0.0,2,1501,45,44,81
GA,26/04/2020,48.299,55.9255,70.4522,47.4309,58.5656,42,2703,3,40,33
IB,26/04/2020,67.8158,93.1231,42.4707,81.8911,60.645,56,981,124,79,30
MC,26/04/2020,30.8695,56.4447,52.2359,58.9951,61.5149,29,573,54,56,62
MD,26/04/2020,59.864,23.7664,27.8636,67.044,69.6709,521,39611,3311,5,207
ML,26/04/2020,87.8165,48.3168,79.0023,72.3167,128.1355,83,4,76,72,123
NC,26/04/2020,102.3227,38.9205,59.6418,26.2874,7.2408,76,1907,71,26,53
PV,26/04/2020,6.1862,78.139,29.3423,73.5646,57.2229,45,6404,510,59,77
RI,26/04/2020,34.8973,61.8829,69.8547,71.1441,13.4339,29,1339,18,65,2
VC,26/04/2020,63.0109,61.8975,78.584,50.0945,49.161,39,4985,581,39,57
AN,27/04/2020,76.8001,51.6242,59.9211,36.2301,62.3585,6,5780,663,16,171
AR,27/04/2020,61.4404,73.5752,89.3549,62.803999999999995,70.6516,23,2381,169,61,38
AS,27/04/2020,0.0,64.3056,52.3991,31.6127,61.6528,17,1822,85,26,32
CB,27/04/2020,79.7653,63.2243,44.8746,126.3392,64.7982,48,943,35,123,18
CE,27/04/2020,131.7207,71.5553,89.399,0.0,59.3668,130,61,85,0,55
CL,27/04/2020,85.7372,65.6236,65.0756,15.6353,95.351,16,7789,459,11,30
CM,27/04/2020,31.3017,57.9764,75.1838,83.1491,89.9674,48,8466,513,43,13
CN,27/04/2020,115.1846,60.6622,38.2284,77.6486,0.0,100,846,137,76,32
CT,27/04/2020,119.3514,56.3959,73.7038,82.7753,31.1327,377,26490,2695,15,710
EX,27/04/2020,12.8829,13.5932,64.2753,62.6487,4.8322,1,1513,43,55,60
GA,27/04/2020,44.4191,55.5088,57.7386,79.1853,59.8547,44,2681,251,56,3493
IB,27/04/2020,64.9205,101.6636,30.2094,9.8112,60.6774,55,978,136,5,30
MC,27/04/2020,13.6931,107.3828,38.5128,64.73,73.7672,8,528,68,64,33
