CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,17/04/2020,62.4855,46.0963,35.3376,55.9727,65.0048,38,5295,642,28,93
AR,17/04/2020,64.8714,82.2505,55.9311,38.2384,39.1717,2,2098,188,1,39
AS,17/04/2020,52.4494,38.914,57.1027,41.8314,45.4653,30,1482,62,28,15
CB,17/04/2020,72.2429,76.7592,52.5357,53.4066,55.4953,16,861,105,39,35
CE,17/04/2020,47.4823,51.1935,45.6233,72.6405,56.218999999999994,21,771,115,68,1
CL,17/04/2020,55.7602,55.986000000000004,55.8764,52.3898,2.8624,51,856,23,47,22
CM,17/04/2020,54.2364,35.001,62.9597,51.8151,62.7843,298,8058,452,10,176
CN,17/04/2020,54.6197,54.5796,44.2975,56.3423,54.157,336,6777,451,28,125
CT,17/04/2020,52.6009,66.0239,47.54600000000001,47.6749,58.4815,1575,21947,2302,80,430
EX,17/04/2020,51.5232,53.4289,37.0567,58.1734,29.0736,49,44,33,58,20
GA,17/04/2020,67.5213,50.035,42.5232,57.863,44.6706,31,4658,594,14,238
IB,17/04/2020,64.8518,72.0277,49.147,44.1237,59.8513,57,1168,58,36,30
MC,17/04/2020,58.7533,44.5637,26.6489,54.7598,63.3304,13,2510,89,40,12
MD,17/04/2020,76.5752,71.491,69.7516,51.0475,58.266000000000005,729,8526,1025,74,981
ML,17/04/2020,58.4661,66.3811,39.9425,53.4827,30.1386,58,22,36,53,30
NC,17/04/2020,74.258,63.3813,54.2427,64.2357,28.7505,68,548,48,61,65
PV,17/04/2020,50.9229,55.895,38.4641,45.4729,15.5214,50,1774,89,29,47
RI,17/04/2020,70.8121,61.4946,63.2495,58.0051,54.9458,80,5969,427,30,358
VC,17/04/2020,57.7174,39.9326,47.821999999999996,64.3202,52.4972,21,1210,31,54,4
AN,18/04/2020,64.9403,28.5267,0.0,59.1424,53.8569,100,5396,687,33,115
AR,18/04/2020,67.2496,58.1836,53.9311,75.7932,72.7262,10,2158,193,57,18
AS,18/04/2020,48.3552,52.6664,53.0171,105.7428,67.9169,36,1519,67,96,46
CB,18/04/2020,73.3435,56.0752,52.4625,59.1064,56.7021,57,899,108,52,21
CE,18/04/2020,45.1929,70.5783,78.6377,67.443,52.9687,33,755,84,63,48
CL,18/04/2020,57.4416,57.8737,54.9629,57.9235,164.90900000000002,57,867,24,53,88
CM,18/04/2020,59.1129,0.0,65.6096,40.084,59.9285,59,8137,453,10,66
CN,18/04/2020,40.6716,48.86,41.2217,54.7666,58.703,40,6933,457,25,101
CT,18/04/2020,51.9728,65.8702,61.3038,28.2611,58.5064,454,22170,2334,26,358
EX,18/04/2020,60.2155,65.2402,0.0,58.1681,77.5883,60,56,4,58,71
GA,18/04/2020,90.5627,49.7194,72.1424,58.0863,51.2913,17,4732,571,35,190
IB,18/04/2020,52.3683,53.8282,8.6423,27.2385,59.3904,42,1225,99,23,28
MC,18/04/2020,59.4875,60.1438,69.171,45.1573,66.4266,42,2530,43,33,37
MD,18/04/2020,27.2648,45.0355,40.3228,51.9631,63.5637,457,8246,1083,56,775
ML,18/04/2020,59.1698,82.1084,39.9622,50.706,66.506,59,38,36,50,52
NC,18/04/2020,85.3742,72.5852,55.1587,65.55199999999999,33.7415,77,540,47,64,19
PV,18/04/2020,57.1207,47.4831,27.7625,31.1394,42.8017,7,1796,100,16,4
RI,18/04/2020,76.616,76.9648,70.9468,58.284,54.4517,102,6010,429,16,362
VC,18/04/2020,57.4929,40.8377,73.3955,87.6081,72.16199999999999,4,1228,6,82,33
AN,19/04/2020,64.8939,28.1755,0.0,49.6097,91.3106,30,5445,690,29,22
AR,19/04/2020,66.7448,126.6864,54.3905,0.0,0.0,20,2118,194,18,3
AS,19/04/2020,33.9524,13.0195,41.5213,0.0,57.181999999999995,24,1586,81,4,54
CB,19/04/2020,68.8967,106.1736,52.4901,58.5682,55.6035,59,857,109,56,43
CE,19/04/2020,57.1196,38.3447,50.7022,98.8491,51.3208,37,788,113,98,27
CL,19/04/2020,55.0976,55.523999999999994,53.9937,48.2281,0.0,31,879,25,43,16
CM,19/04/2020,52.376999999999995,0.0,75.5403,49.4312,72.6306,85,8173,456,9,143
CN,19/04/2020,16.1459,44.1793,46.1069,51.476000000000006,50.7881,121,7036,455,16,54
CT,19/04/2020,52.9866,69.6515,47.5581,0.0,57.8008,1176,22306,2362,76,186
EX,19/04/2020,43.7244,41.6457,4.5883,56.1014,77.8247,43,32,0,56,62
GA,19/04/2020,115.0785,45.8963,2.2634,58.0304,59.4572,64,4782,644,44,23
IB,19/04/2020,31.4943,74.0232,0.0,25.8355,65.7302,12,1232,107,20,26
MC,19/04/2020,62.797,48.4323,0.0,32.7524,65.7281,52,2561,108,26,53
MD,19/04/2020,137.7095,89.6259,73.0873,56.3378,71.7573,69,8102,1038,56,378
ML,19/04/2020,59.7956,85.4978,49.9079,51.985,0.05600499999999999,59,41,46,51,2
NC,19/04/2020,60.1362,74.6629,54.3815,65.3151,53.0096,58,538,49,64,43
PV,19/04/2020,42.4328,24.2963,31.4672,0.0,102.3215,6,1832,97,16,29
RI,19/04/2020,84.8486,88.527,71.2309,58.3299,55.9752,26,6021,430,39,97
VC,19/04/2020,56.915,37.0373,14.1083,107.3309,56.8288,28,1245,65,99,39
AN,20/04/2020,70.2205,33.5928,10.2876,66.9318,25.5391,38,5476,682,62,157
AR,20/04/2020,66.6985,23.8414,56.4349,53.7287,21.2846,36,2248,194,47,17
AS,20/04/2020,81.3938,90.4495,19.9665,108.2586,69.7344,71,1536,103,106,52
CB,20/04/2020,76.0886,14.2807,52.4923,51.4877,56.5823,58,972,109,47,56
CE,20/04/2020,28.1198,121.1704,93.1222,53.4434,54.5528,10,716,71,52,11
CL,20/04/2020,58.0782,59.2792,53.1567,54.8913,150.7554,33,889,25,47,130
CM,20/04/2020,73.4697,191.0424,76.0035,90.8656,18.5741,138,8008,458,36,46
CN,20/04/2020,0.0,49.3424,54.4481,40.4442,62.5464,170,7125,449,12,1
CT,20/04/2020,53.0204,69.611,68.9549,0.0,57.6785,1383,22727,2369,143,455
EX,20/04/2020,80.5715,56.0916,96.3427,53.4798,24.6701,80,47,92,53,24
GA,20/04/2020,94.7496,41.2663,133.8961,57.9713,56.1311,52,4825,515,47,34
IB,20/04/2020,15.0469,65.4606,17.3932,18.6397,48.756,15,1262,90,10,15
