CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,30/04/2020,78.8841,53.9778,68.5411,68.3056,107.7743,35,5882,661,37,517
AR,30/04/2020,118.8017,76.0781,74.7652,59.1582,54.0556,93,2418,186,49,37
AS,30/04/2020,64.8,63.5969,69.594,80.3182,69.7146,59,1875,71,80,44
CB,30/04/2020,48.4107,58.5349,69.4385,72.7258,74.2109,37,1032,98,67,48
CE,30/04/2020,51.9282,61.528999999999996,52.897,65.4548,67.3113,50,853,123,64,47
CL,30/04/2020,22.3441,66.947,60.6972,57.0101,54.3167,11,943,19,56,28
CM,30/04/2020,57.2403,55.5151,84.9063,31.908,79.1447,21,8563,512,4,24
CN,30/04/2020,74.2588,40.9668,52.1241,40.9197,67.3313,34,7970,479,22,50
CT,30/04/2020,62.8019,56.626999999999995,85.9842,90.5923,29.8876,329,26876,2710,4,4
EX,30/04/2020,68.60300000000001,108.7695,76.6476,68.8922,60.887,68,98,72,68,48
GA,30/04/2020,36.9812,68.3691,91.7935,62.0762,70.0512,20,5058,603,53,122
IB,30/04/2020,61.1263,73.9466,71.558,46.8502,100.7548,35,1492,37,41,27
MC,30/04/2020,122.8914,68.3306,74.6515,69.498,61.4045,29,2691,239,61,182
MD,30/04/2020,61.7383,30.8451,61.5568,72.7586,69.2423,199,40263,3331,26,378
ML,30/04/2020,49.5156,0.0,63.3892,73.779,92.6964,48,44,60,73,92
NC,30/04/2020,64.6134,73.2207,77.1418,75.5399,67.1856,62,565,32,73,40
PV,30/04/2020,76.1682,58.9012,89.7823,67.5939,16.6937,43,1919,43,60,56
RI,30/04/2020,75.9492,101.2941,29.6543,83.76700000000001,74.0578,48,6506,515,67,370
VC,30/04/2020,78.7596,64.5236,0.0,81.8217,49.4751,60,1369,88,80,12
AN,01/05/2020,80.7629,110.0455,71.5345,74.482,118.0594,34,5851,664,59,369
AR,01/05/2020,140.8344,75.0537,80.1729,24.5858,88.8417,120,2428,180,12,4
AS,01/05/2020,59.9026,64.536,73.1301,121.5117,67.6512,59,1910,68,115,37
CB,01/05/2020,76.944,44.9202,74.7337,70.5448,73.4833,68,1050,93,66,50
CE,01/05/2020,84.1232,89.8497,52.9809,59.0387,63.9806,78,829,123,55,63
CL,01/05/2020,132.4886,65.4559,58.3022,47.3262,58.7859,115,944,21,46,16
CM,01/05/2020,56.6575,51.7544,108.8768,172.143,113.2678,1,8594,493,136,26
CN,01/05/2020,78.4529,48.2054,17.3201,55.1846,62.403,94,8006,514,37,65
CT,01/05/2020,58.7917,39.1237,96.23299999999999,117.2851,7.4711,485,27010,2715,41,266
EX,01/05/2020,67.8732,157.2444,84.5052,71.1398,63.3683,67,147,80,71,61
GA,01/05/2020,85.2304,61.7356,79.6326,65.6811,71.7322,21,5092,616,52,138
IB,01/05/2020,54.6633,78.1777,71.1077,91.3927,69.178,41,1514,37,84,12
MC,01/05/2020,103.0895,76.8238,76.7643,68.8648,64.4258,49,2693,237,66,101
MD,01/05/2020,21.5385,25.2223,51.2757,73.3007,66.9643,93,40432,3353,3,310
ML,01/05/2020,120.83,171.0048,48.4462,81.9472,135.2243,120,127,45,81,135
NC,01/05/2020,73.6336,77.8732,102.2443,77.88,66.8759,70,562,8,77,44
PV,01/05/2020,73.8225,51.6638,87.9916,71.3968,81.0865,33,1928,45,69,15
RI,01/05/2020,79.1898,98.5991,78.1908,97.9079,81.2593,16,6561,473,88,344
VC,01/05/2020,189.5663,63.891000000000005,0.0,130.2758,74.2481,178,1376,88,129,15
AN,02/05/2020,79.1793,0.0,67.1578,56.5829,85.6667,44,5961,669,53,9
AR,02/05/2020,141.2991,71.8592,84.3521,0.0,0.0,113,2448,176,0,84
AS,02/05/2020,59.8935,67.3499,63.9172,137.7236,63.9712,58,1928,79,136,45
CB,02/05/2020,56.3198,38.9766,53.3792,73.7924,78.3695,50,1061,114,73,62
CE,02/05/2020,22.7904,1.7108,48.5002,64.8695,65.6132,13,918,127,64,64
CL,02/05/2020,0.0,65.4078,54.1576,51.8672,51.4739,4,945,25,49,14
CM,02/05/2020,71.4171,52.964,101.935,0.0,137.9145,21,8624,503,31,67
CN,02/05/2020,78.5081,56.9316,31.9471,59.8049,49.6084,40,8029,502,47,6
CT,02/05/2020,59.625,0.0,83.4736,132.8924,0.0,325,27257,2761,84,419
EX,02/05/2020,67.575,72.4669,92.3618,68.0931,64.2495,67,62,88,68,63
GA,02/05/2020,37.2468,51.0753,99.0819,60.8234,69.2275,12,5130,599,54,91
IB,02/05/2020,63.6275,78.4866,75.6367,88.0162,195.4822,43,1525,33,86,140
MC,02/05/2020,116.8118,50.7075,72.3038,69.1854,76.3596,51,2724,243,63,18
MD,02/05/2020,0.0,26.0419,56.93899999999999,71.1843,64.8457,117,40571,3365,31,110
ML,02/05/2020,0.0,0.0,0.0,90.6024,136.158,2,44,3,90,134
NC,02/05/2020,49.0436,89.6787,114.4242,87.4218,66.628,48,552,4,85,57
PV,02/05/2020,67.6261,59.263999999999996,88.0928,66.054,59.8142,53,1927,45,64,71
RI,02/05/2020,87.8091,84.5216,0.53288,104.9346,87.9912,36,6608,553,96,132
VC,02/05/2020,192.5704,65.9443,73.6914,148.1476,97.249,187,1381,15,147,79
AN,03/05/2020,77.5154,42.3763,77.3076,113.0393,127.9516,58,5931,661,106,3
