CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,26/04/2020,100.0,5694.0,706.0,19.0,335.0,24,73,14,7,186
AR,26/04/2020,43.0,2345.0,255.0,9.0,79.0,13,58,2,5,29
AS,26/04/2020,7.0,1711.0,132.0,7.0,25.0,5,103,5,3,15
CB,26/04/2020,18.0,850.0,70.0,3.0,94.0,3,145,8,0,20
CE,26/04/2020,0.0,10.0,4.0,0.0,9.0,0,0,0,0,6
CL,26/04/2020,256.0,7562.0,502.0,28.0,148.0,74,141,16,4,84
CM,26/04/2020,139.0,8386.0,552.0,43.0,244.0,84,58,27,8,158
CN,26/04/2020,17.0,856.0,169.0,2.0,18.0,6,25,2,2,18
CT,26/04/2020,1129.0,24715.0,2557.0,90.0,560.0,185,1084,167,43,331
EX,26/04/2020,16.0,1454.0,106.0,5.0,92.0,3,36,1,1,22
GA,26/04/2020,118.0,2690.0,94.0,6.0,40.0,56,56,11,5,27
IB,26/04/2020,13.0,1045.0,166.0,2.0,26.0,8,17,0,2,13
MC,26/04/2020,6.0,626.0,101.0,1.0,66.0,6,1,5,0,4
MD,26/04/2020,374.0,8495.0,1081.0,153.0,639.0,242,30977,2228,89,441
ML,26/04/2020,2.0,43.0,3.0,0.0,7.0,2,1,0,0,1
NC,26/04/2020,71.0,1920.0,129.0,8.0,106.0,50,22,1,7,23
PV,26/04/2020,112.0,6367.0,525.0,20.0,497.0,54,90,13,9,259
RI,26/04/2020,40.0,1352.0,81.0,5.0,33.0,9,40,4,0,21
VC,26/04/2020,78.0,4879.0,648.0,15.0,236.0,58,153,8,12,162
AN,27/04/2020,100.0,5694.0,706.0,19.0,345.0,48,98,15,8,196
AR,27/04/2020,41.0,2345.0,255.0,9.0,86.0,22,80,3,0,15
AS,27/04/2020,6.0,1697.0,132.0,9.0,27.0,2,146,5,1,6
