CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,21-04-2020,125.0,5459.0,688.0,13.0,157.0,40.0,233.0,17.0,34.0,253.0
AN,22-04-2020,162.0,5300.0,656.0,18.0,150.0,89.0,3192.0,365.0,11.0,75.0
AN,23-04-2020,109.0,5309.0,658.0,13.0,150.0,61.0,3877.0,542.0,11.0,115.0
AN,24-04-2020,134.0,5317.0,647.0,23.0,158.0,103.0,4445.0,495.0,17.0,121.0
AN,25-04-2020,132.0,5328.0,647.0,20.0,130.0,119.0,4526.0,491.0,17.0,79.0
AN,26-04-2020,107.0,5343.0,643.0,13.0,135.0,85.0,4453.0,566.0,8.0,56.0
AN,27-04-2020,107.0,5343.0,643.0,13.0,135.0,364.0,2644.0,140.0,28.0,245.0
AR,21-04-2020,67.0,2074.0,252.0,18.0,29.0,616.0,4375.0,55.0,17.0,175.0
AR,22-04-2020,67.0,2006.0,254.0,18.0,41.0,782.0,18547.0,1998.0,147.0,440.0
AR,23-04-2020,78.0,2046.0,242.0,18.0,24.0,78.0,2037.0,238.0,18.0,13.0
AR,24-04-2020,78.0,2039.0,239.0,17.0,27.0,113.0,2485.0,386.0,10.0,315.0
AR,25-04-2020,76.0,1997.0,232.0,19.0,31.0,76.0,811.0,125.0,2.0,3.0
AR,26-04-2020,78.0,2046.0,238.0,19.0,26.0,87.0,448.0,115.0,8.0,59.0
AR,27-04-2020,78.0,1994.0,233.0,19.0,26.0,815.0,7659.0,973.0,134.0,1032.0
AS,21-04-2020,14.0,1472.0,119.0,5.0,16.0,13.0,1429.0,116.0,5.0,13.0
AS,22-04-2020,12.0,1477.0,119.0,5.0,21.0,4.0,902.0,22.0,3.0,18.0
AS,23-04-2020,14.0,1455.0,118.0,5.0,17.0,88.0,297.0,6.0,4.0,20.0
AS,24-04-2020,18.0,1383.0,118.0,5.0,23.0,171.0,4480.0,360.0,49.0,362.0
AS,25-04-2020,19.0,1318.0,117.0,5.0,17.0,63.0,111.0,42.0,6.0,52.0
AS,26-04-2020,15.0,1318.0,118.0,5.0,14.0,64.0,3980.0,557.0,23.0,142.0
AS,27-04-2020,16.0,1327.0,117.0,5.0,16.0,62.0,824.0,123.0,14.0,18.0
IB,21-04-2020,17.0,968.0,160.0,5.0,14.0,3.0,506.0,42.0,1.0,9.0
IB,22-04-2020,17.0,965.0,160.0,6.0,17.0,14.0,60.0,8.0,3.0,3.0
IB,23-04-2020,16.0,962.0,159.0,5.0,12.0,5.0,151.0,0.0,1.0,45.0
IB,24-04-2020,14.0,951.0,159.0,6.0,16.0,25.0,48.0,81.0,1.0,52.0
IB,25-04-2020,14.0,961.0,159.0,5.0,12.0,832.0,7057.0,352.0,51.0,210.0
IB,26-04-2020,16.0,962.0,160.0,4.0,12.0,507.0,5556.0,137.0,25.0,187.0
IB,27-04-2020,14.0,960.0,159.0,5.0,13.0,948.0,20282.0,2146.0,129.0,813.0
CN,21-04-2020,18.0,828.0,160.0,2.0,46.0,18.0,819.0,156.0,2.0,43.0
CN,22-04-2020,20.0,827.0,158.0,2.0,47.0,20.0,3778.0,474.0,25.0,275.0
CN,23-04-2020,24.0,827.0,152.0,2.0,84.0,51.0,385.0,45.0,11.0,26.0
CN,24-04-2020,18.0,827.0,153.0,2.0,47.0,122.0,1708.0,36.0,8.0,26.0
CN,25-04-2020,19.0,827.0,153.0,2.0,46.0,815.0,8314.0,1001.0,128.0,899.0
