CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,24-04-2020,131.0,5626.0,664.0,32.0,200.0,34.0,400.0,7.0,15.0,210.0
AN,25-04-2020,128.0,5610.0,638.0,25.0,140.0,55.0,3502.0,347.0,4.0,65.0
AN,26-04-2020,121.0,5617.0,638.0,19.0,146.0,73.0,4185.0,522.0,17.0,111.0
AN,27-04-2020,121.0,5617.0,638.0,19.0,146.0,90.0,4745.0,486.0,13.0,109.0
AN,28-04-2020,129.0,5612.0,638.0,22.0,139.0,116.0,4810.0,482.0,19.0,88.0
AN,29-04-2020,129.0,5612.0,637.0,25.0,139.0,107.0,4722.0,560.0,20.0,60.0
AN,30-04-2020,138.0,4943.0,638.0,25.0,192.0,333.0,3044.0,135.0,16.0,188.0
AR,24-04-2020,59.0,2278.0,243.0,19.0,120.0,624.0,4171.0,64.0,16.0,84.0
AR,25-04-2020,55.0,2276.0,241.0,16.0,133.0,794.0,18277.0,2011.0,149.0,348.0
AR,26-04-2020,59.0,2278.0,243.0,15.0,119.0,59.0,2269.0,239.0,15.0,108.0
AR,27-04-2020,57.0,2276.0,241.0,15.0,128.0,134.0,2248.0,384.0,12.0,214.0
AR,28-04-2020,55.0,2282.0,241.0,16.0,133.0,55.0,1096.0,134.0,1.0,99.0
AR,29-04-2020,55.0,2282.0,241.0,17.0,133.0,110.0,212.0,118.0,6.0,48.0
AR,30-04-2020,58.0,2219.0,240.0,14.0,128.0,835.0,7434.0,966.0,139.0,930.0
AS,24-04-2020,10.0,1578.0,129.0,9.0,25.0,9.0,1535.0,126.0,9.0,22.0
AS,25-04-2020,9.0,1588.0,128.0,9.0,25.0,7.0,1013.0,31.0,7.0,22.0
AS,26-04-2020,9.0,1583.0,128.0,7.0,21.0,93.0,169.0,4.0,2.0,16.0
AS,27-04-2020,9.0,1583.0,128.0,9.0,24.0,180.0,4280.0,350.0,45.0,361.0
AS,28-04-2020,10.0,1580.0,127.0,9.0,23.0,72.0,373.0,52.0,2.0,46.0
AS,29-04-2020,11.0,1581.0,128.0,9.0,24.0,68.0,3717.0,547.0,19.0,132.0
AS,30-04-2020,10.0,1587.0,127.0,9.0,21.0,68.0,564.0,113.0,10.0,13.0
IB,24-04-2020,13.0,1020.0,165.0,5.0,24.0,7.0,454.0,47.0,1.0,1.0
IB,25-04-2020,13.0,1017.0,165.0,4.0,27.0,18.0,112.0,13.0,1.0,7.0
