CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,16/04/2020,212.0,5087.0,629.0,37.0,297.0,133,211,46,9,141
AR,16/04/2020,95.0,1929.0,284.0,25.0,52.0,17,222,44,6,18
AS,16/04/2020,44.0,1369.0,114.0,6.0,26.0,24,105,4,0,3
CB,16/04/2020,25.0,834.0,74.0,7.0,63.0,14,69,4,0,5
CE,16/04/2020,2.0,9.0,4.0,0.0,8.0,2,0,0,0,5
CL,16/04/2020,641.0,6185.0,294.0,37.0,210.0,118,333,3,8,11
CM,16/04/2020,417.0,7865.0,489.0,60.0,263.0,429,153,22,4,41
CN,16/04/2020,21.0,754.0,150.0,3.0,55.0,0,57,9,1,2
CT,16/04/2020,964.0,19905.0,2201.0,165.0,608.0,2,1337,104,31,218
EX,16/04/2020,36.0,1149.0,105.0,17.0,41.0,39,63,2,4,17
GA,16/04/2020,141.0,2311.0,129.0,10.0,66.0,1,224,12,0,7
IB,16/04/2020,28.0,860.0,149.0,6.0,28.0,3,45,3,3,8
MC,16/04/2020,14.0,526.0,94.0,3.0,35.0,6,59,5,2,6
MD,16/04/2020,907.0,9864.0,1212.0,151.0,940.0,73,723,58,21,5
ML,16/04/2020,1.0,42.0,3.0,0.0,3.0,0,2,0,0,0
NC,16/04/2020,113.0,1725.0,123.0,7.0,41.0,28,56,1,70,6
PV,16/04/2020,248.0,5680.0,454.0,48.0,260.0,48,259,30,12,71
RI,16/04/2020,70.0,1173.0,75.0,12.0,78.0,62,53,1,7,3
VC,16/04/2020,237.0,4344.0,592.0,30.0,281.0,237,261,40,3,41
AN,17/04/2020,223.0,5087.0,628.0,37.0,259.0,123,254,49,10,101
AR,17/04/2020,98.0,1880.0,280.0,22.0,40.0,36,300,37,17,40
AS,17/04/2020,58.0,1361.0,113.0,6.0,25.0,36,159,6,7,5
CB,17/04/2020,24.0,832.0,75.0,7.0,62.0,82,79,3,2,38
CE,17/04/2020,2.0,8.0,4.0,0.0,8.0,0,1,0,0,1
CL,17/04/2020,588.0,5954.0,292.0,48.0,225.0,198,877,203,20,46
CM,17/04/2020,384.0,7863.0,491.0,53.0,258.0,32,230,23,8,20
CN,17/04/2020,21.0,754.0,150.0,3.0,55.0,5,68,10,1,0
CT,17/04/2020,780.0,19884.0,2198.0,200.0,689.0,847,2129,151,73,201
EX,17/04/2020,35.0,1132.0,105.0,16.0,34.0,28,108,2,8,5
GA,17/04/2020,141.0,2282.0,135.0,8.0,67.0,70,272,20,6,16
IB,17/04/2020,31.0,818.0,147.0,6.0,62.0,25,119,10,8,42
MC,17/04/2020,10.0,513.0,95.0,3.0,66.0,4,98,7,0,27
MD,17/04/2020,923.0,9630.0,1200.0,153.0,857.0,118,1033,106,28,182
ML,17/04/2020,1.0,42.0,3.0,0.0,3.0,1,2,0,0,3
NC,17/04/2020,115.0,1718.0,124.0,7.0,45.0,115,111,3,9,17
PV,17/04/2020,268.0,5503.0,435.0,48.0,255.0,118,527,55,20,157
RI,17/04/2020,66.0,1171.0,74.0,9.0,69.0,30,78,4,1,21
VC,17/04/2020,233.0,4296.0,592.0,32.0,273.0,135,412,44,11,9
AN,18/04/2020,223.0,5073.0,628.0,37.0,259.0,59,351,59,11,91
AR,18/04/2020,93.0,1929.0,284.0,26.0,44.0,36,287,38,8,10
AS,18/04/2020,44.0,1338.0,112.0,7.0,21.0,32,233,8,2,0
CB,18/04/2020,24.0,843.0,74.0,7.0,66.0,24,81,4,3,10
CE,18/04/2020,2.0,6.0,4.0,0.0,8.0,2,3,0,0,2
CL,18/04/2020,572.0,5949.0,289.0,47.0,222.0,572,1032,209,18,63
CM,18/04/2020,438.0,6615.0,473.0,57.0,247.0,438,1522,45,7,122
CN,18/04/2020,22.0,717.0,149.0,3.0,68.0,10,108,13,1,64
CT,18/04/2020,744.0,19951.0,2195.0,153.0,438.0,239,2284,200,99,22
