CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,22/04/2020,152.0,5443.0,652.0,31.0,170.0,21,122,44,2,12
AR,22/04/2020,77.0,2153.0,258.0,14.0,241.0,0,151,6,1,107
AS,22/04/2020,16.0,1558.0,123.0,5.0,22.0,2,107,5,4,4
CB,22/04/2020,24.0,943.0,76.0,4.0,62.0,3,62,90,1,50
CE,22/04/2020,0.0,9.0,4.0,0.0,6.0,9,832,160,1,43
CL,22/04/2020,212.0,7088.0,481.0,31.0,144.0,198,6132,403,29,72
CM,22/04/2020,152.0,8012.0,531.0,60.0,143.0,35,231,6,5,48
CN,22/04/2020,15.0,838.0,161.0,1.0,43.0,175,6426,344,32,142
CT,22/04/2020,864.0,22961.0,2429.0,92.0,517.0,174,334,31,3,126
EX,22/04/2020,5.0,1324.0,104.0,7.0,106.0,5,1315,100,7,103
GA,22/04/2020,152.0,2548.0,104.0,8.0,28.0,77,2348,545,9,264
IB,22/04/2020,20.0,988.0,163.0,6.0,12.0,20,361,56,1,118
MC,22/04/2020,8.0,617.0,100.0,2.0,33.0,158,2057,4,6,4
MD,22/04/2020,593.0,7730.0,1044.0,115.0,613.0,4,266,20,2,142
ML,22/04/2020,0.0,44.0,3.0,0.0,3.0,0,0,0,0,1
NC,22/04/2020,43.0,1829.0,128.0,10.0,111.0,33,1207,24,7,52
PV,22/04/2020,172.0,5982.0,490.0,26.0,319.0,116,4088,362,22,193
RI,22/04/2020,27.0,1299.0,80.0,6.0,35.0,104,4902,433,15,339
VC,22/04/2020,71.0,4840.0,639.0,16.0,236.0,51,3522,558,12,203
AN,23/04/2020,115.0,5442.0,652.0,26.0,158.0,18,174,50,3,120
AR,23/04/2020,78.0,2190.0,247.0,13.0,236.0,6,150,6,12,86
AS,23/04/2020,20.0,1555.0,123.0,5.0,21.0,15,150,7,7,2
CB,23/04/2020,34.0,941.0,76.0,5.0,42.0,15,81,91,1,12
CE,23/04/2020,0.0,9.0,4.0,0.0,6.0,19,846,165,0,36
CL,23/04/2020,179.0,7185.0,496.0,31.0,146.0,168,6220,418,25,14
CM,23/04/2020,253.0,8014.0,528.0,60.0,165.0,178,290,18,12,75
CN,23/04/2020,24.0,833.0,151.0,1.0,91.0,345,6564,357,27,72
CT,23/04/2020,801.0,22962.0,2432.0,107.0,455.0,289,685,46,11,67
EX,23/04/2020,10.0,1330.0,104.0,7.0,107.0,10,1321,100,7,107
GA,23/04/2020,152.0,2556.0,105.0,8.0,26.0,108,2361,545,10,351
IB,23/04/2020,18.0,977.0,163.0,5.0,17.0,5,398,56,2,169
MC,23/04/2020,7.0,616.0,101.0,2.0,34.0,164,2078,9,5,17
MD,23/04/2020,593.0,7738.0,998.0,116.0,631.0,86,661,17,9,18
ML,23/04/2020,0.0,40.0,3.0,0.0,3.0,1,4,0,0,2
NC,23/04/2020,45.0,1804.0,128.0,9.0,101.0,40,1180,24,8,96
PV,23/04/2020,120.0,5983.0,491.0,23.0,256.0,74,4076,362,15,127
RI,23/04/2020,23.0,1296.0,80.0,6.0,34.0,97,4964,436,37,451
VC,23/04/2020,71.0,4738.0,629.0,17.0,239.0,34,3407,547,12,201
AN,24/04/2020,139.0,5435.0,638.0,34.0,162.0,7,240,76,6,17
AR,24/04/2020,78.0,2177.0,242.0,14.0,236.0,44,182,12,0,135
AS,24/04/2020,23.0,1557.0,123.0,7.0,26.0,19,171,8,1,3
CB,24/04/2020,19.0,893.0,72.0,4.0,67.0,5,147,94,0,33
CE,24/04/2020,0.0,8.0,3.0,0.0,6.0,27,860,166,7,42
CL,24/04/2020,208.0,7123.0,478.0,31.0,139.0,176,6145,400,26,76
CM,24/04/2020,157.0,8013.0,529.0,59.0,173.0,80,329,24,8,32
CN,24/04/2020,13.0,837.0,152.0,1.0,49.0,169,6669,358,29,117
CT,24/04/2020,873.0,23132.0,2433.0,108.0,526.0,221,998,136,58,135
EX,24/04/2020,10.0,1330.0,104.0,7.0,107.0,10,1320,100,7,99
