CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,20/04/2020,120.0,5366.0,677.0,27.0,118.0,12,143,15,23,64
AR,20/04/2020,60.0,2173.0,239.0,23.0,34.0,30,98,11,17,30
AS,20/04/2020,16.0,1550.0,119.0,7.0,13.0,6,76,3,5,4
CB,20/04/2020,66.0,913.0,78.0,5.0,35.0,41,35,0,2,15
CE,20/04/2020,0.0,8.0,4.0,0.0,11.0,0,1,0,0,11
CL,20/04/2020,173.0,7030.0,418.0,32.0,146.0,3,144,85,4,83
CM,20/04/2020,324.0,8080.0,516.0,54.0,211.0,113,119,18,0,147
CN,20/04/2020,22.0,824.0,161.0,2.0,29.0,4,13,3,1,36
CT,20/04/2020,1391.0,22000.0,2365.0,128.0,664.0,45,796,72,15,152
EX,20/04/2020,38.0,1250.0,100.0,8.0,60.0,38,77,7,0,3
GA,20/04/2020,112.0,2589.0,114.0,10.0,36.0,57,63,13,2,4
IB,20/04/2020,28.0,951.0,159.0,4.0,21.0,10,35,2,0,21
MC,20/04/2020,5.0,594.0,97.0,1.0,41.0,0,20,7,2,1
MD,20/04/2020,417.0,8481.0,1105.0,119.0,552.0,190,551,29,10,37
ML,20/04/2020,0.0,43.0,3.0,0.0,4.0,1,1,0,0,4
NC,20/04/2020,42.0,1743.0,127.0,20.0,97.0,16,134,1,8,30
PV,20/04/2020,113.0,5676.0,467.0,24.0,215.0,59,465,40,2,62
RI,20/04/2020,41.0,1268.0,78.0,7.0,28.0,21,29,3,2,5
VC,20/04/2020,61.0,4787.0,632.0,21.0,158.0,19,79,16,11,68
AN,21/04/2020,142.0,5349.0,676.0,24.0,134.0,11,216,20,9,24
AR,21/04/2020,82.0,2161.0,251.0,19.0,47.0,5,143,1,6,301
AS,21/04/2020,22.0,1448.0,118.0,7.0,13.0,8,217,10,2,13
CB,21/04/2020,64.0,917.0,76.0,5.0,47.0,50,39,2,3,25
CE,21/04/2020,0.0,8.0,4.0,0.0,11.0,0,1,0,0,8
CL,21/04/2020,266.0,6976.0,474.0,31.0,147.0,76,288,31,2,38
CM,21/04/2020,302.0,8099.0,519.0,54.0,220.0,185,144,18,11,125
CN,21/04/2020,21.0,824.0,157.0,2.0,24.0,12,17,7,1,25
CT,21/04/2020,1099.0,22093.0,2367.0,107.0,328.0,409,1202,93,12,315
EX,21/04/2020,43.0,1250.0,98.0,7.0,60.0,43,99,9,0,70
GA,21/04/2020,112.0,2589.0,114.0,10.0,36.0,54,85,18,2,1
IB,21/04/2020,22.0,949.0,158.0,5.0,18.0,1,56,8,2,6
MC,21/04/2020,5.0,589.0,92.0,1.0,22.0,5,33,12,2,37
MD,21/04/2020,376.0,8498.0,1106.0,119.0,567.0,213,1034,82,2,188
ML,21/04/2020,1.0,42.0,3.0,0.0,4.0,1,2,0,0,0
NC,21/04/2020,53.0,1724.0,127.0,20.0,101.0,3,170,1,16,25
PV,21/04/2020,121.0,5671.0,461.0,28.0,194.0,10,530,52,7,180
RI,21/04/2020,44.0,1268.0,78.0,7.0,25.0,24,50,3,3,8
VC,21/04/2020,80.0,4760.0,635.0,25.0,166.0,5,136,14,8,126
AN,22/04/2020,147.0,5352.0,644.0,33.0,134.0,14,264,58,4,144
AR,22/04/2020,87.0,2081.0,252.0,19.0,49.0,15,259,1,6,101
AS,22/04/2020,18.0,1445.0,117.0,7.0,19.0,13,260,13,5,4
CB,22/04/2020,60.0,922.0,76.0,4.0,50.0,49,43,2,2,82
CE,22/04/2020,0.0,8.0,4.0,0.0,11.0,0,1,0,0,11
CL,22/04/2020,227.0,6877.0,457.0,31.0,167.0,142,520,51,3,4
CM,22/04/2020,270.0,8134.0,520.0,56.0,192.0,195,170,26,8,48
CN,22/04/2020,21.0,823.0,157.0,2.0,26.0,2,32,12,2,16
CT,22/04/2020,1013.0,22028.0,2375.0,84.0,321.0,77,1619,103,12,67
EX,22/04/2020,29.0,1253.0,98.0,7.0,61.0,6,122,9,4,125
GA,22/04/2020,109.0,2568.0,114.0,10.0,32.0,62,126,22,3,19
IB,22/04/2020,19.0,950.0,159.0,5.0,22.0,0,72,8,1,8
MC,22/04/2020,7.0,595.0,92.0,1.0,37.0,2,29,12,0,32
MD,22/04/2020,378.0,8506.0,1086.0,116.0,566.0,301,1429,105,9,47
ML,22/04/2020,1.0,42.0,3.0,0.0,4.0,0,2,0,0,1
NC,22/04/2020,54.0,1693.0,127.0,20.0,93.0,8,214,2,12,36
PV,22/04/2020,174.0,5812.0,466.0,29.0,270.0,54,448,50,14,215
RI,22/04/2020,44.0,1266.0,78.0,8.0,26.0,7,65,4,3,12
VC,22/04/2020,77.0,4759.0,627.0,23.0,158.0,33,158,23,5,219
AN,23/04/2020,112.0,5349.0,645.0,25.0,134.0,20,326,69,3,11
AR,23/04/2020,91.0,2104.0,245.0,22.0,45.0,57,255,9,8,56
AS,23/04/2020,17.0,1424.0,118.0,7.0,18.0,13,304,13,1,5
CB,23/04/2020,70.0,923.0,76.0,5.0,36.0,38,55,2,0,27
CE,23/04/2020,1.0,8.0,4.0,0.0,11.0,1,2,0,0,3
CL,23/04/2020,220.0,6981.0,474.0,31.0,152.0,38,525,36,1,14
CM,23/04/2020,337.0,8129.0,519.0,56.0,218.0,100,213,34,11,13
CN,23/04/2020,34.0,801.0,147.0,2.0,43.0,7,67,22,5,5
CT,23/04/2020,865.0,22134.0,2354.0,107.0,330.0,213,1996,215,57,331
EX,23/04/2020,29.0,1257.0,96.0,7.0,62.0,26,156,11,3,59
GA,23/04/2020,110.0,2591.0,114.0,10.0,22.0,17,116,27,3,32
IB,23/04/2020,18.0,951.0,159.0,5.0,20.0,4,89,7,1,14
MC,23/04/2020,5.0,578.0,88.0,1.0,16.0,3,47,17,0,9
MD,23/04/2020,426.0,8454.0,1032.0,114.0,476.0,3,1853,83,33,91
ML,23/04/2020,1.0,41.0,3.0,0.0,4.0,0,3,0,0,2
NC,23/04/2020,54.0,1667.0,127.0,20.0,95.0,50,248,2,12,12
PV,23/04/2020,129.0,5695.0,462.0,27.0,215.0,19,620,56,1,108
RI,23/04/2020,44.0,1264.0,78.0,7.0,27.0,5,80,4,3,0
VC,23/04/2020,78.0,4480.0,625.0,23.0,166.0,8,465,26,0,255
AN,24/04/2020,130.0,5286.0,624.0,34.0,143.0,33,429,93,10,160
AR,24/04/2020,91.0,2089.0,244.0,19.0,45.0,36,283,11,5,103
AS,24/04/2020,22.0,1423.0,116.0,8.0,18.0,9,337,16,0,10
CB,24/04/2020,57.0,898.0,74.0,4.0,47.0,41,84,4,0,86
CE,24/04/2020,0.0,8.0,2.0,0.0,11.0,0,2,2,0,3
CL,24/04/2020,168.0,6918.0,464.0,31.0,167.0,130,637,47,4,77
CM,24/04/2020,294.0,8086.0,508.0,55.0,214.0,150,299,51,18,120
CN,24/04/2020,25.0,809.0,148.0,2.0,24.0,10,69,23,0,5
CT,24/04/2020,1152.0,22069.0,2367.0,107.0,328.0,435,2061,209,2,287
EX,24/04/2020,28.0,1259.0,96.0,7.0,62.0,28,188,11,2,90
GA,24/04/2020,110.0,2553.0,116.0,10.0,32.0,74,169,26,4,21
IB,24/04/2020,15.0,953.0,158.0,6.0,16.0,11,105,8,4,5
MC,24/04/2020,5.0,579.0,87.0,2.0,34.0,5,46,18,1,17
MD,24/04/2020,387.0,8457.0,1002.0,117.0,482.0,122,2274,110,34,208
ML,24/04/2020,1.0,35.0,2.0,0.0,4.0,0,9,1,0,12
NC,24/04/2020,44.0,1642.0,126.0,20.0,95.0,2,295,3,8,90
PV,24/04/2020,162.0,5653.0,458.0,28.0,172.0,0,722,67,9,310
RI,24/04/2020,44.0,1268.0,78.0,8.0,24.0,13,92,5,4,11
VC,24/04/2020,70.0,4407.0,622.0,24.0,178.0,57,571,31,1,46
AN,25/04/2020,130.0,5207.0,602.0,33.0,124.0,62,540,114,19,322
AR,25/04/2020,88.0,2004.0,234.0,25.0,62.0,55,391,23,22,31
AS,25/04/2020,24.0,1345.0,115.0,7.0,17.0,22,445,19,3,16
CB,25/04/2020,57.0,872.0,69.0,4.0,47.0,45,119,9,3,34
CE,25/04/2020,0.0,8.0,2.0,0.0,11.0,0,2,2,0,5
CL,25/04/2020,240.0,6930.0,464.0,30.0,157.0,8,723,51,3,18
CM,25/04/2020,309.0,8119.0,512.0,56.0,227.0,209,298,53,18,93
CN,25/04/2020,23.0,800.0,147.0,2.0,24.0,11,80,24,1,12
CT,25/04/2020,1097.0,22131.0,2385.0,75.0,341.0,547,3534,198,7,88
EX,25/04/2020,54.0,1261.0,96.0,7.0,61.0,36,219,11,1,11
GA,25/04/2020,110.0,2596.0,111.0,9.0,21.0,50,139,26,3,1
IB,25/04/2020,16.0,954.0,159.0,5.0,20.0,9,108,7,4,1
MC,25/04/2020,4.0,578.0,87.0,2.0,37.0,2,49,19,1,41
MD,25/04/2020,464.0,8363.0,984.0,113.0,443.0,234,2471,111,39,22
ML,25/04/2020,1.0,35.0,2.0,0.0,4.0,1,9,1,0,0
NC,25/04/2020,56.0,1637.0,125.0,22.0,102.0,29,305,4,20,4
PV,25/04/2020,162.0,5683.0,457.0,25.0,173.0,73,743,76,7,488
RI,25/04/2020,44.0,1266.0,78.0,8.0,27.0,4,114,6,4,11
VC,25/04/2020,63.0,4485.0,616.0,24.0,169.0,31,528,38,10,41
AN,26/04/2020,116.0,5204.0,603.0,25.0,124.0,40,563,117,13,25
AR,26/04/2020,89.0,2082.0,243.0,25.0,45.0,59,321,14,11,5
AS,26/04/2020,18.0,1369.0,115.0,7.0,17.0,16,445,22,3,7
CB,26/04/2020,57.0,872.0,68.0,4.0,47.0,36,123,10,1,67
CE,26/04/2020,0.0,8.0,2.0,0.0,11.0,0,2,2,0,8
CL,26/04/2020,174.0,6955.0,418.0,30.0,156.0,8,748,100,6,92
CM,26/04/2020,307.0,8080.0,508.0,54.0,240.0,252,364,71,19,154
CN,26/04/2020,22.0,800.0,145.0,2.0,21.0,11,81,26,2,21
CT,26/04/2020,1352.0,21982.0,2358.0,110.0,683.0,408,3817,366,23,208
EX,26/04/2020,54.0,1260.0,96.0,7.0,61.0,41,230,11,1,9
GA,26/04/2020,115.0,2597.0,112.0,8.0,27.0,53,149,29,3,14
IB,26/04/2020,17.0,954.0,157.0,5.0,20.0,12,108,9,1,7
MC,26/04/2020,4.0,579.0,87.0,2.0,34.0,4,48,19,1,36
MD,26/04/2020,560.0,9766.0,1184.0,156.0,604.0,428,29706,2125,92,406
ML,26/04/2020,1.0,33.0,2.0,0.0,4.0,1,11,1,0,2
NC,26/04/2020,54.0,1625.0,125.0,20.0,101.0,33,317,5,19,18
PV,26/04/2020,118.0,5688.0,456.0,24.0,159.0,60,769,82,13,79
RI,26/04/2020,44.0,1269.0,77.0,8.0,23.0,13,123,8,3,11
VC,26/04/2020,82.0,4394.0,570.0,21.0,171.0,62,638,86,18,97
