CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados,CASOS_Error,Hospitalizados_Error,UCI_Error,Fallecidos_Error,Recuperados_Error
AN,25-04-2020,146.0,5642.0,672.0,23.0,230.0,19.0,416.0,1.0,24.0,180.0
AN,26-04-2020,128.0,5628.0,668.0,20.0,230.0,55.0,3520.0,377.0,9.0,155.0
AN,27-04-2020,128.0,5628.0,667.0,20.0,230.0,80.0,4196.0,551.0,18.0,195.0
AN,28-04-2020,147.0,5636.0,668.0,20.0,230.0,116.0,4764.0,516.0,14.0,193.0
AN,29-04-2020,149.0,5530.0,668.0,23.0,230.0,136.0,4728.0,512.0,20.0,179.0
AN,30-04-2020,145.0,5302.0,669.0,23.0,240.0,123.0,4412.0,592.0,18.0,161.0
AN,01-05-2020,147.0,5037.0,666.0,23.0,230.0,324.0,2950.0,163.0,18.0,150.0
AR,25-04-2020,48.0,2312.0,244.0,14.0,174.0,635.0,4137.0,63.0,21.0,30.0
AR,26-04-2020,49.0,2314.0,250.0,13.0,143.0,800.0,18239.0,2002.0,152.0,338.0
AR,27-04-2020,48.0,2321.0,245.0,13.0,174.0,48.0,2312.0,241.0,13.0,163.0
AR,28-04-2020,48.0,2342.0,243.0,14.0,174.0,143.0,2182.0,382.0,13.0,168.0
AR,29-04-2020,48.0,2337.0,243.0,15.0,184.0,48.0,1151.0,136.0,2.0,150.0
AR,30-04-2020,49.0,2312.0,245.0,13.0,174.0,116.0,182.0,122.0,2.0,89.0
AR,01-05-2020,50.0,2262.0,245.0,13.0,174.0,843.0,7391.0,961.0,140.0,884.0
AS,25-04-2020,10.0,1539.0,131.0,10.0,25.0,9.0,1496.0,128.0,10.0,22.0
AS,26-04-2020,10.0,1415.0,130.0,8.0,22.0,6.0,840.0,33.0,6.0,19.0
AS,27-04-2020,8.0,1423.0,131.0,8.0,26.0,94.0,329.0,7.0,1.0,11.0
AS,28-04-2020,10.0,1434.0,130.0,9.0,24.0,179.0,4429.0,348.0,45.0,361.0
AS,29-04-2020,10.0,1392.0,131.0,9.0,25.0,72.0,185.0,56.0,2.0,44.0
AS,30-04-2020,9.0,1385.0,131.0,9.0,21.0,70.0,3913.0,544.0,19.0,135.0
AS,01-05-2020,10.0,1398.0,129.0,10.0,22.0,68.0,753.0,111.0,9.0,12.0
IB,25-04-2020,22.0,1042.0,166.0,3.0,22.0,2.0,432.0,48.0,3.0,1.0
IB,26-04-2020,22.0,1042.0,164.0,3.0,26.0,9.0,137.0,12.0,0.0,6.0
IB,27-04-2020,21.0,1041.0,164.0,3.0,22.0,0.0,230.0,5.0,1.0,35.0
IB,28-04-2020,22.0,1041.0,160.0,3.0,25.0,17.0,138.0,82.0,4.0,43.0
IB,29-04-2020,23.0,1041.0,160.0,3.0,21.0,823.0,6977.0,351.0,53.0,201.0
IB,30-04-2020,21.0,1041.0,160.0,3.0,25.0,502.0,5477.0,137.0,26.0,174.0
IB,01-05-2020,22.0,1041.0,160.0,3.0,25.0,940.0,20201.0,2145.0,131.0,801.0
CN,25-04-2020,16.0,860.0,168.0,2.0,36.0,16.0,851.0,164.0,2.0,33.0
CN,26-04-2020,17.0,839.0,166.0,3.0,30.0,17.0,3766.0,466.0,24.0,292.0
CN,27-04-2020,18.0,866.0,165.0,3.0,23.0,57.0,346.0,58.0,10.0,35.0
CN,28-04-2020,17.0,860.0,154.0,2.0,33.0,123.0,1675.0,37.0,8.0,40.0
CN,29-04-2020,17.0,860.0,154.0,2.0,33.0,817.0,8281.0,1000.0,128.0,912.0
CN,30-04-2020,16.0,860.0,154.0,2.0,33.0,15.0,816.0,151.0,2.0,30.0
CN,01-05-2020,16.0,843.0,153.0,3.0,23.0,8.0,258.0,54.0,2.0,6.0
CB,25-04-2020,15.0,931.0,73.0,5.0,114.0,70.0,850.0,51.0,72.0,67.0
CB,26-04-2020,14.0,889.0,71.0,5.0,103.0,186.0,5050.0,413.0,31.0,228.0
CB,27-04-2020,32.0,886.0,71.0,5.0,114.0,24.0,340.0,5.0,0.0,39.0
CB,28-04-2020,15.0,888.0,70.0,5.0,89.0,85.0,4453.0,607.0,22.0,69.0
CB,29-04-2020,14.0,889.0,70.0,5.0,88.0,48.0,1291.0,173.0,34.0,88.0
CB,30-04-2020,37.0,885.0,70.0,5.0,114.0,15.0,635.0,49.0,8.0,84.0
CB,01-05-2020,35.0,889.0,70.0,5.0,105.0,21.0,48.0,87.0,9.0,85.0
CM,25-04-2020,134.0,8339.0,553.0,53.0,160.0,108.0,7517.0,393.0,49.0,105.0
CM,26-04-2020,150.0,8354.0,550.0,47.0,207.0,44.0,7443.0,472.0,42.0,183.0
CM,27-04-2020,161.0,8346.0,550.0,48.0,207.0,191.0,253.0,36.0,13.0,31.0
CM,28-04-2020,152.0,8346.0,554.0,48.0,207.0,238.0,1515.0,59.0,20.0,28.0
CM,29-04-2020,144.0,8354.0,550.0,53.0,207.0,1483.0,13659.0,1799.0,74.0,281.0
CM,30-04-2020,150.0,8354.0,550.0,54.0,207.0,148.0,8345.0,546.0,54.0,198.0
CM,01-05-2020,150.0,8354.0,554.0,48.0,183.0,52.0,3646.0,82.0,5.0,99.0
CL,25-04-2020,306.0,7505.0,509.0,29.0,118.0,299.0,6265.0,402.0,21.0,89.0
CL,26-04-2020,301.0,7306.0,484.0,28.0,117.0,230.0,4752.0,369.0,14.0,66.0
CL,27-04-2020,311.0,7284.0,470.0,28.0,120.0,494.0,1313.0,624.0,97.0,919.0
CL,28-04-2020,298.0,7448.0,509.0,29.0,111.0,298.0,7404.0,506.0,29.0,111.0
CL,29-04-2020,314.0,7447.0,492.0,29.0,121.0,308.0,6836.0,390.0,26.0,28.0
CL,30-04-2020,310.0,7448.0,493.0,29.0,111.0,310.0,5619.0,366.0,13.0,49.0
CL,01-05-2020,311.0,7448.0,493.0,29.0,112.0,161.0,1418.0,3.0,1.0,300.0
CT,25-04-2020,1003.0,23950.0,2546.0,70.0,554.0,967.0,22701.0,2468.0,60.0,506.0
CT,26-04-2020,1073.0,24066.0,2549.0,97.0,744.0,909.0,18642.0,1862.0,71.0,576.0
CT,27-04-2020,890.0,23989.0,2552.0,71.0,598.0,833.0,21773.0,2306.0,53.0,544.0
CT,28-04-2020,848.0,23938.0,2543.0,86.0,576.0,836.0,22367.0,2423.0,77.0,555.0
CT,29-04-2020,912.0,23898.0,2538.0,82.0,586.0,896.0,22943.0,2378.0,75.0,551.0
CT,30-04-2020,989.0,23882.0,2540.0,76.0,587.0,977.0,23057.0,2378.0,72.0,583.0
CT,01-05-2020,1023.0,23950.0,2548.0,76.0,586.0,1023.0,23026.0,2470.0,72.0,510.0
CE,25-04-2020,0.0,10.0,4.0,0.0,11.0,0.0,8127.0,514.0,50.0,114.0
CE,26-04-2020,0.0,10.0,4.0,0.0,11.0,0.0,6971.0,494.0,29.0,148.0
CE,27-04-2020,0.0,10.0,4.0,0.0,11.0,505.0,22225.0,2391.0,54.0,405.0
CE,28-04-2020,0.0,10.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,5.0
CE,29-04-2020,0.0,10.0,4.0,0.0,11.0,73.0,4771.0,639.0,23.0,230.0
CE,30-04-2020,0.0,10.0,4.0,0.0,11.0,10.0,1268.0,103.0,4.0,20.0
CE,01-05-2020,0.0,10.0,4.0,0.0,11.0,101.0,2580.0,108.0,12.0,18.0
VC,25-04-2020,74.0,4831.0,642.0,24.0,215.0,410.0,3460.0,481.0,83.0,623.0
VC,26-04-2020,73.0,4645.0,632.0,20.0,205.0,73.0,4601.0,629.0,20.0,191.0
VC,27-04-2020,73.0,4731.0,618.0,20.0,205.0,65.0,4119.0,516.0,19.0,191.0
VC,28-04-2020,77.0,4627.0,606.0,21.0,342.0,13.0,2784.0,479.0,6.0,304.0
VC,29-04-2020,80.0,4624.0,590.0,24.0,308.0,98.0,1462.0,91.0,18.0,108.0
VC,30-04-2020,74.0,4488.0,581.0,21.0,205.0,21.0,3220.0,502.0,16.0,166.0
VC,01-05-2020,74.0,4489.0,585.0,23.0,215.0,20.0,984.0,105.0,3.0,102.0
EX,25-04-2020,7.0,1390.0,106.0,5.0,150.0,39.0,854.0,142.0,13.0,147.0
EX,26-04-2020,10.0,1392.0,106.0,5.0,147.0,1.0,207.0,16.0,1.0,144.0
EX,27-04-2020,6.0,1409.0,106.0,5.0,147.0,3.0,446.0,55.0,3.0,135.0
EX,28-04-2020,13.0,1392.0,106.0,5.0,146.0,7.0,566.0,57.0,5.0,122.0
EX,29-04-2020,10.0,1408.0,106.0,4.0,150.0,14.0,474.0,28.0,1.0,134.0
EX,30-04-2020,6.0,1390.0,106.0,4.0,161.0,131.0,6783.0,425.0,54.0,54.0
EX,01-05-2020,9.0,1386.0,106.0,4.0,146.0,128.0,5694.0,395.0,31.0,42.0
GA,25-04-2020,161.0,2690.0,92.0,8.0,41.0,1067.0,19685.0,2317.0,68.0,202.0
GA,26-04-2020,161.0,2681.0,96.0,8.0,48.0,161.0,2672.0,92.0,8.0,33.0
GA,27-04-2020,166.0,2689.0,92.0,7.0,49.0,115.0,2138.0,554.0,7.0,33.0
GA,28-04-2020,215.0,1929.0,124.0,12.0,63.0,196.0,623.0,17.0,7.0,28.0
GA,29-04-2020,226.0,1942.0,110.0,12.0,54.0,112.0,667.0,2.0,6.0,42.0
GA,30-04-2020,239.0,1938.0,110.0,12.0,62.0,33.0,6253.0,1001.0,100.0,387.0
GA,01-05-2020,226.0,1943.0,109.0,12.0,54.0,226.0,1899.0,106.0,12.0,52.0
